FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR_code,HTR_code,Date,HomeTeam,AwayTeam,League,HomeTeamCode,AwayTeamCode
1,0,0,0,11,11,5,2,3,8,14,9,1,1,0,0,1,0,16/08/2019,Ath Bilbao,Barcelona,la_liga,1,3
1,3,0,1,7,17,4,11,6,4,17,12,5,2,0,1,-1,-1,17/08/2019,Celta,Real Madrid,la_liga,5,14
1,1,0,0,14,12,6,3,3,3,13,14,4,4,1,0,0,0,17/08/2019,Valencia,Sociedad,la_liga,17,16
2,1,1,0,16,11,4,5,9,3,13,14,2,3,0,0,1,1,17/08/2019,Mallorca,Eibar,la_liga,12,6
0,1,0,0,13,4,2,2,8,0,17,11,1,4,1,0,-1,0,17/08/2019,Leganes,Osasuna,la_liga,10,13
4,4,1,1,12,14,7,7,2,7,10,16,3,1,0,0,0,0,17/08/2019,Villarreal,Granada,la_liga,19,9
1,0,0,0,9,16,2,4,2,9,18,15,2,1,0,0,1,0,18/08/2019,Alaves,Levante,la_liga,0,11
0,2,0,1,7,12,2,4,8,4,11,17,2,2,0,0,-1,-1,18/08/2019,Espanol,Sevilla,la_liga,7,15
1,2,0,0,13,14,4,3,6,1,11,19,2,6,1,0,-1,0,18/08/2019,Betis,Valladolid,la_liga,4,18
1,0,1,0,5,6,5,0,3,4,19,22,3,4,1,1,1,1,18/08/2019,Ath Madrid,Getafe,la_liga,2,8
0,1,0,0,12,11,0,6,6,6,13,14,1,1,0,0,-1,0,23/08/2019,Granada,Sevilla,la_liga,9,15
2,1,0,1,16,23,4,6,7,3,5,9,1,2,0,0,1,-1,23/08/2019,Levante,Villarreal,la_liga,11,19
0,0,0,0,6,12,2,0,6,6,15,12,4,4,0,0,0,0,24/08/2019,Osasuna,Eibar,la_liga,13,6
1,1,0,0,22,9,4,2,4,3,12,11,2,2,0,0,0,0,24/08/2019,Real Madrid,Valladolid,la_liga,14,18
1,0,1,0,11,9,6,1,6,4,8,12,1,2,0,0,1,1,24/08/2019,Celta,Valencia,la_liga,5,17
1,1,1,1,6,4,2,2,4,6,15,11,2,1,0,0,0,0,24/08/2019,Getafe,Ath Bilbao,la_liga,8,1
0,0,0,0,10,5,2,1,3,5,13,10,3,1,0,0,0,0,25/08/2019,Alaves,Espanol,la_liga,0,7
0,1,0,0,12,12,4,4,5,5,16,12,1,2,0,0,-1,0,25/08/2019,Mallorca,Sociedad,la_liga,12,16
0,1,0,0,10,6,4,4,9,4,12,13,4,5,0,0,-1,0,25/08/2019,Leganes,Ath Madrid,la_liga,10,2
5,2,1,1,20,4,7,3,11,0,14,12,1,1,0,0,1,0,25/08/2019,Barcelona,Betis,la_liga,3,4
1,1,0,0,19,2,5,1,9,1,16,9,4,2,0,0,0,0,30/08/2019,Sevilla,Celta,la_liga,15,5
2,0,2,0,15,2,5,2,3,0,17,17,2,3,0,0,1,1,30/08/2019,Ath Bilbao,Sociedad,la_liga,1,16
2,2,1,0,15,8,5,4,3,2,16,9,3,4,0,0,0,1,31/08/2019,Osasuna,Barcelona,la_liga,13,3
1,1,1,1,15,5,1,1,4,2,11,17,3,1,0,0,0,0,31/08/2019,Getafe,Alaves,la_liga,8,0
2,0,0,0,16,15,3,4,6,6,9,10,2,2,0,0,1,0,31/08/2019,Levante,Valladolid,la_liga,11,18
2,1,0,0,17,19,5,7,11,8,14,15,4,2,0,0,1,0,31/08/2019,Betis,Leganes,la_liga,4,10
2,0,1,0,9,12,4,1,7,4,6,19,0,1,0,0,1,1,01/09/2019,Valencia,Mallorca,la_liga,17,12
3,2,1,2,7,6,3,2,1,1,9,15,0,3,0,0,1,-1,01/09/2019,Ath Madrid,Eibar,la_liga,2,6
0,3,0,1,15,14,3,6,8,6,6,13,2,3,0,0,-1,-1,01/09/2019,Espanol,Granada,la_liga,7,9
2,2,1,1,10,17,5,5,1,8,8,14,1,4,0,1,0,0,01/09/2019,Villarreal,Real Madrid,la_liga,19,14
0,0,0,0,10,11,1,5,4,6,15,18,4,3,0,0,0,0,13/09/2019,Mallorca,Ath Bilbao,la_liga,12,1
3,2,3,0,25,8,11,3,9,6,13,10,2,2,0,0,1,1,14/09/2019,Real Madrid,Levante,la_liga,14,11
0,3,0,2,10,8,4,4,8,6,14,11,2,0,0,0,-1,-1,14/09/2019,Leganes,Villarreal,la_liga,10,19
2,0,0,0,14,12,5,2,5,5,13,10,1,3,0,0,1,0,14/09/2019,Sociedad,Ath Madrid,la_liga,16,2
5,2,2,1,17,9,10,3,2,5,11,11,1,4,0,0,1,1,14/09/2019,Barcelona,Valencia,la_liga,3,17
1,2,0,0,11,7,1,2,7,2,14,16,2,4,0,1,-1,0,15/09/2019,Eibar,Espanol,la_liga,6,7
0,1,0,1,7,19,0,7,2,6,13,7,5,5,0,0,-1,-1,15/09/2019,Alaves,Sevilla,la_liga,0,15
0,2,0,1,4,13,0,3,3,5,11,13,4,2,2,0,-1,-1,15/09/2019,Celta,Granada,la_liga,5,9
1,1,0,0,11,17,1,5,10,6,9,10,0,1,0,0,0,0,15/09/2019,Valladolid,Osasuna,la_liga,18,13
1,1,0,1,7,12,2,4,5,6,11,28,3,6,2,0,0,-1,15/09/2019,Betis,Getafe,la_liga,4,8
0,0,0,0,12,7,6,2,9,4,15,9,1,2,0,0,0,0,20/09/2019,Osasuna,Betis,la_liga,13,4
2,0,0,0,18,7,6,3,4,8,12,8,2,1,0,0,1,0,21/09/2019,Villarreal,Valladolid,la_liga,19,18
0,0,0,0,13,18,4,4,6,7,9,11,0,2,0,0,0,0,21/09/2019,Levante,Eibar,la_liga,11,6
0,0,0,0,20,6,5,3,13,3,14,12,3,5,0,0,0,0,21/09/2019,Ath Madrid,Celta,la_liga,2,5
2,0,1,0,9,8,4,1,4,5,22,12,3,2,0,0,1,1,21/09/2019,Granada,Barcelona,la_liga,9,3
4,2,2,0,14,7,5,3,7,2,15,17,4,5,0,0,1,1,22/09/2019,Getafe,Mallorca,la_liga,8,12
1,3,0,2,17,10,3,5,5,7,7,12,1,0,0,0,-1,-1,22/09/2019,Espanol,Sociedad,la_liga,7,16
1,1,1,1,13,13,4,4,6,6,14,23,3,4,0,0,0,0,22/09/2019,Valencia,Leganes,la_liga,17,10
2,0,1,0,13,5,4,1,3,2,11,19,1,4,0,0,1,1,22/09/2019,Ath Bilbao,Alaves,la_liga,1,0
0,1,0,0,9,7,0,4,9,6,16,15,3,2,0,0,-1,0,22/09/2019,Sevilla,Real Madrid,la_liga,15,14
1,1,1,1,9,6,5,4,6,3,21,18,3,2,0,0,0,0,24/09/2019,Valladolid,Granada,la_liga,18,9
3,1,1,1,17,17,5,3,5,2,11,11,2,2,0,0,1,0,24/09/2019,Betis,Levante,la_liga,4,11
2,1,2,1,8,11,4,3,6,5,4,13,4,2,0,0,1,1,24/09/2019,Barcelona,Villarreal,la_liga,3,19
1,1,0,0,7,9,3,2,4,5,11,12,0,1,0,0,0,0,25/09/2019,Leganes,Ath Bilbao,la_liga,10,1
0,2,0,1,9,13,3,3,8,5,8,15,3,5,0,1,-1,-1,25/09/2019,Mallorca,Ath Madrid,la_liga,12,2
3,3,3,1,8,18,4,5,4,5,14,26,1,4,0,0,0,1,25/09/2019,Valencia,Getafe,la_liga,17,8
2,0,1,0,15,4,4,0,7,5,13,13,2,2,0,0,1,1,25/09/2019,Real Madrid,Osasuna,la_liga,14,13
3,2,0,2,11,7,4,4,3,1,11,19,3,4,0,0,1,-1,26/09/2019,Eibar,Sevilla,la_liga,6,15
1,1,0,0,14,10,3,4,6,4,5,17,2,5,0,0,0,0,26/09/2019,Celta,Espanol,la_liga,5,7
3,0,3,0,21,5,7,0,5,3,7,20,1,4,0,1,1,1,26/09/2019,Sociedad,Alaves,la_liga,16,0
5,1,1,0,17,11,10,6,3,7,13,8,2,2,0,0,1,1,27/09/2019,Villarreal,Betis,la_liga,19,4
0,1,0,1,14,10,3,6,7,7,14,12,2,5,0,0,-1,-1,28/09/2019,Ath Bilbao,Valencia,la_liga,1,17
0,2,0,1,8,10,1,6,4,1,23,17,4,4,0,1,-1,-1,28/09/2019,Getafe,Barcelona,la_liga,8,3
1,0,1,0,11,15,4,6,8,3,19,12,3,4,0,0,1,1,28/09/2019,Granada,Leganes,la_liga,9,10
0,0,0,0,7,14,1,3,5,7,14,14,1,2,0,0,0,0,28/09/2019,Ath Madrid,Real Madrid,la_liga,2,14
0,2,0,1,16,9,2,6,4,3,16,13,2,0,1,0,-1,-1,29/09/2019,Espanol,Valladolid,la_liga,7,18
2,0,0,0,7,3,3,2,6,5,17,15,3,1,0,0,1,0,29/09/2019,Eibar,Celta,la_liga,6,5
2,0,0,0,11,5,6,1,4,1,16,14,2,3,0,0,1,0,29/09/2019,Alaves,Mallorca,la_liga,0,12
1,1,1,0,10,18,5,3,7,11,12,12,6,0,1,0,0,1,29/09/2019,Levante,Osasuna,la_liga,11,13
3,2,1,1,21,5,8,2,7,0,9,8,1,1,0,0,1,0,29/09/2019,Sevilla,Sociedad,la_liga,15,16
1,1,0,1,12,8,3,2,4,9,7,20,3,6,0,1,0,-1,04/10/2019,Betis,Eibar,la_liga,4,6
1,2,0,1,25,9,10,2,9,4,10,7,3,5,0,0,-1,-1,05/10/2019,Leganes,Levante,la_liga,10,11
4,2,2,0,17,8,10,5,6,2,12,18,4,5,0,0,1,1,05/10/2019,Real Madrid,Granada,la_liga,14,9
2,1,1,0,11,10,3,4,4,7,7,16,1,3,0,0,1,1,05/10/2019,Valencia,Alaves,la_liga,17,0
2,1,0,1,16,16,4,5,8,9,9,15,2,2,0,0,1,-1,05/10/2019,Osasuna,Villarreal,la_liga,13,19
2,0,1,0,9,11,3,3,2,4,11,11,1,3,0,0,1,1,06/10/2019,Mallorca,Espanol,la_liga,12,7
1,0,0,0,13,6,2,2,6,4,8,20,0,5,0,0,1,0,06/10/2019,Celta,Ath Bilbao,la_liga,5,1
0,0,0,0,5,9,1,1,3,4,15,14,6,4,0,0,0,0,06/10/2019,Valladolid,Ath Madrid,la_liga,18,2
1,2,1,0,6,13,3,4,3,8,20,15,2,4,1,0,-1,1,06/10/2019,Sociedad,Getafe,la_liga,16,8
4,0,3,0,15,16,8,4,7,10,10,12,5,3,2,0,1,1,06/10/2019,Barcelona,Sevilla,la_liga,3,15
1,0,1,0,6,9,2,4,2,7,12,17,2,8,0,1,1,1,18/10/2019,Granada,Osasuna,la_liga,9,13
0,3,0,1,5,9,0,4,2,2,16,14,5,0,0,0,-1,-1,19/10/2019,Eibar,Barcelona,la_liga,6,3
1,1,1,0,15,11,4,3,2,4,18,12,2,1,0,1,0,1,19/10/2019,Ath Madrid,Valencia,la_liga,2,17
2,0,0,0,5,7,2,3,2,3,17,19,1,4,0,0,1,0,19/10/2019,Getafe,Leganes,la_liga,8,10
1,0,1,0,5,13,1,4,4,4,20,14,2,2,0,1,1,1,19/10/2019,Mallorca,Real Madrid,la_liga,12,14
2,0,0,0,12,14,5,2,4,6,20,5,5,1,0,0,1,0,20/10/2019,Alaves,Celta,la_liga,0,5
3,1,2,1,18,12,6,5,11,2,23,12,4,2,0,0,1,1,20/10/2019,Sociedad,Betis,la_liga,16,4
0,1,0,1,18,11,3,5,7,3,11,14,2,1,0,0,-1,-1,20/10/2019,Espanol,Villarreal,la_liga,7,19
1,1,1,0,19,9,7,3,3,4,12,9,2,3,0,0,0,1,20/10/2019,Ath Bilbao,Valladolid,la_liga,1,18
1,0,0,0,19,12,5,5,9,1,10,11,2,2,0,0,1,0,20/10/2019,Sevilla,Levante,la_liga,15,11
4,1,1,0,19,12,8,3,5,4,12,13,2,2,0,0,1,1,25/10/2019,Villarreal,Alaves,la_liga,19,0
1,0,1,0,9,9,3,1,4,5,19,13,4,1,0,0,1,1,26/10/2019,Leganes,Mallorca,la_liga,10,12
2,0,2,0,8,13,4,3,4,3,13,13,1,2,0,0,1,1,26/10/2019,Valladolid,Eibar,la_liga,18,6
2,0,1,0,9,9,2,2,7,7,14,9,2,2,0,0,1,1,26/10/2019,Ath Madrid,Ath Bilbao,la_liga,2,1
0,1,0,0,9,9,1,4,3,7,20,12,5,2,1,0,-1,0,27/10/2019,Celta,Sociedad,la_liga,5,16
1,0,0,0,13,12,3,0,4,2,13,8,3,4,0,0,1,0,27/10/2019,Granada,Betis,la_liga,9,4
0,1,0,1,7,14,3,3,4,7,10,26,2,3,0,0,-1,-1,27/10/2019,Levante,Espanol,la_liga,11,7
2,0,0,0,15,9,8,4,5,0,13,18,2,3,0,0,1,0,27/10/2019,Sevilla,Getafe,la_liga,15,8
3,1,1,1,21,2,13,1,6,1,8,6,1,1,0,1,1,0,27/10/2019,Osasuna,Valencia,la_liga,13,17
1,1,0,0,11,9,3,3,4,1,23,16,3,3,0,0,0,0,29/10/2019,Alaves,Ath Madrid,la_liga,0,2
5,1,3,1,18,9,9,1,6,3,9,14,0,3,0,0,1,1,29/10/2019,Barcelona,Valladolid,la_liga,3,18
1,2,0,2,17,13,5,4,9,5,15,12,3,4,0,0,-1,-1,30/10/2019,Sociedad,Levante,la_liga,16,11
1,1,0,1,10,10,3,1,6,1,12,17,6,3,0,0,0,-1,30/10/2019,Valencia,Sevilla,la_liga,17,15
3,0,2,0,7,12,5,5,2,5,13,20,0,1,0,0,1,1,30/10/2019,Ath Bilbao,Espanol,la_liga,1,7
2,1,1,0,11,18,7,5,5,10,16,17,6,1,0,0,1,1,30/10/2019,Betis,Celta,la_liga,4,5
5,0,3,0,22,5,11,3,8,3,12,12,1,5,0,0,1,1,30/10/2019,Real Madrid,Leganes,la_liga,14,10
2,1,0,0,25,9,8,2,8,3,11,12,0,3,0,0,1,0,31/10/2019,Eibar,Villarreal,la_liga,6,19
2,2,1,0,11,12,3,4,5,3,9,10,1,5,0,0,0,1,31/10/2019,Mallorca,Osasuna,la_liga,12,13
