FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR_code,HTR_code,Date,HomeTeam,AwayTeam,League,HomeTeamCode,AwayTeamCode
0,2,0,2,19,10,5,4,8,3,16,25,1,3,0,0,-1,-1,11/08/2023,Almeria,Vallecano,la_liga,1,28
1,2,0,0,9,10,3,3,8,1,15,17,3,2,1,0,-1,0,11/08/2023,Sevilla,Valencia,la_liga,23,26
1,1,1,0,15,6,2,1,4,1,22,9,2,5,0,0,0,1,12/08/2023,Sociedad,Girona,la_liga,24,12
1,1,1,0,5,12,2,2,3,6,11,21,3,2,0,0,0,1,12/08/2023,Las Palmas,Mallorca,la_liga,16,20
0,2,0,2,7,14,1,8,7,5,18,6,3,1,0,0,-1,-1,12/08/2023,Ath Bilbao,Real Madrid,la_liga,2,22
0,2,0,1,11,11,1,5,7,2,11,15,1,1,0,0,-1,-1,13/08/2023,Celta,Osasuna,la_liga,7,21
1,2,0,1,18,12,5,5,9,4,13,17,1,3,0,0,-1,-1,13/08/2023,Villarreal,Betis,la_liga,29,5
0,0,0,0,5,14,2,4,3,4,20,11,8,2,1,1,0,0,13/08/2023,Getafe,Barcelona,la_liga,11,4
1,0,1,0,12,10,3,2,2,4,19,15,3,2,1,0,1,1,14/08/2023,Cadiz,Alaves,la_liga,6,0
3,1,1,0,14,7,6,4,3,3,15,9,3,1,0,0,1,1,14/08/2023,Ath Madrid,Granada,la_liga,3,13
0,1,0,0,8,15,1,3,6,5,12,11,2,4,0,0,-1,0,18/08/2023,Mallorca,Villarreal,la_liga,20,29
1,0,0,0,9,7,4,1,6,4,12,6,0,0,0,0,1,0,18/08/2023,Valencia,Las Palmas,la_liga,26,16
1,1,1,0,11,17,2,6,9,7,12,12,2,1,0,0,0,1,19/08/2023,Sociedad,Celta,la_liga,24,7
1,3,1,1,20,24,8,9,4,5,10,13,1,0,0,0,-1,0,19/08/2023,Almeria,Real Madrid,la_liga,1,22
0,2,0,2,18,8,7,2,5,3,9,14,1,5,1,1,-1,-1,19/08/2023,Osasuna,Ath Bilbao,la_liga,21,2
3,0,1,0,7,9,6,2,3,2,11,20,2,5,0,0,1,1,20/08/2023,Girona,Getafe,la_liga,12,11
2,0,0,0,23,10,10,1,10,2,9,22,4,3,0,0,1,0,20/08/2023,Barcelona,Cadiz,la_liga,4,6
0,0,0,0,14,5,0,1,2,7,10,8,2,1,0,0,0,0,20/08/2023,Betis,Ath Madrid,la_liga,5,3
4,3,2,2,14,12,7,2,4,4,14,13,1,2,0,0,1,0,21/08/2023,Alaves,Sevilla,la_liga,0,23
