FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR_code,HTR_code,Date,HomeTeam,AwayTeam,League,HomeTeamCode,AwayTeamCode
2,1,1,0,8,13,6,4,2,5,11,8,2,1,0,0,1,1,10/08/2018,Man United,Leicester,premier_league,13,10
2,0,1,0,12,10,4,1,7,4,11,9,1,1,0,0,1,1,11/08/2018,Bournemouth,Cardiff,premier_league,1,4
0,2,0,1,15,10,6,9,5,5,9,11,1,2,0,0,-1,-1,11/08/2018,Fulham,Crystal Palace,premier_league,8,6
0,3,0,2,6,13,1,4,2,5,9,8,2,1,0,0,-1,-1,11/08/2018,Huddersfield,Chelsea,premier_league,9,5
1,2,1,2,15,15,2,5,3,5,11,12,2,2,0,0,-1,-1,11/08/2018,Newcastle,Tottenham,premier_league,14,16
2,0,1,0,19,6,5,0,8,2,10,16,2,2,0,0,1,1,11/08/2018,Watford,Brighton,premier_league,17,2
2,2,1,1,11,6,4,5,3,6,8,7,0,1,0,1,0,0,11/08/2018,Wolves,Everton,premier_league,19,7
0,2,0,1,9,17,3,8,2,9,11,14,2,2,0,0,-1,-1,12/08/2018,Arsenal,Man City,premier_league,0,12
4,0,2,0,18,5,8,2,5,4,14,9,1,2,0,0,1,1,12/08/2018,Liverpool,West Ham,premier_league,11,18
0,0,0,0,18,16,3,6,8,5,10,9,0,1,0,0,0,0,12/08/2018,Southampton,Burnley,premier_league,15,3
0,0,0,0,12,12,1,6,5,5,14,16,2,2,0,1,0,0,18/08/2018,Cardiff,Newcastle,premier_league,4,14
3,2,2,2,24,15,11,6,5,1,12,9,0,2,0,0,1,0,18/08/2018,Chelsea,Arsenal,premier_league,5,0
2,1,2,0,13,15,7,4,2,5,8,20,0,5,0,0,1,1,18/08/2018,Everton,Southampton,premier_league,7,15
2,0,2,0,6,11,2,3,1,9,10,8,2,1,1,0,1,1,18/08/2018,Leicester,Wolves,premier_league,10,19
3,1,1,0,25,10,11,3,5,2,9,5,0,0,0,0,1,1,18/08/2018,Tottenham,Fulham,premier_league,16,8
1,2,1,0,11,12,5,5,6,4,14,10,6,2,0,0,-1,1,18/08/2018,West Ham,Bournemouth,premier_league,18,1
3,2,3,1,6,9,3,3,3,5,16,13,1,1,0,0,1,1,19/08/2018,Brighton,Man United,premier_league,2,13
1,3,1,1,8,9,3,6,5,2,8,19,1,2,0,0,-1,0,19/08/2018,Burnley,Watford,premier_league,3,17
6,1,3,1,32,5,14,1,10,3,9,4,0,2,0,0,1,1,19/08/2018,Man City,Huddersfield,premier_league,12,9
0,2,0,1,8,16,2,6,6,7,6,13,1,1,1,0,-1,-1,20/08/2018,Crystal Palace,Liverpool,premier_league,6,11
3,1,1,1,17,13,10,5,10,2,16,13,1,3,0,0,1,0,25/08/2018,Arsenal,West Ham,premier_league,0,18
2,2,0,0,17,11,5,3,6,2,12,10,0,3,1,1,0,0,25/08/2018,Bournemouth,Everton,premier_league,1,7
0,0,0,0,5,14,1,4,7,7,8,10,0,1,1,0,0,0,25/08/2018,Huddersfield,Cardiff,premier_league,9,4
1,0,1,0,22,6,8,2,8,5,8,14,1,1,0,0,1,1,25/08/2018,Liverpool,Brighton,premier_league,11,2
1,2,0,0,11,8,5,5,10,3,13,11,1,1,1,0,-1,0,25/08/2018,Southampton,Leicester,premier_league,15,10
1,1,0,0,11,18,2,6,5,9,13,8,1,2,0,0,0,0,25/08/2018,Wolves,Man City,premier_league,19,12
4,2,3,2,25,12,12,2,6,4,11,8,2,1,0,0,1,1,26/08/2018,Fulham,Burnley,premier_league,8,3
1,2,0,0,6,15,2,3,4,5,16,8,3,1,0,0,-1,0,26/08/2018,Newcastle,Chelsea,premier_league,14,5
2,1,0,0,13,9,5,3,6,3,14,11,4,2,0,0,1,0,26/08/2018,Watford,Crystal Palace,premier_league,17,6
0,3,0,0,23,9,5,5,5,2,11,16,2,4,0,0,-1,0,27/08/2018,Man United,Tottenham,premier_league,13,16
2,2,0,1,15,10,5,5,7,1,12,14,3,3,0,0,0,-1,01/09/2018,Brighton,Fulham,premier_league,2,8
2,0,0,0,24,8,6,1,7,6,10,7,2,2,0,0,1,0,01/09/2018,Chelsea,Bournemouth,premier_league,5,1
0,2,0,0,20,19,6,6,7,4,11,12,1,1,0,0,-1,0,01/09/2018,Crystal Palace,Southampton,premier_league,6,15
1,1,1,1,11,9,1,6,4,3,13,14,3,3,0,0,0,0,01/09/2018,Everton,Huddersfield,premier_league,7,9
1,2,0,2,12,10,5,4,4,4,9,12,3,2,0,0,-1,-1,01/09/2018,Leicester,Liverpool,premier_league,10,11
2,1,1,1,24,3,8,2,4,0,5,13,0,0,0,0,1,0,01/09/2018,Man City,Newcastle,premier_league,12,14
0,1,0,0,13,15,3,6,4,4,10,11,2,1,0,0,-1,0,01/09/2018,West Ham,Wolves,premier_league,18,19
0,2,0,2,9,21,2,9,2,5,7,13,2,3,0,1,-1,-1,02/09/2018,Burnley,Man United,premier_league,3,13
2,3,1,1,14,17,3,11,3,9,12,14,3,4,0,0,-1,0,02/09/2018,Cardiff,Arsenal,premier_league,4,0
2,1,0,0,7,11,3,2,3,10,9,8,2,1,0,0,1,0,02/09/2018,Watford,Tottenham,premier_league,17,16
4,2,3,0,10,14,5,8,4,6,13,15,3,2,0,1,1,1,15/09/2018,Bournemouth,Leicester,premier_league,1,10
4,1,2,1,18,6,7,2,5,4,8,10,0,0,0,0,1,1,15/09/2018,Chelsea,Cardiff,premier_league,5,4
0,1,0,1,15,7,2,2,5,3,11,17,1,2,0,0,-1,-1,15/09/2018,Huddersfield,Crystal Palace,premier_league,9,6
3,0,2,0,28,9,9,3,10,4,7,7,0,0,0,0,1,1,15/09/2018,Man City,Fulham,premier_league,12,8
1,2,0,0,4,12,2,2,10,4,13,11,0,0,0,0,-1,0,15/09/2018,Newcastle,Arsenal,premier_league,14,0
1,2,0,1,11,17,3,10,5,4,17,16,0,0,0,0,-1,-1,15/09/2018,Tottenham,Liverpool,premier_league,16,11
1,2,0,2,14,9,5,6,6,8,9,11,2,1,0,1,-1,-1,15/09/2018,Watford,Man United,premier_league,17,13
1,3,1,2,16,9,4,4,4,2,15,12,2,5,0,0,-1,-1,16/09/2018,Everton,West Ham,premier_league,7,18
1,0,0,0,30,7,7,2,8,2,10,9,2,4,0,0,1,0,16/09/2018,Wolves,Burnley,premier_league,19,3
2,2,1,0,14,12,5,4,1,4,10,13,2,3,0,0,0,1,17/09/2018,Southampton,Brighton,premier_league,15,2
1,2,0,1,8,16,4,7,5,7,15,9,2,1,0,0,-1,-1,22/09/2018,Brighton,Tottenham,premier_league,2,16
4,0,2,0,12,19,5,5,3,8,17,6,2,0,0,0,1,1,22/09/2018,Burnley,Bournemouth,premier_league,3,1
0,5,0,3,2,21,2,10,1,9,6,4,1,1,0,0,-1,-1,22/09/2018,Cardiff,Man City,premier_league,4,12
0,0,0,0,16,6,4,3,9,5,8,11,1,1,0,0,0,0,22/09/2018,Crystal Palace,Newcastle,premier_league,6,14
1,1,0,1,15,11,3,6,8,8,11,9,2,1,0,0,0,-1,22/09/2018,Fulham,Watford,premier_league,8,17
3,1,1,1,18,9,8,2,3,1,10,16,2,1,0,0,1,0,22/09/2018,Leicester,Huddersfield,premier_league,10,9
3,0,3,0,12,7,4,1,5,4,7,10,0,2,0,0,1,1,22/09/2018,Liverpool,Southampton,premier_league,11,15
1,1,1,0,15,11,6,8,5,4,5,17,1,1,0,0,0,1,22/09/2018,Man United,Wolves,premier_league,13,19
2,0,0,0,9,9,5,6,5,9,17,12,2,1,0,0,1,0,23/09/2018,Arsenal,Everton,premier_league,0,7
0,0,0,0,6,17,1,6,1,8,11,9,2,1,0,0,0,0,23/09/2018,West Ham,Chelsea,premier_league,18,5
2,0,0,0,9,13,2,4,6,6,11,17,2,2,0,0,1,0,29/09/2018,Arsenal,Watford,premier_league,0,17
1,1,1,0,10,13,4,6,4,4,7,9,0,2,0,0,0,1,29/09/2018,Chelsea,Liverpool,premier_league,5,11
3,0,0,0,19,6,6,0,12,1,13,13,0,3,0,0,1,0,29/09/2018,Everton,Fulham,premier_league,7,8
0,2,0,2,9,10,5,6,3,0,17,16,2,2,0,0,-1,-1,29/09/2018,Huddersfield,Tottenham,premier_league,9,16
2,0,1,0,28,4,8,1,10,3,4,10,0,3,0,0,1,1,29/09/2018,Man City,Brighton,premier_league,12,2
0,2,0,1,6,12,1,5,5,9,11,5,0,0,0,0,-1,-1,29/09/2018,Newcastle,Leicester,premier_league,14,10
3,1,2,0,8,9,3,4,4,9,12,12,0,1,0,0,1,1,29/09/2018,West Ham,Man United,premier_league,18,13
2,0,0,0,14,17,6,6,8,6,11,7,3,1,0,0,1,0,29/09/2018,Wolves,Southampton,premier_league,19,15
1,2,0,0,19,3,5,2,10,2,11,15,1,3,0,0,-1,0,30/09/2018,Cardiff,Burnley,premier_league,4,3
2,1,1,0,11,10,5,2,3,3,9,12,3,4,0,0,1,1,01/10/2018,Bournemouth,Crystal Palace,premier_league,1,6
1,0,1,0,9,17,4,4,2,9,12,8,3,2,0,0,1,1,05/10/2018,Brighton,West Ham,premier_league,2,18
1,1,1,0,6,19,3,2,1,10,8,11,2,2,0,0,0,1,06/10/2018,Burnley,Huddersfield,premier_league,3,9
0,1,0,0,11,7,4,2,6,3,11,13,3,4,0,0,-1,0,06/10/2018,Crystal Palace,Wolves,premier_league,6,19
1,2,1,1,8,17,2,8,2,10,10,11,2,1,1,0,-1,0,06/10/2018,Leicester,Everton,premier_league,10,7
3,2,0,2,18,13,10,8,10,6,16,8,2,2,0,0,1,-1,06/10/2018,Man United,Newcastle,premier_league,13,14
1,0,1,0,19,8,7,6,6,2,7,11,2,1,0,1,1,1,06/10/2018,Tottenham,Cardiff,premier_league,16,4
0,4,0,3,14,10,2,7,10,7,11,9,3,1,1,0,-1,-1,06/10/2018,Watford,Bournemouth,premier_league,17,1
1,5,1,1,21,9,4,7,4,2,11,12,2,0,0,0,-1,0,07/10/2018,Fulham,Arsenal,premier_league,8,0
0,0,0,0,7,6,2,2,2,6,10,10,1,3,0,0,0,0,07/10/2018,Liverpool,Man City,premier_league,11,12
0,3,0,1,15,21,6,6,4,12,13,11,6,0,0,0,-1,-1,07/10/2018,Southampton,Chelsea,premier_league,15,5
0,0,0,0,10,8,2,4,6,4,10,14,1,2,0,0,0,0,20/10/2018,Bournemouth,Southampton,premier_league,1,15
4,2,2,2,22,9,5,4,4,4,15,16,3,3,0,0,1,0,20/10/2018,Cardiff,Fulham,premier_league,4,8
2,2,1,0,21,7,6,4,5,3,9,17,2,5,0,0,0,1,20/10/2018,Chelsea,Man United,premier_league,5,13
0,1,0,1,13,11,1,2,2,4,9,6,0,2,0,0,-1,-1,20/10/2018,Huddersfield,Liverpool,premier_league,9,11
5,0,1,0,24,5,10,0,10,1,11,5,2,2,0,0,1,1,20/10/2018,Man City,Burnley,premier_league,12,3
0,1,0,1,27,8,6,2,10,2,13,17,0,2,0,0,-1,-1,20/10/2018,Newcastle,Brighton,premier_league,14,2
0,1,0,1,13,10,4,2,10,6,8,10,3,0,0,0,-1,-1,20/10/2018,West Ham,Tottenham,premier_league,18,16
0,2,0,2,10,9,1,3,8,2,23,13,3,1,0,0,-1,-1,20/10/2018,Wolves,Watford,premier_league,19,17
2,0,0,0,20,7,4,3,10,5,13,17,2,1,0,0,1,0,21/10/2018,Everton,Crystal Palace,premier_league,7,6
3,1,1,1,19,8,6,2,6,4,10,10,2,2,0,0,1,0,22/10/2018,Arsenal,Leicester,premier_league,0,10
1,0,0,0,2,25,1,7,1,10,11,8,3,0,0,0,1,0,27/10/2018,Brighton,Wolves,premier_league,2,19
0,3,0,1,11,12,1,5,5,5,16,3,2,1,1,0,-1,-1,27/10/2018,Fulham,Bournemouth,premier_league,8,1
1,1,0,1,21,11,7,3,8,0,17,5,1,1,0,1,0,-1,27/10/2018,Leicester,West Ham,premier_league,10,18
4,1,1,0,19,2,7,1,8,0,6,4,0,0,0,0,1,1,27/10/2018,Liverpool,Cardiff,premier_league,11,4
0,0,0,0,22,6,4,0,7,2,9,12,0,1,0,0,0,0,27/10/2018,Southampton,Newcastle,premier_league,15,14
3,0,2,0,12,13,6,7,3,3,9,13,1,2,0,0,1,1,27/10/2018,Watford,Huddersfield,premier_league,17,9
0,4,0,1,7,24,1,8,4,4,14,10,4,2,0,0,-1,-1,28/10/2018,Burnley,Chelsea,premier_league,3,5
2,2,1,0,16,7,3,2,6,4,10,16,1,2,0,0,0,1,28/10/2018,Crystal Palace,Arsenal,premier_league,6,0
2,1,1,0,14,14,10,6,8,4,15,12,2,1,0,0,1,1,28/10/2018,Man United,Everton,premier_league,13,7
0,1,0,1,4,13,1,6,3,6,13,13,2,2,0,0,-1,-1,29/10/2018,Tottenham,Man City,premier_league,16,12
1,1,0,0,12,13,4,4,5,8,7,7,1,1,0,0,0,0,03/11/2018,Arsenal,Liverpool,premier_league,0,11
1,2,1,1,18,18,7,8,9,5,12,12,4,3,0,0,-1,0,03/11/2018,Bournemouth,Man United,premier_league,1,13
0,1,0,0,11,13,2,5,6,12,13,12,2,2,0,0,-1,0,03/11/2018,Cardiff,Leicester,premier_league,4,10
3,1,1,1,14,5,3,3,6,4,9,17,0,1,0,0,1,0,03/11/2018,Everton,Brighton,premier_league,7,2
1,0,0,0,10,16,2,1,8,9,12,11,1,5,0,0,1,0,03/11/2018,Newcastle,Watford,premier_league,14,17
4,2,1,1,22,6,10,3,10,4,7,9,1,4,0,0,1,0,03/11/2018,West Ham,Burnley,premier_league,18,3
2,3,0,2,16,10,7,8,5,1,11,8,1,2,0,0,-1,-1,03/11/2018,Wolves,Tottenham,premier_league,19,16
3,1,1,0,15,7,6,2,4,2,6,13,0,1,0,0,1,1,04/11/2018,Chelsea,Crystal Palace,premier_league,5,6
6,1,4,1,18,12,8,6,4,4,14,9,1,1,0,0,1,1,04/11/2018,Man City,Southampton,premier_league,12,15
1,0,1,0,10,7,2,1,5,4,11,8,1,2,0,0,1,1,05/11/2018,Huddersfield,Fulham,premier_league,9,8
2,1,1,1,20,7,6,3,4,1,7,21,2,1,0,1,1,0,10/11/2018,Cardiff,Brighton,premier_league,4,2
0,1,0,0,11,11,4,2,10,6,12,9,1,1,0,0,-1,0,10/11/2018,Crystal Palace,Tottenham,premier_league,6,16
1,1,1,0,15,12,7,5,5,6,9,8,1,1,0,0,0,1,10/11/2018,Huddersfield,West Ham,premier_league,9,18
0,0,0,0,22,6,5,1,12,1,13,10,2,0,0,0,0,0,10/11/2018,Leicester,Burnley,premier_league,10,3
2,1,2,1,18,14,6,4,7,10,9,11,2,1,0,0,1,1,10/11/2018,Newcastle,Bournemouth,premier_league,14,1
1,1,1,0,14,12,4,6,7,6,13,13,3,2,0,0,0,1,10/11/2018,Southampton,Watford,premier_league,15,17
