FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR_code,HTR_code,Date,HomeTeam,AwayTeam,League,HomeTeamCode,AwayTeamCode
0,1,0,0,10,10,4,4,2,4,17,18,2,2,0,0,-1,0,19/08/2023,Empoli,Verona,serie_a,3,19
1,3,1,2,4,19,1,8,4,6,14,17,3,3,0,0,-1,-1,19/08/2023,Frosinone,Napoli,serie_a,5,13
1,4,0,3,4,9,2,5,3,4,14,13,2,3,0,0,-1,-1,19/08/2023,Genoa,Fiorentina,serie_a,6,4
2,0,1,0,22,12,3,2,8,3,8,13,1,1,0,0,1,1,19/08/2023,Inter,Monza,serie_a,7,12
2,2,1,1,13,3,3,2,9,1,12,9,0,4,0,0,0,0,20/08/2023,Roma,Salernitana,serie_a,14,15
0,2,0,0,11,16,3,6,7,7,9,13,0,0,0,0,-1,0,20/08/2023,Sassuolo,Atalanta,serie_a,16,0
2,1,0,1,23,10,7,4,5,2,12,16,3,2,0,0,1,-1,20/08/2023,Lecce,Lazio,serie_a,10,9
0,3,0,3,18,9,5,4,7,3,12,10,1,3,0,0,-1,-1,20/08/2023,Udinese,Juventus,serie_a,18,8
0,0,0,0,11,8,2,2,8,3,8,12,1,1,0,0,0,0,21/08/2023,Torino,Cagliari,serie_a,17,2
0,2,0,2,17,10,5,6,3,6,10,4,2,2,0,0,-1,-1,21/08/2023,Bologna,Milan,serie_a,1,11
2,1,2,0,13,18,5,6,3,7,10,10,1,2,0,0,1,1,26/08/2023,Frosinone,Atalanta,serie_a,5,0
2,0,1,0,20,18,5,6,6,5,14,7,1,2,0,0,1,1,26/08/2023,Monza,Empoli,serie_a,12,3
4,1,3,1,17,8,7,1,2,1,13,16,2,3,0,0,1,1,26/08/2023,Milan,Torino,serie_a,11,17
2,1,2,0,5,23,3,7,1,12,17,12,1,3,1,0,1,1,26/08/2023,Verona,Roma,serie_a,19,14
2,2,2,0,9,6,4,2,3,3,13,12,1,3,0,0,0,1,27/08/2023,Fiorentina,Lecce,serie_a,4,10
1,1,0,1,14,9,3,4,5,1,14,13,2,1,0,0,0,-1,27/08/2023,Juventus,Bologna,serie_a,8,1
0,1,0,1,16,5,2,3,15,1,9,16,4,2,0,0,-1,-1,27/08/2023,Lazio,Genoa,serie_a,9,6
2,0,1,0,25,6,5,1,12,4,9,10,0,1,0,1,1,1,27/08/2023,Napoli,Sassuolo,serie_a,13,16
1,1,0,0,9,14,4,6,7,5,12,19,4,4,0,0,0,0,28/08/2023,Salernitana,Udinese,serie_a,15,18
0,2,0,2,12,17,2,3,4,7,9,10,1,1,0,0,-1,-1,28/08/2023,Cagliari,Inter,serie_a,2,7
3,1,1,0,16,11,7,3,10,1,8,13,1,3,0,0,1,1,01/09/2023,Sassuolo,Verona,serie_a,16,19
1,2,0,1,13,9,2,4,3,5,14,15,2,4,0,1,-1,-1,01/09/2023,Roma,Milan,serie_a,14,11
2,1,0,1,16,7,7,1,5,2,9,13,1,2,0,0,1,-1,02/09/2023,Bologna,Cagliari,serie_a,1,2
0,0,0,0,12,12,6,2,3,5,14,9,2,2,0,0,0,0,02/09/2023,Udinese,Frosinone,serie_a,18,5
3,0,2,0,18,8,8,2,7,3,11,9,0,3,0,0,1,1,02/09/2023,Atalanta,Monza,serie_a,0,12
1,2,1,1,22,6,4,2,7,2,8,9,1,2,0,0,-1,0,02/09/2023,Napoli,Lazio,serie_a,13,9
