Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA,HomeTeamCode,AwayTeamCode,FTR_code,HTR_code,H_R_FTHG_W_2,H_R_FTAG_W_2,H_R_HTHG_W_2,H_R_HTAG_W_2,H_R_HS_W_2,H_R_AS_W_2,H_R_HST_W_2,H_R_AST_W_2,H_R_HC_W_2,H_R_AC_W_2,H_R_HF_W_2,H_R_AF_W_2,H_R_HY_W_2,H_R_AY_W_2,H_R_HR_W_2,H_R_AR_W_2,H_R_FTR_code_W_2,H_R_HTR_code_W_2,H_R_FTHG_W_3,H_R_FTAG_W_3,H_R_HTHG_W_3,H_R_HTAG_W_3,H_R_HS_W_3,H_R_AS_W_3,H_R_HST_W_3,H_R_AST_W_3,H_R_HC_W_3,H_R_AC_W_3,H_R_HF_W_3,H_R_AF_W_3,H_R_HY_W_3,H_R_AY_W_3,H_R_HR_W_3,H_R_AR_W_3,H_R_FTR_code_W_3,H_R_HTR_code_W_3,H_R_FTHG_W_4,H_R_FTAG_W_4,H_R_HTHG_W_4,H_R_HTAG_W_4,H_R_HS_W_4,H_R_AS_W_4,H_R_HST_W_4,H_R_AST_W_4,H_R_HC_W_4,H_R_AC_W_4,H_R_HF_W_4,H_R_AF_W_4,H_R_HY_W_4,H_R_AY_W_4,H_R_HR_W_4,H_R_AR_W_4,H_R_FTR_code_W_4,H_R_HTR_code_W_4,A_R_FTHG_W_2,A_R_FTAG_W_2,A_R_HTHG_W_2,A_R_HTAG_W_2,A_R_HS_W_2,A_R_AS_W_2,A_R_HST_W_2,A_R_AST_W_2,A_R_HC_W_2,A_R_AC_W_2,A_R_HF_W_2,A_R_AF_W_2,A_R_HY_W_2,A_R_AY_W_2,A_R_HR_W_2,A_R_AR_W_2,A_R_FTR_code_W_2,A_R_HTR_code_W_2,A_R_FTHG_W_3,A_R_FTAG_W_3,A_R_HTHG_W_3,A_R_HTAG_W_3,A_R_HS_W_3,A_R_AS_W_3,A_R_HST_W_3,A_R_AST_W_3,A_R_HC_W_3,A_R_AC_W_3,A_R_HF_W_3,A_R_AF_W_3,A_R_HY_W_3,A_R_AY_W_3,A_R_HR_W_3,A_R_AR_W_3,A_R_FTR_code_W_3,A_R_HTR_code_W_3,A_R_FTHG_W_4,A_R_FTAG_W_4,A_R_HTHG_W_4,A_R_HTAG_W_4,A_R_HS_W_4,A_R_AS_W_4,A_R_HST_W_4,A_R_AST_W_4,A_R_HC_W_4,A_R_AC_W_4,A_R_HF_W_4,A_R_AF_W_4,A_R_HY_W_4,A_R_AY_W_4,A_R_HR_W_4,A_R_AR_W_4,A_R_FTR_code_W_4,A_R_HTR_code_W_4
SP1,2017-01-06,Espanol,La Coruna,1,1,D,0,0,D,14,13,4,3,13,14,2,8,1,1,0,1,2.05,3.3,3.8,2.05,3.3,3.9,2.0,3.4,3.8,2.05,3.1,3.8,2.12,3.25,4.15,2.1,3.3,3.8,2.1,3.4,3.9,51,2.18,2.07,3.4,3.28,4.15,3.88,48,2.49,2.32,1.7,1.6,27,-0.5,2.14,2.07,1.85,1.81,2.23,3.25,3.78,7,9,0,0,2.5,0.5,0.0,0.0,10.0,10.5,5.0,4.0,3.5,3.5,16.0,13.0,1.0,2.0,0.0,0.0,1.0,0.0,1.6666666666666667,0.3333333333333333,0.0,0.0,8.666666666666666,8.333333333333334,4.333333333333333,2.6666666666666665,4.0,3.3333333333333335,15.0,12.333333333333334,1.0,2.0,0.0,0.0,0.6666666666666666,0.0,2.0,1.0,0.0,0.75,9.25,8.25,4.5,2.75,4.75,4.0,14.0,12.25,1.0,3.0,0.25,0.0,0.5,-0.25,3.5,2.5,1.0,0.5,13.5,14.0,4.5,5.0,6.0,4.0,15.5,15.0,3.0,2.5,0.0,0.0,1.0,0.5,2.6666666666666665,2.0,0.6666666666666666,0.3333333333333333,13.666666666666666,13.666666666666666,5.0,5.0,6.333333333333333,4.666666666666667,14.0,12.333333333333334,2.3333333333333335,2.3333333333333335,0.0,0.0,0.6666666666666666,0.3333333333333333,3.0,1.75,0.75,0.5,12.5,13.0,5.5,4.0,6.0,4.5,14.75,13.0,2.5,3.0,0.0,0.0,0.75,0.25
SP1,2017-01-07,Eibar,Ath Madrid,0,2,A,0,0,D,15,8,2,4,11,10,5,3,2,2,0,0,5.5,3.5,1.73,5.25,3.6,1.72,5.3,3.8,1.65,5.0,3.5,1.7,5.48,3.78,1.75,5.5,3.5,1.75,5.4,3.75,1.73,50,5.75,5.38,3.8,3.64,1.77,1.71,47,2.28,2.18,1.74,1.68,25,1.0,1.69,1.64,2.41,2.3,5.87,3.69,1.73,6,2,-1,0,1.5,0.5,1.0,0.0,12.0,5.0,5.0,2.5,6.0,1.5,12.5,7.0,0.5,1.0,0.0,0.5,0.5,0.5,1.3333333333333333,0.3333333333333333,1.0,0.0,12.0,5.333333333333333,5.0,2.3333333333333335,6.333333333333333,1.0,12.0,9.0,1.0,2.3333333333333335,0.0,1.0,0.6666666666666666,0.6666666666666666,1.5,0.5,0.75,0.25,12.25,5.5,6.0,2.0,5.5,2.5,13.0,10.75,1.25,2.5,0.0,0.75,0.75,0.25,1.5,1.5,1.0,1.0,10.0,10.0,3.0,4.0,4.5,5.5,11.0,9.5,2.5,2.5,0.0,0.0,0.0,0.0,1.6666666666666667,1.0,0.6666666666666666,0.6666666666666666,10.666666666666666,9.666666666666666,3.0,3.3333333333333335,5.0,5.666666666666667,13.333333333333334,13.0,2.3333333333333335,3.0,0.0,0.0,0.3333333333333333,0.0,1.5,0.75,0.5,0.5,11.0,9.5,3.5,3.25,4.75,5.5,13.75,12.5,2.75,2.75,0.0,0.25,0.5,0.0
SP1,2017-01-07,Real Madrid,Granada,5,0,H,4,0,H,23,3,13,1,11,12,9,1,1,4,0,0,1.07,13.0,26.0,1.07,12.5,29.0,1.07,12.0,26.0,1.08,12.0,29.0,1.08,16.25,27.0,1.08,13.0,34.0,1.07,15.0,34.0,50,1.1,1.07,17.33,13.06,41.59,28.44,37,1.2,1.16,6.15,4.99,27,-3.0,1.97,1.91,2.0,1.94,1.07,15.5,36.5,14,8,1,1,2.5,1.5,1.0,0.5,18.0,6.5,6.0,2.5,7.5,4.5,17.5,17.5,2.0,3.5,0.0,0.0,1.0,0.5,2.6666666666666665,1.0,1.3333333333333333,0.3333333333333333,17.666666666666668,6.666666666666667,6.333333333333333,2.6666666666666665,5.666666666666667,3.6666666666666665,14.0,18.333333333333332,2.3333333333333335,4.0,0.0,0.0,1.0,0.6666666666666666,2.5,1.0,1.25,0.5,19.25,7.5,6.75,2.75,5.75,3.75,13.0,18.0,2.25,3.75,0.0,0.0,1.0,0.5,2.0,1.0,1.5,0.0,16.0,7.5,6.5,1.5,5.5,1.0,10.0,14.5,1.5,4.0,0.0,0.0,0.5,1.0,1.6666666666666667,1.0,1.0,0.3333333333333333,15.333333333333334,8.0,6.666666666666667,2.6666666666666665,7.333333333333333,1.3333333333333333,9.0,15.666666666666666,1.3333333333333333,4.333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,1.5,0.75,0.75,0.25,15.25,6.25,6.25,2.0,7.5,1.25,8.5,16.0,1.25,4.25,0.0,0.0,0.5,0.25
SP1,2017-01-07,Las Palmas,Sp Gijon,1,0,H,0,0,D,16,10,10,2,8,18,8,3,2,3,0,0,1.67,3.75,5.5,1.67,3.9,5.25,1.7,3.7,5.0,1.65,3.8,5.25,1.66,4.12,5.76,1.7,3.75,5.5,1.67,4.0,5.5,49,1.71,1.67,4.12,3.9,5.76,5.29,47,1.88,1.82,2.06,1.98,25,-1.0,2.19,2.14,1.78,1.73,1.61,4.18,6.3,10,17,1,0,2.0,1.0,1.0,0.0,7.5,10.5,2.5,4.5,5.5,3.5,18.0,19.5,3.0,3.5,0.0,0.5,0.5,1.0,1.6666666666666667,0.6666666666666666,0.6666666666666666,0.0,10.333333333333334,11.333333333333334,3.6666666666666665,4.666666666666667,6.0,3.6666666666666665,15.333333333333334,19.666666666666668,2.3333333333333335,3.6666666666666665,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,2.0,1.25,0.5,0.75,12.0,10.75,4.75,5.0,6.5,3.0,14.75,20.25,2.25,4.25,0.0,0.5,0.5,0.25,2.0,1.0,1.0,0.5,15.5,11.0,6.5,4.0,4.5,4.5,16.0,14.0,1.0,2.5,0.0,0.0,1.0,0.5,2.3333333333333335,1.3333333333333333,1.0,0.6666666666666666,17.666666666666668,9.666666666666666,6.666666666666667,4.0,6.0,3.6666666666666665,14.666666666666666,16.0,2.3333333333333335,3.0,0.0,0.3333333333333333,1.0,0.3333333333333333,1.75,1.0,0.75,0.5,16.25,8.0,5.25,3.75,5.25,3.5,13.5,15.0,2.75,2.5,0.0,0.25,0.75,0.25
SP1,2017-01-07,Sociedad,Sevilla,0,4,A,0,2,A,11,11,5,10,15,18,7,4,2,3,0,0,2.25,3.4,3.2,2.3,3.4,3.1,2.3,3.3,3.15,2.25,3.4,3.0,2.35,3.62,3.14,2.3,3.5,3.1,2.3,3.5,3.13,49,2.4,2.3,3.62,3.47,3.25,3.08,46,1.8,1.71,2.23,2.11,25,-0.25,2.03,1.99,1.92,1.88,2.56,3.42,2.96,16,15,-1,-1,2.0,1.5,1.0,0.5,15.5,9.5,6.0,2.5,8.0,5.0,16.5,15.5,3.0,4.0,0.0,0.5,0.5,0.5,2.0,1.0,0.6666666666666666,0.3333333333333333,14.333333333333334,9.333333333333334,5.0,2.3333333333333335,7.333333333333333,5.333333333333333,17.0,17.0,2.6666666666666665,4.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,2.25,0.75,0.75,0.25,14.75,9.5,5.0,2.5,6.5,4.5,17.0,17.75,2.75,4.25,0.0,0.25,0.75,0.5,1.0,2.0,0.5,0.0,12.5,15.5,6.0,5.5,4.0,7.0,15.5,14.5,4.0,2.5,0.0,0.0,0.0,0.5,1.3333333333333333,2.3333333333333335,1.0,0.3333333333333333,9.666666666666666,17.0,5.0,6.0,3.6666666666666665,9.333333333333334,15.333333333333334,13.666666666666666,3.6666666666666665,2.3333333333333335,0.0,0.0,-0.3333333333333333,0.6666666666666666,1.25,2.0,1.0,0.5,9.5,17.75,5.0,6.0,3.5,8.0,15.75,12.5,4.25,2.25,0.0,0.0,-0.25,0.5
SP1,2017-01-08,Villarreal,Barcelona,1,1,D,0,0,D,6,20,3,7,16,13,2,4,1,2,1,0,6.0,4.33,1.53,6.0,4.6,1.5,6.2,4.0,1.55,5.5,4.2,1.55,5.91,4.54,1.58,6.0,4.2,1.57,5.75,4.5,1.53,50,6.25,5.86,4.66,4.37,1.59,1.54,47,1.67,1.61,2.42,2.3,27,1.0,2.04,1.95,1.96,1.89,6.64,4.75,1.52,19,3,0,0,1.5,1.0,1.0,1.0,16.0,11.5,7.5,5.0,7.0,4.0,12.0,16.0,2.5,3.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.6666666666666666,1.0,0.6666666666666666,15.666666666666666,10.0,7.333333333333333,4.333333333333333,8.0,3.0,13.333333333333334,14.666666666666666,1.6666666666666667,2.6666666666666665,0.0,0.0,0.3333333333333333,0.3333333333333333,1.75,0.75,0.75,0.75,15.25,9.5,6.5,4.25,6.5,2.5,14.0,14.0,1.75,2.75,0.0,0.0,0.5,0.0,0.5,2.0,0.0,0.0,10.5,13.5,3.5,4.0,5.0,5.5,17.0,8.5,2.5,2.0,0.0,0.0,-0.5,0.0,0.6666666666666666,2.0,0.3333333333333333,0.3333333333333333,12.0,13.666666666666666,3.6666666666666665,5.0,4.333333333333333,5.333333333333333,17.333333333333332,9.666666666666666,3.0,3.3333333333333335,0.0,0.0,-0.6666666666666666,0.0,1.0,2.25,0.25,0.5,10.75,14.0,3.75,5.75,4.0,4.25,16.75,10.5,3.5,3.5,0.0,0.0,-0.75,-0.25
SP1,2017-01-08,Betis,Leganes,2,0,H,0,0,D,16,9,3,3,10,20,4,2,2,6,0,0,2.1,3.25,3.75,2.05,3.3,3.9,2.0,3.4,3.8,2.1,3.0,3.75,2.19,3.21,3.96,2.15,3.2,3.8,2.1,3.2,3.75,50,2.19,2.12,3.4,3.22,4.06,3.79,44,2.62,2.47,1.6,1.53,26,-0.25,1.86,1.82,2.14,2.06,2.24,3.14,3.91,4,11,1,0,2.0,1.5,1.0,0.5,11.0,13.5,3.0,5.0,3.5,5.0,18.0,13.0,3.5,1.5,0.5,0.0,0.5,0.5,2.0,1.0,1.3333333333333333,0.3333333333333333,10.666666666666666,12.0,3.0,4.333333333333333,3.6666666666666665,5.0,19.333333333333332,12.0,2.3333333333333335,1.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,1.5,1.0,1.0,0.25,11.25,11.5,3.5,4.5,4.75,4.5,18.25,12.75,2.5,1.75,0.25,0.0,0.25,0.5,2.0,0.5,0.5,0.0,6.5,9.5,2.5,4.5,4.5,4.0,18.0,17.0,2.0,2.5,0.0,0.0,0.5,0.5,2.3333333333333335,0.3333333333333333,1.0,0.0,10.0,8.666666666666666,4.0,4.0,3.6666666666666665,3.3333333333333335,14.333333333333334,18.0,2.3333333333333335,3.3333333333333335,0.0,0.0,0.6666666666666666,0.6666666666666666,2.75,0.25,1.25,0.0,13.5,10.0,5.0,4.25,4.0,4.5,13.75,17.25,2.0,3.25,0.0,0.0,0.75,0.75
SP1,2017-01-08,Ath Bilbao,Alaves,0,0,D,0,0,D,15,10,4,4,10,13,13,4,2,4,0,0,1.53,3.8,7.5,1.57,4.0,6.25,1.57,3.9,6.1,1.57,3.8,6.0,1.59,4.14,6.64,1.57,3.8,7.0,1.57,4.0,7.0,50,1.61,1.56,4.14,3.92,7.5,6.58,47,2.18,2.11,1.8,1.72,27,-1.0,2.07,1.99,1.9,1.85,1.57,4.14,7.02,1,0,0,0,2.5,1.0,0.5,0.0,11.0,10.0,6.0,4.0,5.5,4.5,12.5,14.5,2.5,3.0,0.0,0.5,1.0,0.5,2.0,0.6666666666666666,0.3333333333333333,0.0,11.333333333333334,8.666666666666666,5.666666666666667,3.3333333333333335,5.666666666666667,4.666666666666667,12.666666666666666,15.333333333333334,1.6666666666666667,2.6666666666666665,0.0,0.3333333333333333,1.0,0.3333333333333333,1.75,0.75,0.5,0.25,13.0,8.25,5.25,3.25,6.5,4.0,12.0,14.25,1.75,2.25,0.0,0.25,0.75,0.25,0.0,1.0,0.0,1.0,15.5,6.5,5.5,5.0,9.5,1.5,12.5,13.0,1.5,2.0,0.0,0.0,-0.5,-0.5,0.0,1.0,0.0,0.6666666666666666,13.666666666666666,8.333333333333334,5.0,4.333333333333333,7.333333333333333,2.3333333333333335,14.333333333333334,12.0,2.6666666666666665,2.0,0.0,0.0,-0.6666666666666666,-0.3333333333333333,0.75,0.75,0.25,0.5,14.25,8.75,5.0,4.0,6.5,2.25,15.0,14.0,2.75,2.75,0.0,0.0,-0.25,0.0
SP1,2017-01-08,Celta,Malaga,3,1,H,1,0,H,6,13,3,4,17,15,2,7,1,4,0,0,1.85,3.6,4.33,1.87,3.7,4.1,1.9,3.5,4.1,1.85,3.6,4.2,1.88,3.78,4.42,1.85,3.75,4.33,1.85,3.8,4.1,50,1.92,1.87,3.85,3.69,4.43,4.16,48,1.84,1.79,2.14,2.02,24,-0.5,1.9,1.86,2.06,1.99,1.95,3.58,4.37,5,12,1,1,1.5,2.0,1.0,0.0,15.0,10.5,6.0,3.0,4.5,3.0,8.5,14.0,1.5,3.0,0.0,0.0,0.0,0.5,1.6666666666666667,1.6666666666666667,1.0,0.3333333333333333,12.333333333333334,11.333333333333334,5.333333333333333,3.3333333333333335,4.333333333333333,3.0,12.0,14.333333333333334,3.0,2.3333333333333335,0.0,0.0,0.3333333333333333,0.3333333333333333,2.25,1.5,1.0,0.5,11.5,11.25,5.75,2.75,4.5,3.25,13.25,14.5,3.0,3.0,0.0,0.0,0.5,0.25,3.0,1.5,3.0,0.5,8.5,17.5,4.0,4.5,2.5,9.5,16.5,9.5,3.5,2.0,0.5,0.0,0.5,1.0,2.0,1.0,2.0,0.3333333333333333,15.0,13.0,5.333333333333333,3.3333333333333335,6.333333333333333,6.666666666666667,15.333333333333334,10.333333333333334,2.3333333333333335,2.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,2.5,1.25,2.25,0.5,15.25,11.25,5.75,3.25,6.25,5.5,14.0,10.25,2.25,2.5,0.5,0.75,0.5,0.75
SP1,2017-01-09,Osasuna,Valencia,3,3,D,1,2,A,22,7,4,3,19,13,7,3,2,5,0,0,4.0,3.5,1.95,3.9,3.6,1.95,3.8,3.4,2.0,3.75,3.5,1.95,3.92,3.74,2.01,4.0,3.6,1.95,3.8,3.6,1.95,50,4.1,3.86,3.74,3.59,2.02,1.96,48,2.0,1.89,1.98,1.9,24,0.5,1.93,1.89,2.01,1.96,4.26,3.64,1.96,13,18,0,-1,0.0,3.0,0.0,1.0,7.5,12.0,1.0,5.5,4.5,4.5,13.5,6.0,2.5,1.0,0.0,0.0,-1.0,-0.5,0.0,2.3333333333333335,0.0,0.6666666666666666,8.333333333333334,12.0,2.0,4.666666666666667,4.0,4.333333333333333,15.0,7.333333333333333,3.3333333333333335,1.3333333333333333,0.0,0.0,-1.0,-0.3333333333333333,0.25,2.25,0.0,0.75,9.5,12.0,2.75,5.0,4.5,4.25,16.25,8.5,3.25,1.5,0.25,0.0,-1.0,-0.5,2.5,1.5,1.0,0.5,10.0,9.5,3.5,3.5,5.5,5.0,18.0,17.0,2.0,2.5,0.0,0.5,1.0,0.5,2.3333333333333335,1.3333333333333333,1.0,0.6666666666666666,9.0,10.666666666666666,3.6666666666666665,3.6666666666666665,5.0,4.333333333333333,18.333333333333332,16.333333333333332,3.3333333333333335,2.0,0.0,0.3333333333333333,1.0,0.3333333333333333,2.0,1.25,1.0,0.5,10.75,10.5,3.75,3.5,5.0,4.75,17.25,17.5,2.75,2.75,0.0,0.25,0.75,0.5
