FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR_code,HTR_code,Date,HomeTeam,AwayTeam,League,HomeTeamCode,AwayTeamCode,H_R_FTHG_W_2,H_R_FTAG_W_2,H_R_HTHG_W_2,H_R_HTAG_W_2,H_R_HS_W_2,H_R_AS_W_2,H_R_HST_W_2,H_R_AST_W_2,H_R_HC_W_2,H_R_AC_W_2,H_R_HF_W_2,H_R_AF_W_2,H_R_HY_W_2,H_R_AY_W_2,H_R_HR_W_2,H_R_AR_W_2,H_R_FTR_code_W_2,H_R_HTR_code_W_2,H_R_FTHG_W_3,H_R_FTAG_W_3,H_R_HTHG_W_3,H_R_HTAG_W_3,H_R_HS_W_3,H_R_AS_W_3,H_R_HST_W_3,H_R_AST_W_3,H_R_HC_W_3,H_R_AC_W_3,H_R_HF_W_3,H_R_AF_W_3,H_R_HY_W_3,H_R_AY_W_3,H_R_HR_W_3,H_R_AR_W_3,H_R_FTR_code_W_3,H_R_HTR_code_W_3,H_R_FTHG_W_4,H_R_FTAG_W_4,H_R_HTHG_W_4,H_R_HTAG_W_4,H_R_HS_W_4,H_R_AS_W_4,H_R_HST_W_4,H_R_AST_W_4,H_R_HC_W_4,H_R_AC_W_4,H_R_HF_W_4,H_R_AF_W_4,H_R_HY_W_4,H_R_AY_W_4,H_R_HR_W_4,H_R_AR_W_4,H_R_FTR_code_W_4,H_R_HTR_code_W_4,A_R_FTHG_W_2,A_R_FTAG_W_2,A_R_HTHG_W_2,A_R_HTAG_W_2,A_R_HS_W_2,A_R_AS_W_2,A_R_HST_W_2,A_R_AST_W_2,A_R_HC_W_2,A_R_AC_W_2,A_R_HF_W_2,A_R_AF_W_2,A_R_HY_W_2,A_R_AY_W_2,A_R_HR_W_2,A_R_AR_W_2,A_R_FTR_code_W_2,A_R_HTR_code_W_2,A_R_FTHG_W_3,A_R_FTAG_W_3,A_R_HTHG_W_3,A_R_HTAG_W_3,A_R_HS_W_3,A_R_AS_W_3,A_R_HST_W_3,A_R_AST_W_3,A_R_HC_W_3,A_R_AC_W_3,A_R_HF_W_3,A_R_AF_W_3,A_R_HY_W_3,A_R_AY_W_3,A_R_HR_W_3,A_R_AR_W_3,A_R_FTR_code_W_3,A_R_HTR_code_W_3,A_R_FTHG_W_4,A_R_FTAG_W_4,A_R_HTHG_W_4,A_R_HTAG_W_4,A_R_HS_W_4,A_R_AS_W_4,A_R_HST_W_4,A_R_AST_W_4,A_R_HC_W_4,A_R_AC_W_4,A_R_HF_W_4,A_R_AF_W_4,A_R_HY_W_4,A_R_AY_W_4,A_R_HR_W_4,A_R_AR_W_4,A_R_FTR_code_W_4,A_R_HTR_code_W_4
3,0,1,0,17,12,7,3,2,6,11,15,3,5,0,1,1,1,2018-12-03,Levante,Ath Bilbao,la_liga,12,1,1.5,1.5,1.0,0.0,13.0,18.0,3.0,5.0,4.5,3.0,14.5,13.0,4.0,1.5,0.0,0.0,0.0,1.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,0.3333333333333333,13.333333333333334,16.666666666666668,3.3333333333333335,4.0,6.0,3.3333333333333335,17.0,15.0,5.0,1.3333333333333333,0.0,0.0,0.3333333333333333,1.0,1.75,2.5,1.25,1.25,14.75,17.5,5.0,5.25,6.5,3.5,14.0,15.75,4.0,1.25,0.0,0.0,0.0,0.5,2.0,1.0,0.5,0.5,8.5,8.0,3.0,3.5,7.0,1.5,11.5,14.0,3.0,3.5,0.0,0.5,1.0,0.0,1.6666666666666667,1.0,0.6666666666666666,0.3333333333333333,9.333333333333334,9.333333333333334,3.0,3.6666666666666665,6.333333333333333,2.3333333333333335,12.333333333333334,12.333333333333334,2.3333333333333335,2.6666666666666665,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.5,1.0,0.75,0.5,11.5,8.5,3.75,3.5,6.75,2.25,11.0,12.5,2.25,2.75,0.0,0.25,0.5,0.25
0,0,0,0,15,5,2,2,10,0,11,11,3,3,0,0,0,0,2018-12-14,Celta,Leganes,la_liga,5,11,2.0,2.0,0.5,0.5,13.5,11.0,4.5,4.0,4.5,2.5,16.5,13.5,3.0,2.5,0.5,0.0,0.0,0.0,2.6666666666666665,1.3333333333333333,1.0,0.3333333333333333,12.333333333333334,13.0,5.0,4.333333333333333,3.6666666666666665,4.333333333333333,14.0,11.666666666666666,2.0,1.6666666666666667,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,2.0,1.25,0.75,0.25,14.0,12.0,6.0,3.75,4.25,3.75,12.75,11.75,2.0,2.0,0.25,0.0,0.0,0.25,1.0,2.0,0.0,1.0,12.5,12.0,3.0,3.0,3.0,5.5,9.0,13.0,0.5,3.5,0.0,0.0,-0.5,-0.5,1.3333333333333333,1.3333333333333333,0.3333333333333333,0.6666666666666666,11.333333333333334,15.0,3.3333333333333335,4.0,3.0,4.333333333333333,10.0,13.333333333333334,1.0,3.0,0.0,0.0,0.0,0.0,1.25,1.25,0.25,0.5,13.0,13.0,3.5,4.25,4.75,3.5,9.75,13.25,1.0,2.75,0.0,0.0,0.0,0.0
1,0,1,0,9,9,2,4,2,3,24,14,3,4,0,0,1,1,2018-12-15,Getafe,Sociedad,la_liga,8,15,1.5,0.5,0.0,0.0,15.5,7.5,4.0,2.5,6.5,4.0,20.0,12.0,3.0,2.5,0.5,0.0,0.0,0.0,1.6666666666666667,0.3333333333333333,0.0,0.0,15.666666666666666,7.333333333333333,5.0,2.6666666666666665,6.0,4.0,16.333333333333332,12.666666666666666,2.3333333333333335,2.3333333333333335,0.3333333333333333,0.0,0.3333333333333333,0.0,1.25,0.5,0.0,0.0,15.5,8.5,4.75,2.75,7.0,3.5,16.5,14.0,2.75,3.0,0.5,0.0,0.0,0.0,1.0,1.5,1.0,0.0,11.5,10.5,3.0,4.0,6.0,4.0,17.5,15.0,5.0,1.5,0.0,0.0,0.0,1.0,1.3333333333333333,1.0,1.0,0.0,12.333333333333334,9.333333333333334,3.3333333333333335,2.6666666666666665,7.333333333333333,3.0,15.0,12.333333333333334,4.0,1.3333333333333333,0.0,0.0,0.3333333333333333,1.0,1.25,1.5,1.0,0.25,12.5,8.5,3.75,2.75,8.25,2.25,15.0,14.0,4.5,2.25,0.0,0.0,0.0,0.75
0,0,0,0,11,6,2,3,5,3,16,13,2,2,0,0,0,0,2018-12-17,Alaves,Ath Bilbao,la_liga,0,1,1.5,1.0,1.0,0.5,12.0,11.5,4.0,2.5,3.5,4.5,20.5,13.5,3.0,3.5,0.0,0.0,0.5,0.5,1.6666666666666667,1.0,0.6666666666666666,0.6666666666666666,14.333333333333334,10.666666666666666,4.666666666666667,2.3333333333333335,5.0,4.333333333333333,16.666666666666668,12.666666666666666,2.3333333333333335,2.6666666666666665,0.0,0.0,0.6666666666666666,0.0,1.5,0.75,0.5,0.5,12.75,11.25,4.5,3.25,4.75,4.0,17.5,12.0,2.0,2.0,0.0,0.0,0.75,0.0,3.0,1.0,0.5,0.5,13.0,9.0,5.0,4.0,7.0,4.0,9.5,15.0,4.0,4.5,0.0,1.0,1.0,0.0,2.3333333333333335,0.6666666666666666,0.6666666666666666,0.3333333333333333,11.333333333333334,9.333333333333334,4.333333333333333,3.3333333333333335,5.333333333333333,3.0,11.333333333333334,14.333333333333334,3.0,4.0,0.0,0.6666666666666666,1.0,0.3333333333333333,2.0,0.75,0.75,0.25,11.25,10.0,4.0,3.5,5.25,3.25,12.0,13.0,2.5,3.25,0.0,0.5,0.75,0.5
0,1,0,1,18,9,4,3,10,1,14,11,2,4,0,0,-1,-1,2018-12-21,Sociedad,Alaves,la_liga,15,0,1.5,1.5,0.5,0.5,19.0,8.0,6.5,4.0,8.5,4.0,10.5,15.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,16.0,8.0,4.666666666666667,3.0,8.0,5.0,9.666666666666666,15.666666666666666,1.6666666666666667,2.3333333333333335,0.0,0.0,0.0,0.0,0.75,0.75,0.25,0.25,15.5,9.0,5.5,2.75,7.75,5.25,10.75,15.5,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,12.5,10.0,5.5,2.5,5.0,4.0,15.0,14.0,3.5,4.0,0.0,0.0,1.0,1.0,2.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,16.0,9.666666666666666,6.333333333333333,2.6666666666666665,7.666666666666667,3.0,13.666666666666666,11.666666666666666,3.6666666666666665,2.6666666666666665,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.5,0.5,0.5,0.25,16.75,9.5,7.0,2.5,7.25,2.75,12.5,11.75,3.25,2.75,0.25,0.25,0.5,0.25
1,1,1,0,8,5,3,2,3,1,25,12,3,2,0,0,0,1,2018-12-22,Ath Bilbao,Valladolid,la_liga,1,17,1.0,0.5,0.0,0.0,16.5,9.0,7.0,1.5,6.5,1.0,13.5,13.5,4.0,2.5,0.0,0.0,0.5,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,15.333333333333334,9.666666666666666,5.333333333333333,2.0,6.0,1.3333333333333333,17.333333333333332,16.333333333333332,3.3333333333333335,3.3333333333333335,0.0,0.0,0.3333333333333333,0.0,0.75,1.0,0.25,0.25,14.75,8.75,5.25,2.25,7.25,1.0,16.75,17.0,4.0,3.75,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,20.0,11.5,7.0,5.5,9.5,6.0,12.0,15.5,2.5,2.5,0.0,0.0,0.0,0.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,18.666666666666668,11.666666666666666,7.0,4.333333333333333,9.0,6.0,12.666666666666666,12.666666666666666,2.0,1.6666666666666667,0.0,0.0,0.3333333333333333,0.0,1.0,0.75,0.25,0.5,19.0,10.25,6.25,3.75,9.0,6.0,11.25,12.0,1.5,2.25,0.0,0.0,0.0,-0.25
1,1,1,0,4,15,2,4,4,11,11,13,2,4,0,0,0,1,2018-12-22,Betis,Eibar,la_liga,4,6,1.5,0.0,0.5,0.0,7.0,9.0,3.5,3.5,4.0,6.5,15.5,19.0,3.0,2.5,0.0,0.0,1.0,0.5,2.0,1.0,0.6666666666666666,0.0,9.333333333333334,10.666666666666666,4.333333333333333,4.666666666666667,4.0,5.666666666666667,14.333333333333334,16.333333333333332,3.3333333333333335,2.3333333333333335,0.0,0.0,0.6666666666666666,0.6666666666666666,1.5,1.0,0.5,0.25,12.0,9.5,4.25,4.0,5.25,5.75,12.5,14.75,2.5,2.75,0.0,0.0,0.25,0.25,0.5,0.0,0.0,0.0,7.0,14.5,1.5,5.5,2.5,4.0,15.5,13.5,3.5,3.5,0.0,0.5,0.5,0.0,1.6666666666666667,0.0,0.6666666666666666,0.0,8.0,15.333333333333334,3.0,5.333333333333333,2.3333333333333335,5.333333333333333,13.333333333333334,11.666666666666666,2.3333333333333335,2.3333333333333335,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.75,0.75,1.0,0.5,8.5,14.5,3.0,5.0,2.75,6.25,12.25,13.0,2.5,3.25,0.0,0.25,0.25,0.25
1,1,1,0,13,8,4,2,3,6,14,9,3,3,0,1,0,1,2018-12-23,Leganes,Sevilla,la_liga,11,14,1.0,0.5,0.5,0.5,15.0,6.5,5.5,2.0,6.0,2.5,11.0,13.0,1.5,3.0,0.5,0.0,0.5,0.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,12.666666666666666,7.333333333333333,4.666666666666667,2.6666666666666665,5.333333333333333,4.0,13.333333333333334,12.666666666666666,2.3333333333333335,2.6666666666666665,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.5,0.5,0.25,12.75,7.0,4.5,2.5,5.5,4.0,13.0,12.5,2.0,3.0,0.25,0.25,0.5,0.25,1.0,1.0,0.5,0.0,13.5,12.5,4.5,3.0,4.0,4.5,17.0,15.5,1.5,3.5,0.0,0.0,0.0,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,12.333333333333334,11.0,3.3333333333333335,2.3333333333333335,5.0,5.333333333333333,14.0,16.0,1.3333333333333333,3.3333333333333335,0.0,0.0,0.0,0.3333333333333333,1.5,1.0,0.75,0.0,15.0,13.0,4.75,3.5,5.0,5.75,13.0,16.0,1.0,2.75,0.0,0.0,0.25,0.5
2,1,1,0,18,12,8,7,3,5,13,10,2,2,0,0,1,1,2018-12-23,Vallecano,Levante,la_liga,18,12,1.5,1.0,0.5,0.5,10.0,12.0,4.5,5.0,4.5,4.0,11.0,12.0,3.0,3.0,0.0,0.5,0.5,0.0,1.6666666666666667,1.6666666666666667,0.6666666666666666,0.6666666666666666,10.333333333333334,11.0,4.666666666666667,5.0,4.0,3.0,15.0,11.666666666666666,3.3333333333333335,2.6666666666666665,0.0,0.3333333333333333,0.0,0.0,1.5,1.5,0.75,0.5,10.5,11.25,4.25,4.75,4.25,3.25,14.75,11.0,2.75,2.25,0.0,0.25,0.0,0.25,3.0,3.0,1.0,1.5,32.0,9.5,9.5,4.0,9.5,2.5,11.0,7.5,3.0,2.5,0.5,0.0,0.0,-0.5,2.3333333333333335,2.3333333333333335,0.6666666666666666,1.0,29.0,10.666666666666666,7.666666666666667,3.3333333333333335,8.0,3.0,12.0,8.333333333333334,3.0,2.6666666666666665,0.3333333333333333,0.0,0.0,-0.3333333333333333,2.0,2.25,0.5,1.25,30.25,9.5,8.75,3.0,9.75,2.5,11.5,11.0,2.5,2.5,0.25,0.0,-0.25,-0.5
2,2,1,2,12,14,4,7,6,4,12,13,2,2,0,0,0,-1,2019-01-03,Villarreal,Real Madrid,la_liga,19,13,2.0,2.0,0.0,0.5,13.0,13.5,5.5,6.5,5.5,2.5,13.5,11.5,2.5,2.0,0.0,0.0,0.0,-0.5,1.6666666666666667,1.6666666666666667,0.0,0.3333333333333333,16.333333333333332,13.333333333333334,5.0,5.0,5.333333333333333,3.0,13.666666666666666,11.0,2.6666666666666665,2.3333333333333335,0.0,0.0,0.0,-0.3333333333333333,1.5,1.5,0.0,0.25,16.75,13.75,5.25,4.75,6.0,4.0,14.25,10.5,2.75,2.0,0.0,0.0,0.0,-0.25,1.5,0.5,0.5,0.5,12.5,7.0,6.0,3.5,8.0,5.0,14.5,9.0,2.0,1.5,0.0,0.0,0.0,0.0,1.6666666666666667,1.6666666666666667,0.3333333333333333,0.6666666666666666,13.333333333333334,9.333333333333334,5.333333333333333,4.0,7.0,3.6666666666666665,16.0,10.333333333333334,2.6666666666666665,1.6666666666666667,0.3333333333333333,0.0,-0.3333333333333333,-0.3333333333333333,2.5,1.5,0.75,0.5,13.25,10.75,6.0,4.0,6.25,3.25,16.25,11.25,2.5,1.75,0.25,0.0,0.0,0.0
