Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,League,HomeTeamCode,AwayTeamCode,FTR_code,HTR_code,H_R_FTHG_W_2,H_R_FTAG_W_2,H_R_HTHG_W_2,H_R_HTAG_W_2,H_R_HS_W_2,H_R_AS_W_2,H_R_HST_W_2,H_R_AST_W_2,H_R_HC_W_2,H_R_AC_W_2,H_R_HF_W_2,H_R_AF_W_2,H_R_HY_W_2,H_R_AY_W_2,H_R_HR_W_2,H_R_AR_W_2,H_R_FTR_code_W_2,H_R_HTR_code_W_2,H_R_FTHG_W_3,H_R_FTAG_W_3,H_R_HTHG_W_3,H_R_HTAG_W_3,H_R_HS_W_3,H_R_AS_W_3,H_R_HST_W_3,H_R_AST_W_3,H_R_HC_W_3,H_R_AC_W_3,H_R_HF_W_3,H_R_AF_W_3,H_R_HY_W_3,H_R_AY_W_3,H_R_HR_W_3,H_R_AR_W_3,H_R_FTR_code_W_3,H_R_HTR_code_W_3,H_R_FTHG_W_4,H_R_FTAG_W_4,H_R_HTHG_W_4,H_R_HTAG_W_4,H_R_HS_W_4,H_R_AS_W_4,H_R_HST_W_4,H_R_AST_W_4,H_R_HC_W_4,H_R_AC_W_4,H_R_HF_W_4,H_R_AF_W_4,H_R_HY_W_4,H_R_AY_W_4,H_R_HR_W_4,H_R_AR_W_4,H_R_FTR_code_W_4,H_R_HTR_code_W_4,A_R_FTHG_W_2,A_R_FTAG_W_2,A_R_HTHG_W_2,A_R_HTAG_W_2,A_R_HS_W_2,A_R_AS_W_2,A_R_HST_W_2,A_R_AST_W_2,A_R_HC_W_2,A_R_AC_W_2,A_R_HF_W_2,A_R_AF_W_2,A_R_HY_W_2,A_R_AY_W_2,A_R_HR_W_2,A_R_AR_W_2,A_R_FTR_code_W_2,A_R_HTR_code_W_2,A_R_FTHG_W_3,A_R_FTAG_W_3,A_R_HTHG_W_3,A_R_HTAG_W_3,A_R_HS_W_3,A_R_AS_W_3,A_R_HST_W_3,A_R_AST_W_3,A_R_HC_W_3,A_R_AC_W_3,A_R_HF_W_3,A_R_AF_W_3,A_R_HY_W_3,A_R_AY_W_3,A_R_HR_W_3,A_R_AR_W_3,A_R_FTR_code_W_3,A_R_HTR_code_W_3,A_R_FTHG_W_4,A_R_FTAG_W_4,A_R_HTHG_W_4,A_R_HTAG_W_4,A_R_HS_W_4,A_R_AS_W_4,A_R_HST_W_4,A_R_AST_W_4,A_R_HC_W_4,A_R_AC_W_4,A_R_HF_W_4,A_R_AF_W_4,A_R_HY_W_4,A_R_AY_W_4,A_R_HR_W_4,A_R_AR_W_4,A_R_FTR_code_W_4,A_R_HTR_code_W_4
SP1,2021-12-04,17:30,Ath Madrid,Mallorca,1,2,A,0,0,D,14,10,6,3,13,16,8,5,2,5,0,0,1.3,5.25,11.0,1.34,4.8,10.0,1.4,4.5,9.0,1.33,5.34,11.81,1.32,4.8,11.0,1.3,4.8,10.5,1.4,5.5,12.0,1.33,5.13,10.59,1.97,1.93,1.96,1.94,2.0,1.96,1.94,1.89,-1.5,2.07,1.86,2.06,1.87,2.15,1.89,2.06,1.83,1.33,5.0,10.0,1.32,4.8,11.0,1.4,4.5,9.0,1.35,5.02,11.47,1.33,4.75,10.0,1.33,4.8,10.5,1.4,5.47,12.0,1.35,4.94,10.41,2.06,1.84,2.08,1.84,2.1,1.93,1.99,1.84,-1.25,1.86,2.04,1.88,2.05,1.91,2.19,1.84,2.05,la_liga,2,12,-1,0,2.0,0.0,0.5,0.0,16.5,8.5,5.5,2.0,10.0,2.0,9.0,10.0,1.0,1.0,0.0,0.0,1.0,0.5,2.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,16.666666666666668,8.333333333333334,5.0,2.6666666666666665,8.0,2.3333333333333335,10.666666666666666,11.333333333333334,1.0,1.6666666666666667,0.0,0.0,0.6666666666666666,0.0,2.0,0.5,0.75,0.25,14.0,8.5,4.5,2.5,6.5,3.25,11.25,11.0,1.25,1.5,0.0,0.0,0.75,0.25,2.0,1.0,1.0,0.5,14.0,11.0,4.0,5.0,6.0,4.5,14.0,16.5,3.0,4.5,0.0,1.0,0.5,0.0,2.0,1.3333333333333333,0.6666666666666666,1.0,16.0,10.333333333333334,4.666666666666667,4.666666666666667,5.666666666666667,3.0,14.333333333333334,17.333333333333332,3.3333333333333335,4.666666666666667,0.0,1.3333333333333333,0.3333333333333333,-0.3333333333333333,1.75,1.0,0.5,0.75,14.5,9.5,4.0,3.75,4.75,3.75,13.5,18.25,3.25,4.25,0.25,1.0,0.5,-0.25
SP1,2021-12-05,15:15,Elche,Cadiz,3,1,H,1,0,H,8,15,3,6,16,15,3,3,7,3,0,0,2.05,3.1,4.2,2.05,3.2,3.8,2.05,3.1,4.1,2.02,3.36,4.36,2.0,3.1,4.2,1.95,3.1,4.1,2.1,3.36,4.48,2.03,3.2,4.15,2.62,1.5,2.67,1.53,2.72,1.53,2.63,1.48,-0.5,2.05,1.88,2.02,1.91,2.08,1.91,2.02,1.85,2.05,3.1,4.0,2.1,3.1,3.9,2.1,3.05,4.0,2.13,3.11,4.31,2.05,3.1,4.0,2.1,3.13,4.0,2.19,3.2,4.42,2.11,3.09,4.09,2.62,1.5,2.72,1.51,2.78,1.54,2.63,1.49,-0.5,2.09,1.81,2.13,1.81,2.19,1.86,2.1,1.79,la_liga,7,5,1,1,0.5,2.5,0.0,2.0,13.5,13.0,4.0,4.5,7.5,2.5,11.5,13.5,1.5,1.0,0.5,0.5,-1.0,-1.0,1.0,2.3333333333333335,0.3333333333333333,1.3333333333333333,13.0,15.333333333333334,5.0,5.333333333333333,6.0,4.0,12.666666666666666,12.0,2.0,1.0,0.3333333333333333,0.3333333333333333,-0.6666666666666666,-0.3333333333333333,1.0,1.75,0.25,1.0,12.75,14.0,5.0,4.25,6.25,4.0,13.0,13.75,2.5,1.5,0.25,0.25,-0.25,-0.25,2.0,0.5,0.5,0.5,16.0,9.0,6.5,3.0,4.0,4.0,14.0,13.0,2.0,2.5,0.0,0.0,0.0,0.0,2.3333333333333335,1.3333333333333333,0.6666666666666666,1.0,15.333333333333334,9.0,6.0,3.3333333333333335,5.333333333333333,3.3333333333333335,13.666666666666666,11.666666666666666,2.3333333333333335,3.6666666666666665,0.0,0.0,0.0,-0.3333333333333333,2.25,1.0,0.75,0.75,15.0,10.0,6.0,3.0,5.75,4.75,12.25,11.25,2.0,2.75,0.0,0.0,0.25,0.0
SP1,2021-12-05,20:00,Celta,Valencia,1,2,A,1,1,D,11,8,5,5,10,22,6,4,3,2,0,0,2.1,3.25,3.75,2.05,3.3,3.7,2.1,3.35,3.55,2.16,3.4,3.77,2.1,3.3,3.6,2.05,3.3,3.5,2.19,3.5,3.77,2.11,3.38,3.61,2.1,1.72,2.15,1.78,2.15,1.83,2.08,1.76,-0.25,1.82,2.11,1.85,2.09,1.88,2.12,1.82,2.06,1.9,3.5,4.2,1.9,3.5,4.1,1.95,3.5,4.1,1.9,3.57,4.58,1.9,3.4,4.2,1.93,3.5,4.1,2.02,3.64,4.58,1.92,3.53,4.15,2.03,1.87,2.02,1.89,2.05,1.97,1.96,1.87,-0.5,1.9,2.0,1.9,2.02,1.97,2.03,1.93,1.96,la_liga,6,17,-1,0,2.0,2.0,0.0,2.0,15.0,14.0,3.5,6.0,3.0,3.0,16.0,17.5,2.0,3.5,0.0,0.0,0.0,-1.0,1.3333333333333333,2.0,0.0,1.3333333333333333,14.666666666666666,13.0,4.333333333333333,5.333333333333333,4.333333333333333,4.0,14.666666666666666,15.333333333333334,1.6666666666666667,2.3333333333333335,0.0,0.0,-0.3333333333333333,-0.6666666666666666,1.0,1.75,0.0,1.0,14.5,11.75,4.0,4.5,4.5,4.0,14.25,13.75,1.75,2.5,0.0,0.0,-0.5,-0.5,2.0,0.5,1.0,0.5,11.5,9.0,5.5,3.5,3.0,5.5,12.5,17.5,3.0,6.0,0.5,0.0,0.5,0.5,2.3333333333333335,0.6666666666666666,1.3333333333333333,0.6666666666666666,11.666666666666666,9.0,5.333333333333333,3.3333333333333335,5.0,4.666666666666667,13.666666666666666,16.0,2.6666666666666665,5.0,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,1.75,0.5,1.0,0.5,9.25,10.75,4.25,3.5,4.0,4.25,14.25,14.75,2.75,4.75,0.25,0.0,0.5,0.5
SP1,2021-12-06,20:00,Getafe,Ath Bilbao,0,0,D,0,0,D,17,9,5,3,14,14,5,3,2,1,0,0,3.5,3.0,2.3,3.4,2.95,2.35,3.45,3.0,2.35,3.54,3.11,2.39,3.4,2.9,2.35,3.4,2.9,2.3,3.6,3.15,2.42,3.45,3.03,2.34,3.0,1.4,2.97,1.43,3.02,1.45,2.89,1.41,0.25,1.92,2.01,1.91,2.02,1.94,2.03,1.89,1.98,3.6,2.9,2.3,3.3,3.0,2.35,3.7,2.7,2.4,3.62,2.93,2.47,3.4,2.9,2.35,3.5,2.9,2.4,3.97,3.06,2.48,3.52,2.89,2.39,3.2,1.36,2.94,1.44,3.2,1.47,2.85,1.42,0.25,1.86,2.04,1.87,2.06,1.97,2.07,1.86,2.01,la_liga,9,1,0,0,3.0,0.5,1.0,0.5,14.5,10.0,7.5,2.5,4.5,9.0,16.0,9.0,4.5,4.0,0.0,0.0,1.0,0.5,2.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,13.333333333333334,12.0,5.666666666666667,4.333333333333333,3.6666666666666665,8.333333333333334,15.666666666666666,9.666666666666666,3.6666666666666665,3.3333333333333335,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,1.75,1.25,0.75,0.25,12.25,11.5,4.75,4.5,3.25,7.5,15.75,10.0,3.75,3.0,0.5,0.0,0.25,0.5,0.5,0.0,0.5,0.0,16.0,12.5,4.5,2.0,6.5,4.5,14.0,10.0,2.0,2.0,0.0,0.0,0.5,0.5,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,13.333333333333334,12.0,4.0,3.0,5.0,5.333333333333333,16.333333333333332,11.333333333333334,2.6666666666666665,2.3333333333333335,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.75,0.5,0.5,0.0,13.5,14.75,3.75,4.0,5.75,7.0,14.0,11.5,2.25,2.25,0.25,0.25,0.25,0.5
SP1,2021-12-11,20:00,Ath Bilbao,Sevilla,0,1,A,0,1,A,13,6,2,1,17,10,9,2,4,3,0,0,2.5,3.0,3.1,2.6,3.1,2.85,2.5,3.05,3.1,2.58,3.1,3.21,2.5,3.0,3.1,2.45,3.0,3.0,2.67,3.2,3.26,2.54,3.06,3.1,2.5,1.53,2.59,1.56,2.59,1.6,2.48,1.55,0.0,1.68,2.15,1.76,2.2,1.82,2.26,1.74,2.15,2.37,2.9,3.4,2.6,3.1,2.85,2.35,2.7,3.45,2.49,3.02,3.42,2.5,2.9,3.2,2.4,3.0,3.4,2.57,3.08,3.7,2.43,2.93,3.42,2.75,1.44,2.84,1.47,2.96,1.5,2.76,1.45,-0.25,2.09,1.84,2.09,1.84,2.28,1.94,2.07,1.81,la_liga,1,15,-1,-1,1.0,1.5,0.5,1.5,16.0,8.0,5.0,4.0,6.5,2.0,13.0,14.0,1.5,1.0,0.5,0.0,-0.5,-1.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,15.333333333333334,9.0,5.666666666666667,3.6666666666666665,7.333333333333333,2.0,11.0,13.333333333333334,1.0,1.6666666666666667,0.3333333333333333,0.0,0.0,-0.6666666666666666,1.25,1.0,0.75,1.0,15.5,11.0,5.5,4.0,8.75,3.75,12.25,13.0,1.5,1.75,0.25,0.0,0.25,-0.25,1.0,1.5,0.5,0.5,11.0,11.0,2.5,4.0,1.0,2.5,11.0,11.0,3.0,2.0,0.5,0.0,0.0,0.0,1.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,11.0,10.666666666666666,3.0,3.6666666666666665,2.0,2.3333333333333335,12.666666666666666,12.0,3.0,3.3333333333333335,0.6666666666666666,0.0,0.0,0.3333333333333333,0.75,1.25,0.5,0.25,11.75,10.0,3.0,3.25,2.75,2.75,12.75,11.25,2.75,3.25,0.5,0.0,-0.25,0.25
SP1,2021-12-12,13:00,Villarreal,Vallecano,2,0,H,2,0,H,13,19,5,7,16,14,5,6,1,3,0,0,1.72,3.8,4.75,1.75,3.75,4.5,1.75,3.8,4.5,1.78,3.94,4.8,1.72,3.6,4.8,1.75,3.6,4.5,1.83,3.97,4.91,1.78,3.77,4.57,1.99,1.94,1.96,1.94,2.01,1.96,1.93,1.89,-0.75,2.06,1.87,2.03,1.89,2.07,1.9,2.02,1.86,1.72,3.8,4.75,1.75,3.75,4.5,1.75,3.8,4.6,1.79,3.79,4.92,1.7,3.7,5.0,1.75,3.9,4.6,1.8,4.0,5.1,1.76,3.81,4.76,1.92,2.01,1.93,1.98,1.93,2.07,1.87,1.96,-0.75,2.04,1.89,2.04,1.88,2.06,1.94,1.99,1.88,la_liga,19,18,1,1,1.0,1.5,0.5,0.0,12.0,8.5,3.0,4.0,5.0,4.0,15.5,13.5,1.5,1.5,0.0,0.0,0.0,0.5,1.6666666666666667,2.0,0.6666666666666666,0.6666666666666666,12.666666666666666,8.666666666666666,3.6666666666666665,4.0,6.0,3.3333333333333335,14.666666666666666,12.0,2.0,3.0,0.0,0.0,0.0,0.0,1.5,2.0,0.5,0.75,12.25,8.0,4.25,3.5,5.5,3.5,12.5,12.5,1.75,3.5,0.0,0.0,-0.25,-0.25,1.5,1.0,1.5,0.0,11.5,15.5,5.5,6.5,3.5,7.0,13.0,14.5,3.5,3.5,0.0,0.0,0.5,1.0,2.0,1.3333333333333333,1.6666666666666667,0.3333333333333333,11.333333333333334,15.0,5.333333333333333,5.333333333333333,3.6666666666666665,6.0,12.666666666666666,13.666666666666666,2.6666666666666665,3.0,0.0,0.0,0.6666666666666666,1.0,1.75,1.0,1.25,0.25,10.25,13.0,4.75,4.0,4.25,5.25,14.25,12.5,2.75,3.0,0.0,0.0,0.75,0.75
SP1,2021-12-12,17:30,Betis,Sociedad,4,0,H,1,0,H,11,15,5,5,12,10,4,7,3,1,0,0,2.25,3.3,3.3,2.3,3.3,3.1,2.3,3.3,3.2,2.36,3.35,3.35,2.35,3.2,3.1,2.25,3.25,3.1,2.42,3.5,3.35,2.31,3.31,3.21,2.08,1.85,2.09,1.83,2.11,1.86,2.03,1.8,-0.25,2.03,1.9,2.01,1.91,2.05,1.93,2.0,1.87,2.25,3.3,3.25,2.3,3.3,3.1,2.3,3.3,3.25,2.36,3.37,3.32,2.35,3.2,3.1,2.25,3.3,3.3,2.42,3.4,3.35,2.31,3.3,3.24,2.04,1.89,2.01,1.9,2.06,2.05,1.99,1.84,-0.25,2.01,1.92,2.02,1.91,2.12,1.96,1.98,1.89,la_liga,4,16,1,1,1.5,1.5,0.0,0.5,17.0,9.5,4.5,2.0,3.5,4.5,14.0,11.0,2.5,2.0,0.5,0.0,0.0,-0.5,2.3333333333333335,1.3333333333333333,0.6666666666666666,0.6666666666666666,16.0,9.666666666666666,6.0,2.6666666666666665,3.6666666666666665,5.333333333333333,14.0,13.666666666666666,2.3333333333333335,3.0,0.3333333333333333,0.0,0.3333333333333333,0.0,2.5,1.5,1.0,0.75,14.75,10.75,5.75,2.75,3.75,5.0,13.5,13.25,2.0,2.75,0.25,0.0,0.5,0.25,0.5,1.0,0.0,0.0,7.0,9.5,2.0,4.0,3.5,5.5,13.0,9.5,0.5,1.5,0.0,0.0,0.0,0.0,0.3333333333333333,1.3333333333333333,0.0,0.0,9.333333333333334,10.0,3.3333333333333335,4.0,4.666666666666667,5.666666666666667,12.666666666666666,10.0,0.6666666666666666,1.0,0.0,0.0,-0.3333333333333333,0.0,0.75,1.5,0.0,0.25,11.25,9.5,3.5,4.0,4.5,5.0,13.0,11.0,0.75,1.5,0.0,0.0,-0.25,-0.25
SP1,2021-12-13,20:00,Cadiz,Granada,1,1,D,1,0,H,13,16,3,5,14,10,8,1,5,0,1,0,2.6,3.1,2.9,2.45,3.2,2.95,2.6,3.1,2.95,2.68,3.13,3.04,2.55,3.0,3.0,2.5,3.1,2.88,2.7,3.22,3.1,2.58,3.11,2.96,2.3,1.61,2.34,1.66,2.38,1.7,2.3,1.63,0.0,1.81,2.13,1.84,2.1,1.84,2.13,1.81,2.08,2.5,3.1,3.0,2.7,2.95,2.85,2.6,3.0,3.0,2.68,3.07,3.1,2.62,3.0,2.9,2.6,3.0,3.0,2.72,3.18,3.16,2.61,3.05,3.01,2.37,1.57,2.46,1.61,2.5,1.66,2.39,1.59,0.0,1.83,2.1,1.83,2.12,1.95,2.15,1.81,2.09,la_liga,5,10,0,1,1.0,2.5,0.0,0.5,10.5,14.0,1.0,6.0,5.0,6.5,13.5,13.5,2.5,3.5,0.0,1.0,-0.5,-0.5,0.6666666666666666,2.3333333333333335,0.0,0.6666666666666666,14.666666666666666,12.0,2.0,5.333333333333333,8.0,5.333333333333333,12.666666666666666,13.666666666666666,1.6666666666666667,3.0,0.0,0.6666666666666666,-0.6666666666666666,-0.6666666666666666,0.5,1.75,0.0,0.5,11.5,13.0,1.75,5.0,6.25,4.75,13.5,13.0,2.0,3.25,0.0,0.5,-0.5,-0.5,2.0,1.0,1.5,1.0,17.0,13.0,5.5,4.5,6.5,3.0,12.0,8.5,1.0,1.0,0.5,0.0,0.5,0.0,1.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,15.333333333333334,12.666666666666666,4.666666666666667,5.0,5.333333333333333,3.6666666666666665,12.666666666666666,10.0,2.0,1.3333333333333333,0.3333333333333333,0.0,0.0,-0.3333333333333333,1.25,1.5,1.0,1.0,15.75,11.75,5.0,4.75,5.0,3.0,13.25,10.25,1.75,1.75,0.5,0.0,0.0,0.0
SP1,2021-12-17,20:00,Celta,Espanol,3,1,H,1,0,H,12,6,5,3,13,5,3,3,2,1,0,0,1.95,3.4,4.0,2.0,3.4,3.7,1.95,3.4,4.1,1.99,3.52,4.23,2.0,3.25,4.0,2.0,3.4,4.0,2.07,3.52,4.28,1.99,3.4,4.04,2.1,1.72,2.16,1.76,2.19,1.79,2.14,1.73,-0.5,1.98,1.92,1.99,1.93,2.0,1.97,1.98,1.89,1.95,3.4,4.1,1.93,3.4,4.0,1.95,3.35,4.2,1.98,3.49,4.31,1.95,3.3,4.0,1.95,3.4,4.1,2.05,3.5,4.38,1.98,3.4,4.1,2.1,1.72,2.14,1.78,2.24,1.8,2.1,1.75,-0.5,1.95,1.95,1.98,1.94,2.0,2.0,1.97,1.91,la_liga,6,8,1,1,1.0,1.5,0.5,1.0,11.5,13.0,4.0,5.5,4.5,4.5,12.0,19.5,2.0,1.5,0.0,0.0,-0.5,-0.5,1.6666666666666667,2.0,0.3333333333333333,1.6666666666666667,13.666666666666666,12.0,4.0,5.666666666666667,4.0,3.3333333333333335,14.0,19.0,2.3333333333333335,3.0,0.0,0.0,-0.3333333333333333,-0.6666666666666666,1.25,2.0,0.25,1.25,13.75,11.75,4.5,5.25,4.75,4.0,13.5,17.0,2.0,2.25,0.0,0.0,-0.5,-0.5,1.0,0.0,0.0,0.0,11.5,11.0,3.0,2.5,5.0,3.5,17.5,10.0,3.5,2.5,0.0,0.5,1.0,0.0,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,11.666666666666666,10.666666666666666,4.333333333333333,2.6666666666666665,5.333333333333333,6.0,17.666666666666668,10.333333333333334,4.666666666666667,3.0,0.0,0.3333333333333333,1.0,0.0,1.5,0.75,0.5,0.25,11.75,13.0,5.0,3.75,4.75,6.25,17.0,10.0,4.25,2.5,0.0,0.25,0.75,0.25
SP1,2021-12-18,17:30,Barcelona,Elche,3,2,H,2,0,H,19,5,8,3,13,17,5,0,1,3,0,0,1.3,5.5,10.0,1.34,5.25,8.75,1.33,5.25,9.5,1.36,5.25,10.02,1.35,5.0,8.5,1.33,4.8,8.5,1.4,5.5,10.06,1.35,5.21,9.13,1.66,2.2,1.67,2.32,1.72,2.32,1.66,2.25,-1.5,1.99,1.91,2.05,1.88,2.1,1.93,2.02,1.86,1.25,5.5,12.0,1.3,5.5,10.5,1.3,5.5,11.0,1.32,5.82,13.31,1.28,5.25,11.0,1.3,5.25,11.5,1.35,6.0,13.32,1.3,5.51,10.97,1.72,2.1,1.71,2.24,1.77,2.28,1.71,2.16,-1.5,1.86,2.07,1.86,2.07,2.1,2.07,1.9,1.97,la_liga,3,7,1,1,0.5,0.5,0.0,0.0,14.0,10.0,4.5,2.0,5.0,2.5,17.0,10.5,2.5,2.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,14.666666666666666,7.666666666666667,4.666666666666667,2.0,6.333333333333333,1.6666666666666667,15.0,10.666666666666666,1.6666666666666667,2.0,0.0,0.0,0.0,0.0,0.75,1.0,0.0,0.25,14.0,8.25,4.0,2.75,6.5,2.25,15.5,11.25,1.5,1.75,0.0,0.0,-0.25,-0.25,1.5,1.0,1.0,0.5,19.0,9.0,6.0,4.0,6.5,2.5,15.5,12.0,2.0,2.5,0.0,0.0,0.5,0.5,1.6666666666666667,1.3333333333333333,0.6666666666666666,0.3333333333333333,18.666666666666668,8.333333333333334,6.0,3.3333333333333335,5.333333333333333,2.6666666666666665,14.0,14.333333333333334,2.0,2.6666666666666665,0.0,0.0,0.3333333333333333,0.3333333333333333,1.5,1.0,0.5,0.25,18.0,7.25,5.75,2.75,5.0,3.75,13.75,13.0,1.75,2.25,0.0,0.0,0.5,0.25
