Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,HomeTeamCode,AwayTeamCode,FTR_code,HTR_code,H_R_FTHG_W_2,H_R_FTAG_W_2,H_R_HTHG_W_2,H_R_HTAG_W_2,H_R_HS_W_2,H_R_AS_W_2,H_R_HST_W_2,H_R_AST_W_2,H_R_HC_W_2,H_R_AC_W_2,H_R_HF_W_2,H_R_AF_W_2,H_R_HY_W_2,H_R_AY_W_2,H_R_HR_W_2,H_R_AR_W_2,H_R_FTR_code_W_2,H_R_HTR_code_W_2,H_R_FTHG_W_3,H_R_FTAG_W_3,H_R_HTHG_W_3,H_R_HTAG_W_3,H_R_HS_W_3,H_R_AS_W_3,H_R_HST_W_3,H_R_AST_W_3,H_R_HC_W_3,H_R_AC_W_3,H_R_HF_W_3,H_R_AF_W_3,H_R_HY_W_3,H_R_AY_W_3,H_R_HR_W_3,H_R_AR_W_3,H_R_FTR_code_W_3,H_R_HTR_code_W_3,H_R_FTHG_W_4,H_R_FTAG_W_4,H_R_HTHG_W_4,H_R_HTAG_W_4,H_R_HS_W_4,H_R_AS_W_4,H_R_HST_W_4,H_R_AST_W_4,H_R_HC_W_4,H_R_AC_W_4,H_R_HF_W_4,H_R_AF_W_4,H_R_HY_W_4,H_R_AY_W_4,H_R_HR_W_4,H_R_AR_W_4,H_R_FTR_code_W_4,H_R_HTR_code_W_4,A_R_FTHG_W_2,A_R_FTAG_W_2,A_R_HTHG_W_2,A_R_HTAG_W_2,A_R_HS_W_2,A_R_AS_W_2,A_R_HST_W_2,A_R_AST_W_2,A_R_HC_W_2,A_R_AC_W_2,A_R_HF_W_2,A_R_AF_W_2,A_R_HY_W_2,A_R_AY_W_2,A_R_HR_W_2,A_R_AR_W_2,A_R_FTR_code_W_2,A_R_HTR_code_W_2,A_R_FTHG_W_3,A_R_FTAG_W_3,A_R_HTHG_W_3,A_R_HTAG_W_3,A_R_HS_W_3,A_R_AS_W_3,A_R_HST_W_3,A_R_AST_W_3,A_R_HC_W_3,A_R_AC_W_3,A_R_HF_W_3,A_R_AF_W_3,A_R_HY_W_3,A_R_AY_W_3,A_R_HR_W_3,A_R_AR_W_3,A_R_FTR_code_W_3,A_R_HTR_code_W_3,A_R_FTHG_W_4,A_R_FTAG_W_4,A_R_HTHG_W_4,A_R_HTAG_W_4,A_R_HS_W_4,A_R_AS_W_4,A_R_HST_W_4,A_R_AST_W_4,A_R_HC_W_4,A_R_AC_W_4,A_R_HF_W_4,A_R_AF_W_4,A_R_HY_W_4,A_R_AY_W_4,A_R_HR_W_4,A_R_AR_W_4,A_R_FTR_code_W_4,A_R_HTR_code_W_4
SP1,2022-12-31,13:00,Barcelona,Espanol,1,1,D,1,0,H,21,4,6,1,11,15,10,2,6,7,1,1,1.25,6.5,10.0,1.25,6.5,10.5,1.25,6.5,11.0,1.26,6.57,11.89,1.24,6.0,11.0,1.22,6.0,11.0,1.28,6.85,12.0,1.25,6.43,11.21,1.44,2.75,1.43,2.94,1.46,3.0,1.43,2.82,-1.75,1.9,2.0,1.9,2.0,1.93,2.02,1.88,1.98,1.2,7.0,13.0,1.2,7.0,14.0,1.2,7.0,13.0,1.22,7.2,15.0,1.2,6.5,13.0,1.17,7.0,13.0,1.26,7.6,16.0,1.21,7.01,14.22,1.4,3.0,1.42,2.99,1.49,3.0,1.45,2.77,-2.0,1.97,1.96,1.93,1.98,2.04,2.09,1.96,1.91,3,8,0,1,3.0,0.0,1.5,0.0,18.5,4.5,10.0,2.0,5.0,1.5,10.5,13.0,2.0,1.5,0.0,0.0,1.0,0.5,3.0,0.0,2.0,0.0,17.666666666666668,4.666666666666667,8.333333333333334,1.6666666666666667,6.0,1.0,13.0,12.333333333333334,1.3333333333333333,1.3333333333333333,0.0,0.0,1.0,0.6666666666666666,2.5,0.0,1.75,0.0,16.5,7.0,7.5,2.0,6.0,1.5,13.75,11.5,1.5,2.0,0.0,0.0,1.0,0.75,1.0,1.0,0.0,0.0,19.5,6.5,6.0,2.0,8.0,3.0,14.0,9.5,3.5,3.0,0.0,0.5,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,18.666666666666668,6.0,5.666666666666667,2.3333333333333335,8.333333333333334,2.6666666666666665,15.0,11.333333333333334,2.6666666666666665,2.6666666666666665,0.0,0.3333333333333333,0.3333333333333333,0.0,1.25,1.0,0.25,0.0,16.0,6.75,5.0,3.25,8.25,2.75,14.5,11.5,3.0,3.0,0.0,0.25,0.25,0.25
SP1,2023-01-06,20:00,Valencia,Cadiz,0,1,A,0,1,A,11,6,2,2,14,21,13,2,5,6,0,0,1.57,4.0,5.75,1.57,4.0,5.75,1.6,3.95,5.75,1.61,4.15,6.2,1.6,3.9,5.8,1.53,4.0,5.75,1.65,4.24,6.2,1.59,4.08,5.94,1.93,1.97,1.93,1.97,1.97,1.99,1.9,1.93,-1.0,2.03,1.9,2.04,1.88,2.12,1.93,2.01,1.85,1.53,4.2,6.0,1.55,4.0,6.25,1.55,4.1,6.0,1.59,4.21,6.36,1.53,4.0,6.5,1.5,4.1,6.0,1.64,4.31,6.8,1.56,4.15,6.21,1.97,1.93,1.92,1.98,1.99,2.03,1.91,1.91,-1.0,2.01,1.92,1.98,1.94,2.06,1.99,1.94,1.92,16,5,-1,-1,1.5,0.5,0.0,0.0,9.0,9.0,4.5,1.5,4.0,7.5,12.5,8.0,2.5,4.0,0.0,0.5,0.0,0.0,1.3333333333333333,1.0,0.0,0.0,10.333333333333334,9.333333333333334,4.0,2.6666666666666665,4.333333333333333,6.0,13.0,11.666666666666666,2.6666666666666665,4.333333333333333,0.0,0.3333333333333333,-0.3333333333333333,0.0,1.5,1.25,0.5,0.25,12.75,9.0,5.0,3.5,4.75,4.75,13.25,13.5,2.75,4.75,0.0,0.25,-0.25,0.25,1.0,0.5,0.5,0.0,15.5,12.5,3.5,4.5,6.0,3.0,13.5,16.0,4.0,2.5,1.0,0.5,0.5,0.5,2.3333333333333335,0.6666666666666666,1.0,0.0,19.666666666666668,9.333333333333334,6.0,3.0,7.333333333333333,2.3333333333333335,13.333333333333334,14.666666666666666,3.0,3.0,1.0,1.0,0.6666666666666666,0.6666666666666666,2.0,0.75,0.75,0.0,20.5,9.25,6.0,2.75,7.0,2.25,14.0,13.25,3.5,3.25,0.75,0.75,0.5,0.5
SP1,2023-01-07,15:15,Villarreal,Real Madrid,2,1,H,0,0,D,17,13,5,3,13,6,6,5,4,1,0,0,3.25,3.8,2.05,3.2,3.8,2.05,3.25,3.75,2.1,3.42,3.86,2.12,3.4,3.7,2.0,3.25,3.75,2.0,3.5,4.05,2.14,3.34,3.83,2.09,1.62,2.3,1.69,2.29,1.71,2.39,1.64,2.3,0.5,1.79,2.11,1.81,2.11,1.85,2.13,1.8,2.08,3.4,3.6,2.0,3.4,3.6,2.05,3.4,3.55,2.1,3.61,3.75,2.11,3.3,3.6,2.1,3.3,3.6,2.0,3.7,3.78,2.15,3.48,3.67,2.08,1.73,2.1,1.75,2.18,1.81,2.23,1.75,2.12,0.5,1.85,2.08,1.82,2.1,1.88,2.11,1.81,2.07,19,13,1,0,1.0,1.5,0.5,1.0,11.5,10.0,5.0,4.5,5.0,2.0,14.5,16.0,2.5,4.5,0.0,0.0,0.0,-0.5,1.3333333333333333,1.3333333333333333,0.3333333333333333,1.0,11.333333333333334,11.666666666666666,5.0,4.333333333333333,6.666666666666667,2.6666666666666665,12.0,13.333333333333334,3.0,3.3333333333333335,0.3333333333333333,0.0,0.3333333333333333,-0.6666666666666666,1.5,1.0,0.5,0.75,11.5,12.25,6.0,4.0,7.0,3.0,12.5,15.75,2.75,4.0,0.25,0.0,0.5,-0.25,1.5,2.0,1.0,1.0,14.5,17.5,5.5,5.0,4.5,7.0,14.5,10.0,3.0,2.5,0.5,0.0,0.0,0.0,1.0,2.3333333333333335,0.6666666666666666,1.0,13.0,15.0,4.666666666666667,5.666666666666667,5.666666666666667,5.333333333333333,14.333333333333334,10.0,2.3333333333333335,2.0,0.3333333333333333,0.0,-0.3333333333333333,-0.3333333333333333,0.75,2.0,0.5,1.0,12.0,16.0,4.0,5.25,5.25,5.0,13.25,8.75,1.75,1.5,0.25,0.0,-0.5,-0.5
SP1,2023-01-14,17:30,Osasuna,Mallorca,1,0,H,0,0,D,15,6,4,2,15,19,3,1,2,3,0,0,2.0,3.1,4.33,2.05,3.2,3.9,2.05,3.15,4.1,2.11,3.1,4.43,2.0,3.1,4.2,2.0,3.0,4.1,2.12,3.3,4.43,2.06,3.12,4.21,2.75,1.44,2.87,1.46,2.93,1.48,2.75,1.45,-0.5,2.07,1.83,2.11,1.83,2.11,1.87,2.06,1.82,2.2,3.0,3.8,2.15,2.9,4.0,2.2,2.95,3.9,2.23,2.97,4.22,2.15,2.9,4.0,2.1,3.0,3.75,2.23,3.06,4.22,2.18,2.97,4.0,3.0,1.4,3.07,1.41,3.07,1.45,2.9,1.41,-0.25,1.85,2.08,1.86,2.07,1.87,2.11,1.84,2.04,12,11,1,0,1.5,1.0,1.5,0.0,17.5,8.0,6.5,2.5,1.5,6.5,14.5,11.0,2.5,3.5,0.0,1.0,0.0,1.0,1.3333333333333333,0.6666666666666666,1.0,0.0,17.333333333333332,7.0,6.0,2.6666666666666665,4.0,5.0,15.333333333333334,12.333333333333334,2.0,3.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.25,1.0,0.75,0.25,15.75,9.0,5.0,3.75,4.75,5.0,14.25,14.0,2.25,3.75,0.5,0.75,0.0,0.25,1.0,1.0,0.0,0.5,11.5,5.0,4.0,2.5,4.5,2.0,13.5,17.5,2.0,3.5,0.0,0.0,0.0,-0.5,1.0,1.3333333333333333,0.0,0.3333333333333333,12.0,6.666666666666667,3.6666666666666665,3.3333333333333335,4.666666666666667,2.3333333333333335,13.666666666666666,18.0,2.3333333333333335,4.0,0.0,0.0,-0.3333333333333333,-0.3333333333333333,1.0,1.0,0.25,0.25,12.5,8.0,4.5,3.25,6.0,3.5,14.75,15.75,2.0,3.5,0.0,0.0,0.0,0.0
SP1,2023-01-14,15:15,Girona,Sevilla,2,1,H,0,1,A,19,10,7,2,11,7,5,2,3,1,0,0,2.38,3.4,3.0,2.4,3.3,2.9,2.45,3.3,2.95,2.43,3.42,3.14,2.4,3.2,3.0,2.3,3.3,3.0,2.49,3.42,3.14,2.42,3.34,3.03,2.08,1.82,2.08,1.84,2.11,1.85,2.05,1.79,-0.25,2.07,1.83,2.09,1.85,2.1,1.87,2.06,1.81,2.3,3.1,3.1,2.3,3.25,3.1,2.4,3.2,3.1,2.46,3.2,3.31,2.38,3.1,3.1,2.3,3.2,3.1,2.56,3.4,3.34,2.4,3.21,3.16,2.3,1.62,2.33,1.67,2.35,1.78,2.21,1.68,-0.25,2.09,1.84,2.06,1.87,2.23,1.87,2.05,1.83,10,14,1,-1,2.0,1.5,0.5,0.5,17.5,11.5,8.5,5.5,4.5,2.5,12.5,12.5,2.0,1.5,0.0,0.0,0.5,0.0,1.6666666666666667,1.3333333333333333,0.6666666666666666,0.6666666666666666,14.0,10.666666666666666,6.0,4.333333333333333,4.0,3.3333333333333335,12.0,12.0,2.0,2.0,0.0,0.0,0.3333333333333333,0.0,1.5,1.25,0.5,0.5,16.25,10.25,6.0,3.75,4.5,3.0,13.0,11.25,2.75,2.5,0.0,0.0,0.25,0.0,1.0,1.0,1.0,0.0,13.0,14.5,4.5,5.5,3.0,5.0,8.5,16.5,3.0,4.5,1.0,1.0,0.0,1.0,1.6666666666666667,1.0,1.0,0.0,14.666666666666666,12.666666666666666,5.0,4.333333333333333,3.3333333333333335,4.333333333333333,8.666666666666666,15.0,2.3333333333333335,4.333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,1.25,1.0,0.75,0.0,13.25,10.5,5.0,3.5,2.75,4.0,10.75,15.0,2.25,4.0,0.5,0.5,0.0,0.75
SP1,2023-01-14,20:00,Sociedad,Ath Bilbao,3,1,H,2,1,H,11,6,5,2,20,15,4,2,5,1,0,1,2.4,3.2,3.1,2.4,3.2,3.0,2.45,3.15,3.05,2.47,3.25,3.23,2.4,3.1,3.1,2.38,3.13,3.0,2.55,3.28,3.28,2.45,3.19,3.12,2.3,1.62,2.33,1.67,2.46,1.68,2.33,1.62,-0.25,2.08,1.82,2.1,1.84,2.11,1.86,2.07,1.81,2.25,3.0,3.6,2.3,2.95,3.5,2.35,2.95,3.5,2.32,3.03,3.84,2.25,2.9,3.7,2.25,3.0,3.4,2.45,3.1,3.96,2.34,3.0,3.59,2.75,1.44,2.85,1.47,2.87,1.53,2.73,1.46,-0.25,1.94,1.99,1.94,1.98,2.02,2.0,1.95,1.91,15,1,1,1,1.5,0.5,1.0,0.5,9.0,12.5,3.0,3.0,2.0,6.5,10.5,13.5,1.5,0.5,0.5,0.0,0.5,0.5,1.0,1.0,0.6666666666666666,0.3333333333333333,10.666666666666666,11.666666666666666,4.333333333333333,3.3333333333333335,3.0,5.333333333333333,14.333333333333334,14.333333333333334,2.3333333333333335,1.6666666666666667,0.3333333333333333,0.0,0.0,0.3333333333333333,1.0,0.75,0.75,0.25,11.5,11.75,5.0,3.25,4.75,5.75,15.25,13.0,2.0,1.75,0.25,0.0,0.25,0.5,1.0,0.5,0.0,0.0,14.0,10.5,7.5,3.5,4.5,3.5,9.5,14.0,1.0,2.5,0.5,0.0,0.5,0.0,2.0,0.3333333333333333,1.0,0.0,12.666666666666666,8.666666666666666,7.333333333333333,3.3333333333333335,3.3333333333333335,3.0,8.666666666666666,13.666666666666666,1.3333333333333333,2.3333333333333335,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,2.0,0.75,1.0,0.25,12.25,10.0,6.5,3.5,4.25,3.25,10.0,13.0,2.75,2.75,0.25,0.0,0.5,0.25
SP1,2023-01-15,13:00,Getafe,Espanol,1,2,A,1,1,D,10,10,2,4,20,13,5,1,2,3,0,0,2.5,3.0,3.1,2.5,2.95,3.1,2.55,3.0,3.05,2.59,3.02,3.29,2.45,3.0,3.1,2.45,2.9,3.1,2.6,3.14,3.3,2.54,3.02,3.14,2.75,1.44,2.84,1.47,2.93,1.48,2.75,1.45,-0.25,2.13,1.78,2.17,1.79,2.17,1.81,2.13,1.76,2.38,2.88,3.4,2.4,2.85,3.4,2.4,2.85,3.45,2.5,2.9,3.6,2.35,2.8,3.6,2.38,2.9,3.3,2.51,3.0,3.85,2.42,2.89,3.5,3.2,1.36,3.06,1.41,3.2,1.45,2.93,1.4,-0.25,2.08,1.85,2.08,1.85,2.09,1.88,2.02,1.85,9,8,-1,0,1.0,0.0,0.0,0.0,13.5,9.0,4.0,2.0,4.5,3.5,12.5,17.5,2.5,1.5,1.0,0.5,0.5,0.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,12.666666666666666,10.666666666666666,4.0,2.6666666666666665,5.333333333333333,3.6666666666666665,13.0,15.333333333333334,4.0,2.3333333333333335,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,1.0,0.75,0.25,0.5,11.75,12.75,3.5,3.0,5.0,3.75,12.25,12.75,3.0,1.75,0.5,0.25,0.0,-0.25,1.0,1.0,0.5,0.0,24.0,5.0,6.5,1.5,11.0,2.0,12.0,12.5,4.5,6.0,0.5,1.0,0.0,0.5,1.0,1.0,0.3333333333333333,0.0,20.0,5.666666666666667,6.0,1.6666666666666667,8.666666666666666,2.6666666666666665,13.0,11.333333333333334,4.333333333333333,4.333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,1.0,0.75,0.25,0.0,19.25,5.5,5.75,2.0,8.75,2.5,14.0,12.25,3.5,3.75,0.25,0.5,0.25,0.25
SP1,2023-01-15,15:15,Almeria,Ath Madrid,1,1,D,1,1,D,14,12,3,6,14,12,3,4,4,4,0,1,5.0,3.75,1.7,4.6,3.75,1.73,4.7,3.8,1.73,5.1,3.94,1.74,4.8,3.7,1.73,4.75,3.75,1.67,5.1,4.0,1.78,4.84,3.84,1.73,1.99,1.91,1.97,1.93,2.01,1.97,1.93,1.89,0.75,1.95,1.95,1.96,1.96,1.96,1.97,1.92,1.93,4.75,3.9,1.7,4.75,3.7,1.73,4.8,3.65,1.75,5.1,3.83,1.76,5.0,3.7,1.7,4.75,3.6,1.7,5.3,3.99,1.82,4.9,3.74,1.74,1.95,1.95,1.96,1.94,2.06,1.96,1.97,1.86,0.75,1.95,1.98,1.93,1.99,1.97,2.04,1.9,1.97,0,2,0,0,0.5,1.0,0.5,0.0,7.0,10.0,2.0,4.5,5.5,4.0,15.0,11.0,4.5,2.0,0.5,0.0,0.0,0.5,1.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,11.0,9.333333333333334,3.0,4.0,5.666666666666667,4.0,13.333333333333334,9.666666666666666,4.333333333333333,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.75,1.25,1.0,0.25,11.5,10.5,4.0,4.25,5.25,4.25,13.5,10.75,3.5,1.75,0.25,0.25,0.5,0.25,2.0,1.0,1.0,0.0,9.5,16.0,5.0,6.0,3.5,4.0,14.5,14.5,3.5,3.5,0.0,0.0,1.0,1.0,1.6666666666666667,1.3333333333333333,0.6666666666666666,0.0,12.0,13.666666666666666,4.666666666666667,5.0,4.666666666666667,4.0,13.0,15.333333333333334,3.0,3.3333333333333335,0.0,0.0,0.3333333333333333,0.6666666666666666,1.25,1.25,0.5,0.0,12.25,11.0,4.25,4.0,5.0,3.25,13.25,15.75,2.25,4.0,0.0,0.0,0.0,0.5
SP1,2023-01-16,20:00,Cadiz,Elche,1,1,D,1,0,H,16,12,3,5,11,21,3,6,3,2,0,0,1.91,3.4,4.33,1.9,3.4,4.2,1.95,3.4,4.2,1.97,3.43,4.44,1.91,3.25,4.4,1.87,3.3,4.2,1.98,3.56,4.5,1.94,3.38,4.29,2.2,1.67,2.32,1.68,2.35,1.7,2.26,1.65,-0.5,1.94,1.96,1.97,1.94,1.97,2.0,1.93,1.93,1.91,3.3,4.33,1.93,3.25,4.33,1.9,3.4,4.4,1.97,3.37,4.56,1.88,3.25,4.5,1.9,3.3,4.1,1.99,3.41,4.75,1.93,3.33,4.45,2.3,1.62,2.38,1.64,2.42,1.69,2.33,1.62,-0.5,1.98,1.95,1.97,1.98,1.99,1.98,1.93,1.94,5,7,0,1,2.0,1.5,0.5,0.5,11.0,16.5,6.5,8.0,4.0,2.5,11.0,13.0,2.0,2.0,0.0,0.0,0.5,0.0,1.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,11.666666666666666,15.0,5.333333333333333,6.333333333333333,4.0,4.666666666666667,12.333333333333334,11.0,1.6666666666666667,2.0,0.0,0.3333333333333333,0.3333333333333333,0.0,1.5,1.25,0.5,0.25,10.75,13.5,4.75,6.25,5.0,4.25,12.5,11.25,2.25,2.5,0.0,0.25,0.25,0.25,2.0,0.5,0.5,0.0,17.0,4.5,7.5,1.5,5.5,4.5,11.5,15.0,2.5,2.0,0.5,1.0,1.0,0.5,2.0,1.0,0.6666666666666666,0.3333333333333333,15.666666666666666,6.0,6.666666666666667,2.3333333333333335,5.333333333333333,4.0,12.0,13.333333333333334,2.3333333333333335,2.3333333333333335,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,2.0,1.25,1.0,0.5,16.75,6.5,7.0,3.25,5.5,3.25,12.5,14.75,2.5,3.25,0.25,0.5,0.5,0.5
SP1,2023-01-20,20:00,Mallorca,Celta,1,0,H,0,0,D,8,10,3,3,15,11,4,6,2,3,0,0,2.8,2.75,3.0,2.8,2.7,3.0,2.85,2.75,3.0,2.89,2.79,3.15,2.8,2.7,3.0,2.7,2.75,2.9,3.0,2.88,3.2,2.85,2.76,3.06,3.5,1.3,3.34,1.36,3.6,1.36,3.34,1.33,0.0,1.85,2.05,1.88,2.05,1.95,2.08,1.86,2.01,2.75,2.75,3.1,2.75,2.7,3.1,2.85,2.75,2.95,2.79,2.76,3.32,2.8,2.7,3.0,2.7,2.8,2.9,2.9,2.8,3.33,2.79,2.76,3.07,3.5,1.3,3.45,1.34,3.6,1.38,3.31,1.33,0.0,1.79,2.11,1.81,2.15,1.9,2.17,1.84,2.04,11,6,1,0,1.0,0.0,0.5,0.0,11.0,13.0,3.5,3.0,4.0,3.5,14.0,17.0,3.5,3.0,0.0,0.0,1.0,0.5,1.0,0.3333333333333333,0.3333333333333333,0.0,11.333333333333334,11.0,4.0,2.6666666666666665,4.0,3.6666666666666665,14.333333333333334,14.333333333333334,3.6666666666666665,2.3333333333333335,0.0,0.0,0.6666666666666666,0.3333333333333333,0.75,0.5,0.25,0.0,10.75,9.25,4.25,2.25,3.25,3.5,15.0,14.5,3.25,2.5,0.0,0.0,0.25,0.25,0.0,0.5,0.0,0.5,11.5,12.5,4.0,5.0,6.5,3.5,17.0,15.5,5.0,1.0,0.5,0.0,-0.5,-0.5,1.0,0.6666666666666666,0.0,0.6666666666666666,14.0,11.0,4.333333333333333,4.333333333333333,6.333333333333333,3.6666666666666665,14.666666666666666,12.666666666666666,4.666666666666667,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,-0.6666666666666666,1.75,0.75,0.25,0.75,12.75,13.75,5.0,4.5,5.5,4.5,14.0,12.25,3.75,0.75,0.25,0.25,0.25,-0.5
