FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR_code,HTR_code,Date,HomeTeam,AwayTeam,League,HomeTeamCode,AwayTeamCode,H_R_FTHG_W_2,H_R_FTAG_W_2,H_R_HTHG_W_2,H_R_HTAG_W_2,H_R_HS_W_2,H_R_AS_W_2,H_R_HST_W_2,H_R_AST_W_2,H_R_HC_W_2,H_R_AC_W_2,H_R_HF_W_2,H_R_AF_W_2,H_R_HY_W_2,H_R_AY_W_2,H_R_HR_W_2,H_R_AR_W_2,H_R_FTR_code_W_2,H_R_HTR_code_W_2,H_R_FTHG_W_3,H_R_FTAG_W_3,H_R_HTHG_W_3,H_R_HTAG_W_3,H_R_HS_W_3,H_R_AS_W_3,H_R_HST_W_3,H_R_AST_W_3,H_R_HC_W_3,H_R_AC_W_3,H_R_HF_W_3,H_R_AF_W_3,H_R_HY_W_3,H_R_AY_W_3,H_R_HR_W_3,H_R_AR_W_3,H_R_FTR_code_W_3,H_R_HTR_code_W_3,H_R_FTHG_W_4,H_R_FTAG_W_4,H_R_HTHG_W_4,H_R_HTAG_W_4,H_R_HS_W_4,H_R_AS_W_4,H_R_HST_W_4,H_R_AST_W_4,H_R_HC_W_4,H_R_AC_W_4,H_R_HF_W_4,H_R_AF_W_4,H_R_HY_W_4,H_R_AY_W_4,H_R_HR_W_4,H_R_AR_W_4,H_R_FTR_code_W_4,H_R_HTR_code_W_4,A_R_FTHG_W_2,A_R_FTAG_W_2,A_R_HTHG_W_2,A_R_HTAG_W_2,A_R_HS_W_2,A_R_AS_W_2,A_R_HST_W_2,A_R_AST_W_2,A_R_HC_W_2,A_R_AC_W_2,A_R_HF_W_2,A_R_AF_W_2,A_R_HY_W_2,A_R_AY_W_2,A_R_HR_W_2,A_R_AR_W_2,A_R_FTR_code_W_2,A_R_HTR_code_W_2,A_R_FTHG_W_3,A_R_FTAG_W_3,A_R_HTHG_W_3,A_R_HTAG_W_3,A_R_HS_W_3,A_R_AS_W_3,A_R_HST_W_3,A_R_AST_W_3,A_R_HC_W_3,A_R_AC_W_3,A_R_HF_W_3,A_R_AF_W_3,A_R_HY_W_3,A_R_AY_W_3,A_R_HR_W_3,A_R_AR_W_3,A_R_FTR_code_W_3,A_R_HTR_code_W_3,A_R_FTHG_W_4,A_R_FTAG_W_4,A_R_HTHG_W_4,A_R_HTAG_W_4,A_R_HS_W_4,A_R_AS_W_4,A_R_HST_W_4,A_R_AST_W_4,A_R_HC_W_4,A_R_AC_W_4,A_R_HF_W_4,A_R_AF_W_4,A_R_HY_W_4,A_R_AY_W_4,A_R_HR_W_4,A_R_AR_W_4,A_R_FTR_code_W_4,A_R_HTR_code_W_4
1,1,0,0,14,13,4,3,2,8,13,14,1,1,0,1,0,0,2017-01-06,Espanol,La Coruna,la_liga,10,15,2.5,0.5,0.0,0.0,10.0,10.5,5.0,4.0,3.5,3.5,16.0,13.0,1.0,2.0,0.0,0.0,1.0,0.0,1.6666666666666667,0.3333333333333333,0.0,0.0,8.666666666666666,8.333333333333334,4.333333333333333,2.6666666666666665,4.0,3.3333333333333335,15.0,12.333333333333334,1.0,2.0,0.0,0.0,0.6666666666666666,0.0,2.0,1.0,0.0,0.75,9.25,8.25,4.5,2.75,4.75,4.0,14.0,12.25,1.0,3.0,0.25,0.0,0.5,-0.25,3.5,2.5,1.0,0.5,13.5,14.0,4.5,5.0,6.0,4.0,15.5,15.0,3.0,2.5,0.0,0.0,1.0,0.5,2.6666666666666665,2.0,0.6666666666666666,0.3333333333333333,13.666666666666666,13.666666666666666,5.0,5.0,6.333333333333333,4.666666666666667,14.0,12.333333333333334,2.3333333333333335,2.3333333333333335,0.0,0.0,0.6666666666666666,0.3333333333333333,3.0,1.75,0.75,0.5,12.5,13.0,5.5,4.0,6.0,4.5,14.75,13.0,2.5,3.0,0.0,0.0,0.75,0.25
5,0,4,0,23,3,13,1,9,1,11,12,1,4,0,0,1,1,2017-01-07,Real Madrid,Granada,la_liga,22,13,2.5,1.5,1.0,0.5,18.0,6.5,6.0,2.5,7.5,4.5,17.5,17.5,2.0,3.5,0.0,0.0,1.0,0.5,2.6666666666666665,1.0,1.3333333333333333,0.3333333333333333,17.666666666666668,6.666666666666667,6.333333333333333,2.6666666666666665,5.666666666666667,3.6666666666666665,14.0,18.333333333333332,2.3333333333333335,4.0,0.0,0.0,1.0,0.6666666666666666,2.5,1.0,1.25,0.5,19.25,7.5,6.75,2.75,5.75,3.75,13.0,18.0,2.25,3.75,0.0,0.0,1.0,0.5,2.0,1.0,1.5,0.0,16.0,7.5,6.5,1.5,5.5,1.0,10.0,14.5,1.5,4.0,0.0,0.0,0.5,1.0,1.6666666666666667,1.0,1.0,0.3333333333333333,15.333333333333334,8.0,6.666666666666667,2.6666666666666665,7.333333333333333,1.3333333333333333,9.0,15.666666666666666,1.3333333333333333,4.333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,1.5,0.75,0.75,0.25,15.25,6.25,6.25,2.0,7.5,1.25,8.5,16.0,1.25,4.25,0.0,0.0,0.5,0.25
0,4,0,2,11,11,5,10,7,4,15,18,2,3,0,0,-1,-1,2017-01-07,Sociedad,Sevilla,la_liga,24,23,2.0,1.5,1.0,0.5,15.5,9.5,6.0,2.5,8.0,5.0,16.5,15.5,3.0,4.0,0.0,0.5,0.5,0.5,2.0,1.0,0.6666666666666666,0.3333333333333333,14.333333333333334,9.333333333333334,5.0,2.3333333333333335,7.333333333333333,5.333333333333333,17.0,17.0,2.6666666666666665,4.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,2.25,0.75,0.75,0.25,14.75,9.5,5.0,2.5,6.5,4.5,17.0,17.75,2.75,4.25,0.0,0.25,0.75,0.5,1.0,2.0,0.5,0.0,12.5,15.5,6.0,5.5,4.0,7.0,15.5,14.5,4.0,2.5,0.0,0.0,0.0,0.5,1.3333333333333333,2.3333333333333335,1.0,0.3333333333333333,9.666666666666666,17.0,5.0,6.0,3.6666666666666665,9.333333333333334,15.333333333333334,13.666666666666666,3.6666666666666665,2.3333333333333335,0.0,0.0,-0.3333333333333333,0.6666666666666666,1.25,2.0,1.0,0.5,9.5,17.75,5.0,6.0,3.5,8.0,15.75,12.5,4.25,2.25,0.0,0.0,-0.25,0.5
0,2,0,0,15,8,2,4,5,3,11,10,2,2,0,0,-1,0,2017-01-07,Eibar,Ath Madrid,la_liga,8,3,1.5,0.5,1.0,0.0,12.0,5.0,5.0,2.5,6.0,1.5,12.5,7.0,0.5,1.0,0.0,0.5,0.5,0.5,1.3333333333333333,0.3333333333333333,1.0,0.0,12.0,5.333333333333333,5.0,2.3333333333333335,6.333333333333333,1.0,12.0,9.0,1.0,2.3333333333333335,0.0,1.0,0.6666666666666666,0.6666666666666666,1.5,0.5,0.75,0.25,12.25,5.5,6.0,2.0,5.5,2.5,13.0,10.75,1.25,2.5,0.0,0.75,0.75,0.25,1.5,1.5,1.0,1.0,10.0,10.0,3.0,4.0,4.5,5.5,11.0,9.5,2.5,2.5,0.0,0.0,0.0,0.0,1.6666666666666667,1.0,0.6666666666666666,0.6666666666666666,10.666666666666666,9.666666666666666,3.0,3.3333333333333335,5.0,5.666666666666667,13.333333333333334,13.0,2.3333333333333335,3.0,0.0,0.0,0.3333333333333333,0.0,1.5,0.75,0.5,0.5,11.0,9.5,3.5,3.25,4.75,5.5,13.75,12.5,2.75,2.75,0.0,0.25,0.5,0.0
1,0,0,0,16,10,10,2,8,3,8,18,2,3,0,0,1,0,2017-01-07,Las Palmas,Sp Gijon,la_liga,16,25,2.0,1.0,1.0,0.0,7.5,10.5,2.5,4.5,5.5,3.5,18.0,19.5,3.0,3.5,0.0,0.5,0.5,1.0,1.6666666666666667,0.6666666666666666,0.6666666666666666,0.0,10.333333333333334,11.333333333333334,3.6666666666666665,4.666666666666667,6.0,3.6666666666666665,15.333333333333334,19.666666666666668,2.3333333333333335,3.6666666666666665,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,2.0,1.25,0.5,0.75,12.0,10.75,4.75,5.0,6.5,3.0,14.75,20.25,2.25,4.25,0.0,0.5,0.5,0.25,2.0,1.0,1.0,0.5,15.5,11.0,6.5,4.0,4.5,4.5,16.0,14.0,1.0,2.5,0.0,0.0,1.0,0.5,2.3333333333333335,1.3333333333333333,1.0,0.6666666666666666,17.666666666666668,9.666666666666666,6.666666666666667,4.0,6.0,3.6666666666666665,14.666666666666666,16.0,2.3333333333333335,3.0,0.0,0.3333333333333333,1.0,0.3333333333333333,1.75,1.0,0.75,0.5,16.25,8.0,5.25,3.75,5.25,3.5,13.5,15.0,2.75,2.5,0.0,0.25,0.75,0.25
0,0,0,0,15,10,4,4,13,4,10,13,2,4,0,0,0,0,2017-01-08,Ath Bilbao,Alaves,la_liga,2,0,2.5,1.0,0.5,0.0,11.0,10.0,6.0,4.0,5.5,4.5,12.5,14.5,2.5,3.0,0.0,0.5,1.0,0.5,2.0,0.6666666666666666,0.3333333333333333,0.0,11.333333333333334,8.666666666666666,5.666666666666667,3.3333333333333335,5.666666666666667,4.666666666666667,12.666666666666666,15.333333333333334,1.6666666666666667,2.6666666666666665,0.0,0.3333333333333333,1.0,0.3333333333333333,1.75,0.75,0.5,0.25,13.0,8.25,5.25,3.25,6.5,4.0,12.0,14.25,1.75,2.25,0.0,0.25,0.75,0.25,0.0,1.0,0.0,1.0,15.5,6.5,5.5,5.0,9.5,1.5,12.5,13.0,1.5,2.0,0.0,0.0,-0.5,-0.5,0.0,1.0,0.0,0.6666666666666666,13.666666666666666,8.333333333333334,5.0,4.333333333333333,7.333333333333333,2.3333333333333335,14.333333333333334,12.0,2.6666666666666665,2.0,0.0,0.0,-0.6666666666666666,-0.3333333333333333,0.75,0.75,0.25,0.5,14.25,8.75,5.0,4.0,6.5,2.25,15.0,14.0,2.75,2.75,0.0,0.0,-0.25,0.0
2,0,0,0,16,9,3,3,4,2,10,20,2,6,0,0,1,0,2017-01-08,Betis,Leganes,la_liga,5,17,2.0,1.5,1.0,0.5,11.0,13.5,3.0,5.0,3.5,5.0,18.0,13.0,3.5,1.5,0.5,0.0,0.5,0.5,2.0,1.0,1.3333333333333333,0.3333333333333333,10.666666666666666,12.0,3.0,4.333333333333333,3.6666666666666665,5.0,19.333333333333332,12.0,2.3333333333333335,1.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,1.5,1.0,1.0,0.25,11.25,11.5,3.5,4.5,4.75,4.5,18.25,12.75,2.5,1.75,0.25,0.0,0.25,0.5,2.0,0.5,0.5,0.0,6.5,9.5,2.5,4.5,4.5,4.0,18.0,17.0,2.0,2.5,0.0,0.0,0.5,0.5,2.3333333333333335,0.3333333333333333,1.0,0.0,10.0,8.666666666666666,4.0,4.0,3.6666666666666665,3.3333333333333335,14.333333333333334,18.0,2.3333333333333335,3.3333333333333335,0.0,0.0,0.6666666666666666,0.6666666666666666,2.75,0.25,1.25,0.0,13.5,10.0,5.0,4.25,4.0,4.5,13.75,17.25,2.0,3.25,0.0,0.0,0.75,0.75
3,1,1,0,6,13,3,4,2,7,17,15,1,4,0,0,1,1,2017-01-08,Celta,Malaga,la_liga,7,19,1.5,2.0,1.0,0.0,15.0,10.5,6.0,3.0,4.5,3.0,8.5,14.0,1.5,3.0,0.0,0.0,0.0,0.5,1.6666666666666667,1.6666666666666667,1.0,0.3333333333333333,12.333333333333334,11.333333333333334,5.333333333333333,3.3333333333333335,4.333333333333333,3.0,12.0,14.333333333333334,3.0,2.3333333333333335,0.0,0.0,0.3333333333333333,0.3333333333333333,2.25,1.5,1.0,0.5,11.5,11.25,5.75,2.75,4.5,3.25,13.25,14.5,3.0,3.0,0.0,0.0,0.5,0.25,3.0,1.5,3.0,0.5,8.5,17.5,4.0,4.5,2.5,9.5,16.5,9.5,3.5,2.0,0.5,0.0,0.5,1.0,2.0,1.0,2.0,0.3333333333333333,15.0,13.0,5.333333333333333,3.3333333333333335,6.333333333333333,6.666666666666667,15.333333333333334,10.333333333333334,2.3333333333333335,2.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,2.5,1.25,2.25,0.5,15.25,11.25,5.75,3.25,6.25,5.5,14.0,10.25,2.25,2.5,0.5,0.75,0.5,0.75
1,1,0,0,6,20,3,7,2,4,16,13,1,2,1,0,0,0,2017-01-08,Villarreal,Barcelona,la_liga,29,4,1.5,1.0,1.0,1.0,16.0,11.5,7.5,5.0,7.0,4.0,12.0,16.0,2.5,3.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.6666666666666666,1.0,0.6666666666666666,15.666666666666666,10.0,7.333333333333333,4.333333333333333,8.0,3.0,13.333333333333334,14.666666666666666,1.6666666666666667,2.6666666666666665,0.0,0.0,0.3333333333333333,0.3333333333333333,1.75,0.75,0.75,0.75,15.25,9.5,6.5,4.25,6.5,2.5,14.0,14.0,1.75,2.75,0.0,0.0,0.5,0.0,0.5,2.0,0.0,0.0,10.5,13.5,3.5,4.0,5.0,5.5,17.0,8.5,2.5,2.0,0.0,0.0,-0.5,0.0,0.6666666666666666,2.0,0.3333333333333333,0.3333333333333333,12.0,13.666666666666666,3.6666666666666665,5.0,4.333333333333333,5.333333333333333,17.333333333333332,9.666666666666666,3.0,3.3333333333333335,0.0,0.0,-0.6666666666666666,0.0,1.0,2.25,0.25,0.5,10.75,14.0,3.75,5.75,4.0,4.25,16.75,10.5,3.5,3.5,0.0,0.0,-0.75,-0.25
3,3,1,2,22,7,4,3,7,3,19,13,2,5,0,0,0,-1,2017-01-09,Osasuna,Valencia,la_liga,21,26,0.0,3.0,0.0,1.0,7.5,12.0,1.0,5.5,4.5,4.5,13.5,6.0,2.5,1.0,0.0,0.0,-1.0,-0.5,0.0,2.3333333333333335,0.0,0.6666666666666666,8.333333333333334,12.0,2.0,4.666666666666667,4.0,4.333333333333333,15.0,7.333333333333333,3.3333333333333335,1.3333333333333333,0.0,0.0,-1.0,-0.3333333333333333,0.25,2.25,0.0,0.75,9.5,12.0,2.75,5.0,4.5,4.25,16.25,8.5,3.25,1.5,0.25,0.0,-1.0,-0.5,2.5,1.5,1.0,0.5,10.0,9.5,3.5,3.5,5.5,5.0,18.0,17.0,2.0,2.5,0.0,0.5,1.0,0.5,2.3333333333333335,1.3333333333333333,1.0,0.6666666666666666,9.0,10.666666666666666,3.6666666666666665,3.6666666666666665,5.0,4.333333333333333,18.333333333333332,16.333333333333332,3.3333333333333335,2.0,0.0,0.3333333333333333,1.0,0.3333333333333333,2.0,1.25,1.0,0.5,10.75,10.5,3.75,3.5,5.0,4.75,17.25,17.5,2.75,2.75,0.0,0.25,0.75,0.5
