Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA,League,HomeTeamCode,AwayTeamCode,FTR_code,HTR_code,H_R_FTHG_W_2,H_R_FTAG_W_2,H_R_HTHG_W_2,H_R_HTAG_W_2,H_R_HS_W_2,H_R_AS_W_2,H_R_HST_W_2,H_R_AST_W_2,H_R_HC_W_2,H_R_AC_W_2,H_R_HF_W_2,H_R_AF_W_2,H_R_HY_W_2,H_R_AY_W_2,H_R_HR_W_2,H_R_AR_W_2,H_R_FTR_code_W_2,H_R_HTR_code_W_2,H_R_FTHG_W_3,H_R_FTAG_W_3,H_R_HTHG_W_3,H_R_HTAG_W_3,H_R_HS_W_3,H_R_AS_W_3,H_R_HST_W_3,H_R_AST_W_3,H_R_HC_W_3,H_R_AC_W_3,H_R_HF_W_3,H_R_AF_W_3,H_R_HY_W_3,H_R_AY_W_3,H_R_HR_W_3,H_R_AR_W_3,H_R_FTR_code_W_3,H_R_HTR_code_W_3,H_R_FTHG_W_4,H_R_FTAG_W_4,H_R_HTHG_W_4,H_R_HTAG_W_4,H_R_HS_W_4,H_R_AS_W_4,H_R_HST_W_4,H_R_AST_W_4,H_R_HC_W_4,H_R_AC_W_4,H_R_HF_W_4,H_R_AF_W_4,H_R_HY_W_4,H_R_AY_W_4,H_R_HR_W_4,H_R_AR_W_4,H_R_FTR_code_W_4,H_R_HTR_code_W_4,A_R_FTHG_W_2,A_R_FTAG_W_2,A_R_HTHG_W_2,A_R_HTAG_W_2,A_R_HS_W_2,A_R_AS_W_2,A_R_HST_W_2,A_R_AST_W_2,A_R_HC_W_2,A_R_AC_W_2,A_R_HF_W_2,A_R_AF_W_2,A_R_HY_W_2,A_R_AY_W_2,A_R_HR_W_2,A_R_AR_W_2,A_R_FTR_code_W_2,A_R_HTR_code_W_2,A_R_FTHG_W_3,A_R_FTAG_W_3,A_R_HTHG_W_3,A_R_HTAG_W_3,A_R_HS_W_3,A_R_AS_W_3,A_R_HST_W_3,A_R_AST_W_3,A_R_HC_W_3,A_R_AC_W_3,A_R_HF_W_3,A_R_AF_W_3,A_R_HY_W_3,A_R_AY_W_3,A_R_HR_W_3,A_R_AR_W_3,A_R_FTR_code_W_3,A_R_HTR_code_W_3,A_R_FTHG_W_4,A_R_FTAG_W_4,A_R_HTHG_W_4,A_R_HTAG_W_4,A_R_HS_W_4,A_R_AS_W_4,A_R_HST_W_4,A_R_AST_W_4,A_R_HC_W_4,A_R_AC_W_4,A_R_HF_W_4,A_R_AF_W_4,A_R_HY_W_4,A_R_AY_W_4,A_R_HR_W_4,A_R_AR_W_4,A_R_FTR_code_W_4,A_R_HTR_code_W_4
E0,2017-12-02,Chelsea,Newcastle,3,1,H,2,1,H,K Friend,23,8,9,2,8,13,11,4,0,1,0,0,1.25,6.5,15.0,1.25,6.25,11.5,1.25,6.0,11.0,1.25,5.5,13.0,1.26,6.45,14.0,1.25,6.0,13.0,1.25,6.25,15.0,34,1.27,1.25,6.55,6.04,15.0,12.95,33,1.66,1.61,2.42,2.32,18,-1.75,2.05,2.0,1.95,1.88,1.24,6.65,16.5,premier_league,4,12,1,1,1.0,0.0,0.0,0.0,19.5,6.0,9.0,1.0,9.5,4.0,13.0,13.5,1.0,1.5,0.0,0.0,1.0,0.0,2.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,17.666666666666668,9.333333333333334,8.666666666666666,2.3333333333333335,8.333333333333334,4.666666666666667,13.0,14.333333333333334,1.3333333333333333,2.0,0.0,0.0,1.0,0.0,1.5,0.75,0.25,0.25,14.25,11.25,7.0,3.25,7.25,5.5,11.75,14.0,1.0,2.0,0.0,0.0,0.5,0.0,3.0,1.5,1.5,0.5,12.0,13.0,5.5,4.5,6.0,5.0,11.5,10.5,0.5,0.5,0.0,0.0,0.5,1.0,2.3333333333333335,1.0,1.0,0.3333333333333333,12.0,12.666666666666666,5.333333333333333,4.666666666666667,5.666666666666667,4.333333333333333,10.666666666666666,10.333333333333334,1.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666,2.25,1.25,0.75,0.5,12.0,14.25,4.5,4.75,5.0,5.25,10.75,10.75,1.25,0.75,0.0,0.0,0.5,0.25
E0,2017-12-12,Crystal Palace,Watford,2,1,H,0,1,A,L Mason,14,7,4,2,14,18,4,6,2,1,0,1,2.29,3.5,3.25,2.25,3.4,3.25,2.4,3.1,3.15,2.3,3.5,3.2,2.29,3.51,3.34,2.25,3.5,3.25,2.3,3.5,3.3,38,2.4,2.26,3.6,3.45,3.35,3.21,33,1.91,1.84,2.05,1.98,24,-0.25,2.0,1.94,1.97,1.92,2.27,3.53,3.39,premier_league,5,17,1,-1,2.0,1.5,1.0,1.0,17.0,10.0,6.5,4.0,5.5,2.5,11.5,9.5,3.0,1.5,0.0,0.0,0.5,0.0,2.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,16.666666666666668,9.333333333333334,6.666666666666667,4.333333333333333,6.666666666666667,3.0,10.666666666666666,15.0,2.6666666666666665,2.0,0.0,0.0,0.3333333333333333,0.0,2.0,1.75,1.0,1.5,17.25,8.5,7.25,3.75,7.75,2.75,12.5,15.0,2.25,2.0,0.0,0.0,0.25,-0.25,0.5,1.5,0.5,1.0,10.0,11.5,3.5,3.0,4.5,4.0,9.0,12.5,1.0,1.0,0.0,0.5,0.0,0.0,1.3333333333333333,1.6666666666666667,0.3333333333333333,0.6666666666666666,10.0,11.333333333333334,4.0,3.0,3.6666666666666665,4.333333333333333,10.666666666666666,12.333333333333334,0.6666666666666666,1.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,2.0,1.75,0.5,0.75,11.0,12.5,5.0,3.5,4.25,4.75,11.25,13.25,1.0,1.75,0.0,0.25,0.5,0.0
E0,2017-12-12,Burnley,Stoke,1,0,H,0,0,D,M Jones,10,14,2,7,6,14,6,4,0,0,0,0,2.29,3.2,3.6,2.25,3.1,3.5,2.4,3.2,3.05,2.25,3.2,3.6,2.3,3.25,3.6,2.3,3.1,3.3,2.25,3.2,3.75,38,2.4,2.26,3.3,3.17,3.75,3.48,33,2.48,2.38,1.62,1.58,24,-0.25,1.96,1.91,2.01,1.95,2.4,3.23,3.4,premier_league,3,14,1,0,0.5,0.5,0.5,0.0,8.0,14.0,3.5,2.0,4.0,5.0,9.0,13.0,1.5,0.0,0.0,0.5,0.0,0.5,1.0,0.3333333333333333,1.0,0.0,10.666666666666666,13.666666666666666,4.666666666666667,1.6666666666666667,5.333333333333333,5.333333333333333,10.0,12.666666666666666,1.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.25,0.75,0.0,11.0,13.25,4.75,2.5,5.25,4.75,9.75,12.0,1.75,0.25,0.0,0.25,0.5,0.5,3.5,1.0,0.5,0.0,15.0,6.5,8.0,3.0,8.5,4.0,10.5,7.0,1.0,0.5,0.0,0.0,1.0,0.5,3.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,13.0,8.666666666666666,6.333333333333333,4.0,7.666666666666667,5.0,11.333333333333334,6.333333333333333,1.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,2.25,1.25,0.5,0.75,13.0,8.0,4.75,3.5,7.75,4.0,11.0,7.0,1.75,1.25,0.0,0.0,0.25,-0.25
E0,2017-12-12,Huddersfield,Chelsea,1,3,A,0,2,A,A Marriner,7,12,2,5,11,4,1,3,0,0,0,0,9.0,4.5,1.44,8.5,4.33,1.42,7.5,4.8,1.4,8.5,4.4,1.44,8.36,4.68,1.46,9.0,4.6,1.4,8.5,4.6,1.45,38,9.0,8.31,4.8,4.43,1.48,1.44,33,2.03,1.95,1.95,1.88,23,1.25,1.86,1.83,2.1,2.03,9.21,4.48,1.45,premier_league,7,4,-1,-1,1.5,1.0,1.5,0.0,11.5,10.5,3.0,3.5,5.5,4.0,8.0,10.0,1.0,1.5,0.5,0.0,0.0,1.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.0,10.0,10.0,3.0,3.3333333333333335,4.666666666666667,4.333333333333333,8.0,11.666666666666666,1.0,2.3333333333333335,0.6666666666666666,0.0,0.3333333333333333,1.0,1.5,0.75,1.5,0.0,8.75,9.75,3.0,3.25,4.5,5.0,8.5,11.75,1.75,2.25,0.5,0.0,0.5,1.0,1.0,0.5,0.5,0.0,10.5,15.0,3.0,2.5,5.5,5.5,10.0,8.5,3.0,0.5,0.0,0.0,0.5,0.5,0.6666666666666666,1.6666666666666667,0.3333333333333333,1.0,9.333333333333334,13.666666666666666,2.6666666666666665,4.0,4.666666666666667,5.0,11.0,9.666666666666666,2.6666666666666665,1.3333333333333333,0.0,0.0,0.0,0.0,0.5,1.5,0.25,0.75,8.75,14.75,2.25,4.25,4.75,5.0,9.5,8.5,2.5,1.0,0.0,0.0,-0.25,0.0
E0,2017-12-13,West Ham,Arsenal,0,0,D,0,0,D,J Moss,6,22,0,3,9,9,1,7,1,0,0,0,5.25,4.2,1.66,5.25,4.2,1.62,5.0,4.0,1.65,5.2,4.0,1.61,5.36,4.44,1.65,5.5,4.0,1.65,5.4,4.3,1.65,38,5.5,5.26,4.45,4.15,1.67,1.64,32,1.72,1.66,2.3,2.21,23,0.75,2.14,2.07,1.83,1.79,5.45,4.26,1.66,premier_league,19,0,0,0,1.0,0.5,1.0,0.5,6.5,13.0,3.0,2.0,4.5,4.0,9.5,11.0,3.5,1.0,0.0,0.0,0.5,0.5,1.0,1.6666666666666667,0.6666666666666666,1.0,6.333333333333333,13.666666666666666,2.3333333333333335,3.6666666666666665,3.6666666666666665,3.6666666666666665,9.333333333333334,11.666666666666666,3.3333333333333335,0.6666666666666666,0.0,0.0,0.0,0.0,0.75,2.0,0.5,1.25,8.75,12.0,2.25,4.0,5.25,3.5,8.25,12.0,2.75,0.5,0.0,0.0,-0.25,-0.25,0.5,1.0,0.5,0.0,7.0,14.0,2.5,4.0,4.5,5.0,10.0,12.0,2.0,1.0,0.0,0.0,-0.5,0.5,1.3333333333333333,1.0,0.6666666666666666,0.0,7.666666666666667,11.333333333333334,3.3333333333333335,3.6666666666666665,4.666666666666667,5.0,11.666666666666666,13.0,1.6666666666666667,2.6666666666666665,0.0,0.0,0.0,0.6666666666666666,1.5,2.0,0.75,0.25,7.75,16.0,3.25,6.25,3.5,5.5,12.25,13.25,1.5,2.25,0.25,0.0,-0.25,0.5
E0,2017-12-13,Liverpool,West Brom,0,0,D,0,0,D,P Tierney,14,6,5,1,16,6,5,7,1,0,0,0,1.22,7.0,15.0,1.2,7.0,13.5,1.25,6.0,11.0,1.2,6.5,15.0,1.23,7.25,14.75,1.2,7.0,15.0,1.22,7.0,13.0,37,1.25,1.21,7.25,6.69,15.25,13.99,33,1.56,1.52,2.62,2.53,24,-2.0,2.12,2.05,1.85,1.81,1.21,7.8,15.75,premier_league,9,18,0,0,1.0,1.0,0.5,0.0,19.5,7.0,3.5,2.5,9.5,4.5,9.0,9.0,0.5,1.5,0.0,0.0,0.0,0.5,1.6666666666666667,0.6666666666666666,1.0,0.0,20.0,6.333333333333333,5.0,1.6666666666666667,9.666666666666666,3.6666666666666665,11.0,9.0,0.6666666666666666,1.3333333333333333,0.0,0.0,0.3333333333333333,0.6666666666666666,2.0,0.5,0.75,0.0,19.0,5.0,5.75,1.25,9.5,3.25,10.75,8.75,0.5,1.25,0.0,0.0,0.5,0.5,1.0,0.5,0.0,0.5,21.0,6.0,4.0,1.5,7.0,1.5,9.0,15.5,1.5,4.5,0.0,0.0,0.5,-0.5,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,16.333333333333332,7.0,3.6666666666666665,2.0,5.666666666666667,2.6666666666666665,8.666666666666666,15.333333333333334,1.3333333333333333,4.333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,0.25,0.25,0.25,17.25,7.0,4.25,2.0,6.25,2.75,9.0,13.5,1.0,3.5,0.25,0.0,0.75,0.0
E0,2017-12-13,Southampton,Leicester,1,4,A,0,3,A,C Kavanagh,12,16,4,11,13,9,9,9,1,0,0,0,2.1,3.39,3.89,2.05,3.4,3.7,2.05,3.35,3.7,2.05,3.3,3.7,2.1,3.45,3.95,2.05,3.4,3.8,2.1,3.4,3.9,38,2.12,2.06,3.5,3.39,4.18,3.78,33,2.11,2.04,1.85,1.79,23,-0.25,1.82,1.77,2.17,2.1,1.94,3.49,4.56,premier_league,13,8,-1,-1,2.5,1.0,1.0,0.5,11.5,8.0,4.0,4.0,5.5,3.5,9.0,11.5,1.0,1.0,0.0,0.0,0.5,0.5,1.6666666666666667,1.0,0.6666666666666666,0.3333333333333333,12.0,7.0,3.6666666666666665,3.0,6.666666666666667,2.6666666666666665,7.333333333333333,9.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,1.5,0.75,0.5,0.25,14.0,7.0,4.25,2.75,7.0,2.75,8.0,8.75,0.5,0.75,0.0,0.0,0.25,0.25,1.5,2.0,1.0,1.0,9.0,10.0,4.0,3.5,5.5,5.0,9.5,10.5,1.5,1.0,0.0,0.0,-0.5,0.0,1.6666666666666667,2.0,1.0,1.0,9.666666666666666,11.333333333333334,5.0,3.6666666666666665,5.0,6.666666666666667,10.333333333333334,9.666666666666666,1.0,0.6666666666666666,0.0,0.0,-0.3333333333333333,0.0,1.5,2.0,0.75,1.0,12.0,11.25,4.75,4.25,5.5,6.5,9.25,9.5,0.75,0.75,0.0,0.0,-0.5,-0.25
E0,2017-12-13,Newcastle,Everton,0,1,A,0,1,A,M Atkinson,16,7,4,4,10,11,4,1,1,2,1,0,2.39,3.29,3.25,2.35,3.2,3.25,2.6,3.3,2.7,2.35,3.2,3.1,2.41,3.29,3.32,2.4,3.2,3.2,2.4,3.4,3.2,38,2.6,2.38,3.4,3.25,3.35,3.17,33,2.2,2.11,1.8,1.73,24,-0.25,2.08,2.02,1.88,1.84,2.19,3.32,3.81,premier_league,12,6,-1,-1,1.0,3.0,0.5,1.5,11.0,12.5,3.0,4.5,6.0,4.0,9.0,11.0,1.5,1.5,0.0,0.0,-1.0,-0.5,0.6666666666666666,2.3333333333333335,0.3333333333333333,1.0,12.666666666666666,13.666666666666666,3.3333333333333335,5.0,7.666666666666667,5.666666666666667,9.666666666666666,11.333333333333334,1.6666666666666667,1.6666666666666667,0.0,0.0,-1.0,-0.3333333333333333,0.75,1.75,0.25,0.75,11.25,12.75,3.25,3.75,6.5,5.5,10.25,12.0,2.25,1.75,0.0,0.0,-0.5,-0.25,2.5,1.0,1.0,0.5,20.0,4.0,4.0,2.0,9.5,1.5,7.0,12.0,0.5,1.5,0.0,0.0,0.5,0.5,2.3333333333333335,1.3333333333333333,1.3333333333333333,1.0,18.666666666666668,5.333333333333333,5.0,3.0,9.333333333333334,2.3333333333333335,7.666666666666667,16.666666666666668,1.0,2.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.25,1.0,1.5,0.75,16.25,8.0,4.5,2.75,7.75,4.25,7.25,15.0,0.75,2.0,0.0,0.0,0.5,0.5
E0,2017-12-13,Man United,Bournemouth,1,0,H,1,0,H,G Scott,9,14,2,7,14,12,4,9,1,2,0,0,1.28,6.0,12.0,1.26,5.75,11.5,1.25,6.0,11.0,1.28,5.5,12.0,1.29,6.26,11.64,1.29,5.5,12.0,1.29,6.0,13.0,38,1.3,1.28,6.35,5.75,13.0,11.73,29,1.67,1.63,2.39,2.27,22,-1.75,2.12,2.05,1.85,1.8,1.3,6.2,11.05,premier_league,11,1,1,1,1.0,1.0,0.5,0.5,11.5,11.0,4.5,4.5,3.5,4.0,12.5,9.5,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.6666666666666666,13.0,11.333333333333334,5.333333333333333,4.666666666666667,6.0,4.0,11.666666666666666,9.333333333333334,1.6666666666666667,1.6666666666666667,0.0,0.0,0.3333333333333333,0.3333333333333333,1.75,0.75,0.75,0.5,12.5,11.75,4.75,4.5,6.0,3.75,11.75,10.5,1.5,1.25,0.0,0.0,0.5,0.25,1.0,1.0,1.0,1.0,17.0,10.0,4.5,5.0,5.0,4.0,16.0,10.0,4.5,2.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,16.666666666666668,12.0,4.333333333333333,5.333333333333333,7.0,5.666666666666667,14.333333333333334,10.666666666666666,3.6666666666666665,2.0,0.0,0.0,-0.3333333333333333,0.0,0.75,1.25,0.5,1.0,15.0,10.75,3.75,4.75,7.25,5.0,15.0,10.5,2.75,1.75,0.0,0.0,-0.5,-0.25
E0,2017-12-13,Swansea,Man City,0,4,A,0,2,A,A Taylor,7,23,3,10,12,6,2,5,0,0,0,0,15.0,6.5,1.25,13.0,6.5,1.22,11.0,6.0,1.25,13.0,6.0,1.22,13.5,6.85,1.25,13.0,6.0,1.25,15.0,6.5,1.25,38,15.0,13.07,7.0,6.23,1.27,1.24,33,1.55,1.49,2.75,2.6,23,2.0,1.8,1.72,2.26,2.15,13.0,7.15,1.24,premier_league,15,10,-1,-1,0.5,0.0,0.0,0.0,14.0,8.0,2.0,3.0,5.0,4.0,13.0,12.0,3.0,3.5,0.0,0.0,0.5,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,13.333333333333334,7.0,2.0,2.6666666666666665,6.0,5.0,13.0,12.0,2.6666666666666665,2.6666666666666665,0.0,0.0,0.0,-0.3333333333333333,0.5,0.75,0.0,0.5,14.75,8.0,2.5,3.5,6.25,5.25,11.25,11.25,2.0,2.25,0.0,0.0,-0.25,-0.5,1.0,2.0,1.0,0.5,6.0,14.0,2.5,6.0,2.5,7.5,13.0,10.0,3.0,2.5,0.5,0.0,-1.0,0.5,0.6666666666666666,2.0,0.6666666666666666,0.6666666666666666,4.666666666666667,13.333333333333334,1.6666666666666667,5.333333333333333,2.0,7.333333333333333,11.333333333333334,10.0,2.3333333333333335,2.0,0.3333333333333333,0.0,-1.0,0.0,1.0,2.25,0.75,1.0,5.0,13.75,2.25,5.25,1.75,6.0,11.0,9.25,2.25,2.25,0.25,0.0,-1.0,-0.25
