Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA,League,HomeTeamCode,AwayTeamCode,FTR_code,HTR_code,H_R_FTHG_W_2,H_R_FTAG_W_2,H_R_HTHG_W_2,H_R_HTAG_W_2,H_R_HS_W_2,H_R_AS_W_2,H_R_HST_W_2,H_R_AST_W_2,H_R_HC_W_2,H_R_AC_W_2,H_R_HF_W_2,H_R_AF_W_2,H_R_HY_W_2,H_R_AY_W_2,H_R_HR_W_2,H_R_AR_W_2,H_R_FTR_code_W_2,H_R_HTR_code_W_2,H_R_FTHG_W_3,H_R_FTAG_W_3,H_R_HTHG_W_3,H_R_HTAG_W_3,H_R_HS_W_3,H_R_AS_W_3,H_R_HST_W_3,H_R_AST_W_3,H_R_HC_W_3,H_R_AC_W_3,H_R_HF_W_3,H_R_AF_W_3,H_R_HY_W_3,H_R_AY_W_3,H_R_HR_W_3,H_R_AR_W_3,H_R_FTR_code_W_3,H_R_HTR_code_W_3,H_R_FTHG_W_4,H_R_FTAG_W_4,H_R_HTHG_W_4,H_R_HTAG_W_4,H_R_HS_W_4,H_R_AS_W_4,H_R_HST_W_4,H_R_AST_W_4,H_R_HC_W_4,H_R_AC_W_4,H_R_HF_W_4,H_R_AF_W_4,H_R_HY_W_4,H_R_AY_W_4,H_R_HR_W_4,H_R_AR_W_4,H_R_FTR_code_W_4,H_R_HTR_code_W_4,A_R_FTHG_W_2,A_R_FTAG_W_2,A_R_HTHG_W_2,A_R_HTAG_W_2,A_R_HS_W_2,A_R_AS_W_2,A_R_HST_W_2,A_R_AST_W_2,A_R_HC_W_2,A_R_AC_W_2,A_R_HF_W_2,A_R_AF_W_2,A_R_HY_W_2,A_R_AY_W_2,A_R_HR_W_2,A_R_AR_W_2,A_R_FTR_code_W_2,A_R_HTR_code_W_2,A_R_FTHG_W_3,A_R_FTAG_W_3,A_R_HTHG_W_3,A_R_HTAG_W_3,A_R_HS_W_3,A_R_AS_W_3,A_R_HST_W_3,A_R_AST_W_3,A_R_HC_W_3,A_R_AC_W_3,A_R_HF_W_3,A_R_AF_W_3,A_R_HY_W_3,A_R_AY_W_3,A_R_HR_W_3,A_R_AR_W_3,A_R_FTR_code_W_3,A_R_HTR_code_W_3,A_R_FTHG_W_4,A_R_FTAG_W_4,A_R_HTHG_W_4,A_R_HTAG_W_4,A_R_HS_W_4,A_R_AS_W_4,A_R_HST_W_4,A_R_AST_W_4,A_R_HC_W_4,A_R_AC_W_4,A_R_HF_W_4,A_R_AF_W_4,A_R_HY_W_4,A_R_AY_W_4,A_R_HR_W_4,A_R_AR_W_4,A_R_FTR_code_W_4,A_R_HTR_code_W_4
E0,2018-12-08,Cardiff,Southampton,1,0,H,0,0,D,J Moss,13,12,4,1,9,10,7,7,2,2,0,0,2.9,3.25,2.7,2.8,3.2,2.6,2.9,3.15,2.55,2.92,3.33,2.66,2.8,3.25,2.6,2.9,3.25,2.7,38,2.95,2.86,3.33,3.21,2.72,2.62,35,2.23,2.15,1.77,1.71,21,0.25,1.75,1.7,2.29,2.22,3.3,3.28,2.44,premier_league,4,15,1,0,2.0,1.0,0.5,1.0,18.5,11.0,4.5,3.5,5.5,3.5,5.0,16.5,1.5,1.5,0.0,0.5,1.0,-0.5,1.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,16.0,11.666666666666666,3.6666666666666665,4.0,5.666666666666667,6.333333333333333,7.666666666666667,15.0,1.6666666666666667,1.6666666666666667,0.0,0.3333333333333333,0.3333333333333333,-0.3333333333333333,2.0,1.25,0.75,1.0,17.5,11.0,4.0,4.0,5.25,5.75,9.5,15.25,2.0,2.0,0.0,0.25,0.5,-0.25,3.0,1.5,1.5,0.5,11.5,18.5,6.5,6.5,5.0,5.5,8.5,5.5,1.0,1.5,0.0,0.0,1.0,1.0,4.0,1.3333333333333333,2.3333333333333335,0.6666666666666666,13.666666666666666,16.333333333333332,7.0,6.333333333333333,4.666666666666667,5.0,10.333333333333334,6.666666666666667,1.0,1.3333333333333333,0.0,0.0,1.0,1.0,3.0,1.0,1.75,0.5,12.75,14.25,5.75,5.75,5.0,4.75,10.25,8.5,1.0,1.5,0.0,0.0,0.75,0.75
E0,2018-12-08,Burnley,Brighton,1,0,H,1,0,H,M Atkinson,14,14,4,1,11,11,2,7,2,0,0,0,2.9,3.2,2.75,2.85,3.1,2.65,2.8,3.05,2.75,2.87,3.15,2.84,2.75,3.1,2.75,2.88,3.2,2.8,38,2.95,2.84,3.2,3.08,2.85,2.73,34,2.5,2.41,1.62,1.57,21,0.25,1.69,1.65,2.4,2.31,2.98,3.11,2.77,premier_league,3,2,1,1,1.0,2.5,0.5,1.0,12.0,17.5,5.0,7.5,5.0,7.0,8.0,7.0,0.5,0.5,0.0,0.0,-1.0,-0.5,0.6666666666666666,3.0,0.3333333333333333,1.0,10.333333333333334,19.666666666666668,3.6666666666666665,7.666666666666667,4.666666666666667,6.0,10.0,8.0,1.6666666666666667,1.0,0.0,0.0,-1.0,-0.6666666666666666,0.75,2.5,0.5,0.75,9.25,19.5,3.5,6.25,3.75,7.0,9.5,8.75,1.75,1.25,0.0,0.0,-0.75,-0.25,1.5,1.5,1.0,1.0,13.5,10.5,4.0,4.5,3.0,3.5,8.5,16.5,1.0,1.5,0.5,0.5,0.0,0.0,2.0,1.3333333333333333,1.0,1.0,13.666666666666666,8.666666666666666,3.6666666666666665,4.0,4.0,3.6666666666666665,8.666666666666666,16.666666666666668,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.5,1.25,0.75,1.0,17.0,8.5,4.25,3.5,5.5,3.25,9.75,16.75,0.5,1.5,0.25,0.25,0.0,-0.25
E0,2018-12-08,West Ham,Crystal Palace,3,2,H,0,1,A,A Taylor,13,8,6,4,10,8,5,3,1,2,0,0,2.3,3.4,3.4,2.2,3.4,3.3,2.25,3.3,3.3,2.29,3.43,3.45,2.25,3.3,3.3,2.25,3.4,3.4,38,2.33,2.26,3.45,3.34,3.5,3.32,35,2.03,1.96,1.92,1.85,21,-0.25,1.97,1.93,1.98,1.94,2.32,3.54,3.27,premier_league,18,6,1,-1,1.5,2.5,0.0,1.5,13.0,9.0,6.0,5.5,9.0,2.5,8.0,6.5,0.5,1.0,0.0,0.0,0.0,-0.5,2.3333333333333335,2.3333333333333335,0.3333333333333333,1.3333333333333333,16.0,8.0,7.333333333333333,4.666666666666667,9.333333333333334,3.0,7.666666666666667,7.333333333333333,0.6666666666666666,2.0,0.0,0.0,0.3333333333333333,-0.3333333333333333,1.75,2.0,0.25,1.25,15.25,8.5,6.5,4.0,9.5,3.75,7.75,8.0,1.25,1.5,0.0,0.0,0.0,-0.5,1.5,0.5,1.5,0.0,10.5,15.5,4.0,3.5,7.0,4.0,13.5,12.0,1.5,2.5,0.5,0.0,0.5,0.5,2.0,0.6666666666666666,1.3333333333333333,0.0,12.0,12.666666666666666,4.666666666666667,3.0,6.0,3.3333333333333335,11.0,12.333333333333334,1.0,2.0,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,2.0,0.5,1.0,0.0,14.0,11.25,4.5,3.0,7.0,3.75,11.5,13.5,1.25,1.75,0.25,0.0,0.75,0.5
E0,2018-12-08,Man United,Fulham,4,1,H,3,0,H,L Probert,20,10,11,4,11,15,10,3,1,1,0,1,1.33,5.75,10.0,1.33,5.5,8.75,1.33,5.5,8.5,1.36,5.29,9.84,1.35,5.0,9.0,1.36,5.4,9.5,38,1.38,1.35,5.75,5.24,10.5,9.11,35,1.61,1.57,2.55,2.42,23,-1.5,2.11,2.02,1.9,1.83,1.39,5.09,9.42,premier_league,13,8,1,1,1.0,1.0,0.5,0.5,11.0,11.0,6.0,3.0,7.0,3.5,13.0,11.0,2.0,2.5,0.0,0.0,0.0,0.0,1.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,12.0,12.0,7.333333333333333,4.0,7.333333333333333,3.6666666666666665,13.666666666666666,11.333333333333334,2.0,2.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.75,1.25,0.5,0.75,13.5,12.25,8.0,5.0,8.0,4.25,14.25,10.5,2.0,2.0,0.0,0.0,0.5,0.0,2.0,0.0,1.0,0.0,18.0,8.5,8.0,3.5,5.0,4.5,9.5,13.0,1.5,1.0,0.0,0.0,1.0,1.0,1.6666666666666667,0.0,1.0,0.0,15.333333333333334,8.0,6.0,2.6666666666666665,5.0,4.333333333333333,10.0,11.333333333333334,1.3333333333333333,1.3333333333333333,0.0,0.0,1.0,1.0,2.25,0.5,1.25,0.5,17.0,8.25,5.75,3.0,4.75,4.25,11.25,12.5,1.75,1.75,0.0,0.0,1.0,0.75
E0,2018-12-08,Leicester,Tottenham,0,2,A,0,1,A,C Pawson,11,7,3,2,12,7,6,5,3,1,0,0,3.8,3.75,2.0,3.9,3.5,1.95,3.6,3.5,2.05,3.94,3.55,2.07,3.75,3.5,2.0,3.9,3.7,2.0,38,4.0,3.79,3.75,3.55,2.08,2.0,35,1.9,1.81,2.12,2.02,21,0.25,2.22,2.17,1.77,1.73,4.34,3.49,1.99,premier_league,10,16,-1,-1,1.0,0.0,1.0,0.0,14.5,7.0,4.0,0.5,8.0,4.5,10.0,8.0,2.0,0.5,0.0,0.5,0.5,0.5,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,16.666666666666668,8.333333333333334,5.0,1.3333333333333333,8.0,3.0,12.333333333333334,7.0,1.6666666666666667,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.75,0.75,0.5,14.5,10.5,4.25,3.0,6.5,4.75,11.75,8.0,1.75,0.75,0.25,0.5,0.0,0.0,2.0,1.5,0.5,1.0,16.5,11.0,5.5,4.0,9.0,5.5,13.5,13.0,2.0,2.0,0.0,0.5,0.0,-0.5,2.0,2.0,0.3333333333333333,1.3333333333333333,16.333333333333332,10.666666666666666,6.0,5.333333333333333,7.666666666666667,4.0,12.666666666666666,11.333333333333334,1.6666666666666667,2.0,0.0,0.3333333333333333,-0.3333333333333333,-0.6666666666666666,1.5,1.75,0.25,1.25,15.5,10.5,5.5,4.5,8.25,4.5,11.5,11.0,2.0,1.5,0.0,0.25,-0.5,-0.75
E0,2018-12-08,Bournemouth,Liverpool,0,4,A,0,1,A,L Mason,8,10,2,4,9,11,6,6,2,1,0,0,5.75,4.5,1.6,5.5,4.33,1.57,5.5,3.8,1.65,5.94,4.52,1.58,5.8,4.33,1.55,6.0,4.5,1.57,38,6.0,5.53,4.57,4.33,1.68,1.59,32,1.67,1.61,2.4,2.32,23,1.0,2.0,1.9,2.05,1.96,7.43,4.72,1.48,premier_league,1,11,-1,-1,1.5,1.5,1.5,1.0,8.5,21.5,3.5,5.0,4.5,8.0,10.0,10.0,3.0,1.5,0.0,0.0,0.0,0.5,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.0,11.666666666666666,20.333333333333332,4.666666666666667,6.0,6.0,7.0,10.666666666666666,10.666666666666666,3.3333333333333335,2.0,0.0,0.0,-0.3333333333333333,0.3333333333333333,1.0,1.25,1.0,0.75,11.25,17.25,4.0,5.5,6.0,6.25,10.5,11.5,2.75,2.0,0.0,0.0,-0.25,0.25,0.5,3.0,0.0,0.0,7.5,14.0,3.5,9.5,5.0,7.0,11.0,8.0,0.5,0.0,0.0,0.5,-1.0,0.0,0.6666666666666666,2.3333333333333335,0.0,0.0,9.0,13.666666666666666,3.6666666666666665,7.666666666666667,5.0,7.333333333333333,9.666666666666666,7.666666666666667,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,-0.6666666666666666,0.0,0.5,2.0,0.0,0.25,10.0,13.0,3.0,6.25,4.25,6.5,9.5,7.25,0.5,0.75,0.0,0.25,-0.75,-0.25
E0,2018-12-10,Everton,Watford,2,2,D,1,0,H,K Friend,12,15,5,3,13,13,6,6,1,1,0,0,1.8,3.75,5.0,1.75,3.7,4.75,1.75,3.7,4.8,1.77,3.93,4.99,1.73,3.8,4.8,1.75,3.8,5.0,38,1.82,1.75,3.95,3.74,5.11,4.77,35,1.95,1.89,2.0,1.92,23,-1.0,2.51,2.39,1.7,1.61,1.69,3.92,5.7,premier_league,7,17,0,1,1.0,0.5,0.5,0.5,17.5,7.5,5.5,3.0,10.5,2.5,9.5,15.5,0.0,4.0,0.0,0.0,0.5,0.0,1.6666666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,16.333333333333332,6.666666666666667,4.666666666666667,3.0,9.0,3.0,9.333333333333334,16.0,0.0,3.0,0.0,0.0,0.6666666666666666,0.0,1.75,0.5,0.5,0.5,17.25,6.75,4.5,3.0,9.25,3.5,10.25,16.25,0.5,2.5,0.0,0.0,0.75,0.0,1.5,0.5,1.5,0.0,10.5,10.0,3.5,3.0,5.5,7.0,10.0,9.5,2.5,1.5,0.0,0.5,0.5,1.0,1.3333333333333333,0.3333333333333333,1.0,0.0,10.333333333333334,12.0,3.0,2.3333333333333335,6.333333333333333,7.666666666666667,10.666666666666666,10.0,2.0,2.6666666666666665,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.75,0.75,0.5,10.25,11.25,2.5,2.5,6.75,6.25,13.75,10.75,2.25,2.25,0.0,0.25,0.25,0.25
E0,2018-12-15,Tottenham,Burnley,1,0,H,0,0,D,G Scott,15,4,3,0,7,8,8,3,0,2,0,0,1.18,8.0,19.0,1.18,7.25,16.0,1.2,7.0,13.0,1.18,7.74,18.36,1.15,8.0,15.0,1.18,8.0,21.0,36,1.2,1.18,8.15,7.45,21.0,16.85,31,1.48,1.43,2.9,2.77,23,-2.0,1.89,1.85,2.06,2.0,1.2,6.92,18.03,premier_league,16,3,1,0,3.0,1.0,1.5,0.0,15.5,15.5,8.5,3.5,6.0,5.0,13.0,8.5,0.0,1.5,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.3333333333333333,11.666666666666666,14.666666666666666,6.0,4.333333333333333,5.0,5.333333333333333,13.0,10.0,0.6666666666666666,1.6666666666666667,0.0,0.0,0.3333333333333333,0.3333333333333333,1.75,0.75,1.0,0.25,13.5,13.0,6.25,4.75,5.25,4.5,11.5,10.25,1.0,1.5,0.0,0.25,0.5,0.5,1.0,0.0,0.5,0.0,25.5,5.0,7.0,0.5,11.0,1.5,11.0,10.0,1.5,0.5,0.0,0.0,0.5,0.5,2.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,24.333333333333332,5.333333333333333,8.0,1.3333333333333333,10.666666666666666,2.3333333333333335,9.666666666666666,9.666666666666666,1.3333333333333333,1.6666666666666667,0.0,0.0,0.6666666666666666,0.3333333333333333,2.75,0.5,0.75,0.25,24.25,5.25,8.5,1.0,10.5,2.0,10.0,8.5,1.5,1.75,0.0,0.0,0.75,0.5
E0,2018-12-15,Wolves,Bournemouth,2,0,H,1,0,H,S Hooper,9,13,3,3,15,7,5,3,1,2,0,0,1.95,3.6,4.33,1.95,3.5,4.0,2.0,3.4,3.8,2.02,3.48,4.2,1.95,3.5,4.0,1.95,3.6,4.1,34,2.03,1.96,3.65,3.51,4.35,4.09,34,1.97,1.89,2.0,1.91,20,-0.75,2.35,2.24,1.75,1.7,2.02,3.45,4.24,premier_league,19,1,1,1,1.0,1.5,0.0,1.0,9.0,15.5,2.5,4.5,2.0,5.0,13.5,9.0,2.5,3.0,0.0,0.0,0.0,-1.0,1.3333333333333333,2.0,0.0,1.3333333333333333,11.333333333333334,13.666666666666666,4.0,5.666666666666667,3.0,3.6666666666666665,12.666666666666666,8.666666666666666,2.0,2.6666666666666665,0.0,0.0,-0.3333333333333333,-1.0,1.0,2.0,0.0,1.5,11.0,12.5,3.25,5.0,4.25,3.25,15.25,9.75,2.25,2.25,0.0,0.0,-0.5,-1.0,2.5,1.0,1.5,1.0,17.0,9.0,6.0,2.5,7.5,7.0,9.0,7.0,1.0,0.5,0.0,0.0,1.0,0.5,1.6666666666666667,1.6666666666666667,1.0,1.0,15.0,10.0,4.333333333333333,3.3333333333333335,6.666666666666667,6.333333333333333,11.333333333333334,5.666666666666667,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,1.25,2.25,0.75,1.5,14.75,10.0,3.75,4.25,7.5,6.5,11.25,6.5,1.75,0.75,0.5,0.0,0.0,-0.25
E0,2018-12-15,Crystal Palace,Leicester,1,0,H,1,0,H,M Oliver,8,12,1,2,10,8,4,4,2,1,0,0,2.62,3.2,3.0,2.55,3.2,2.9,2.6,3.1,2.95,2.72,3.15,2.99,2.62,3.1,2.88,2.7,3.13,3.0,36,2.72,2.64,3.2,3.12,3.05,2.92,34,2.45,2.34,1.65,1.6,21,-0.25,2.29,2.23,1.75,1.7,2.73,3.2,2.94,premier_league,6,10,1,1,1.0,0.5,0.5,0.0,20.0,7.5,6.5,1.0,10.0,4.0,10.5,9.5,1.0,1.0,0.0,0.0,0.0,0.5,1.3333333333333333,1.0,0.6666666666666666,0.0,18.666666666666668,7.333333333333333,5.333333333333333,1.3333333333333333,8.666666666666666,4.0,10.333333333333334,11.666666666666666,1.0,1.3333333333333333,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.5,0.0,16.75,7.25,5.0,1.5,8.0,3.75,10.5,12.0,1.5,2.0,0.0,0.0,-0.25,0.5,1.0,1.0,1.0,0.0,19.5,10.5,5.0,4.0,8.0,4.5,11.0,7.0,1.5,0.5,0.0,0.5,0.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0,16.666666666666668,11.333333333333334,4.0,4.333333333333333,7.333333333333333,7.0,11.666666666666666,8.666666666666666,1.6666666666666667,1.0,0.0,0.3333333333333333,-0.3333333333333333,0.6666666666666666,1.25,1.0,0.75,0.25,17.25,10.5,4.5,3.75,7.0,6.25,11.25,9.0,1.75,1.25,0.0,0.25,0.0,0.5
