Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,HomeTeamCode,AwayTeamCode,FTR_code,HTR_code,H_R_FTHG_W_2,H_R_FTAG_W_2,H_R_HTHG_W_2,H_R_HTAG_W_2,H_R_HS_W_2,H_R_AS_W_2,H_R_HST_W_2,H_R_AST_W_2,H_R_HC_W_2,H_R_AC_W_2,H_R_HF_W_2,H_R_AF_W_2,H_R_HY_W_2,H_R_AY_W_2,H_R_HR_W_2,H_R_AR_W_2,H_R_FTR_code_W_2,H_R_HTR_code_W_2,H_R_FTHG_W_3,H_R_FTAG_W_3,H_R_HTHG_W_3,H_R_HTAG_W_3,H_R_HS_W_3,H_R_AS_W_3,H_R_HST_W_3,H_R_AST_W_3,H_R_HC_W_3,H_R_AC_W_3,H_R_HF_W_3,H_R_AF_W_3,H_R_HY_W_3,H_R_AY_W_3,H_R_HR_W_3,H_R_AR_W_3,H_R_FTR_code_W_3,H_R_HTR_code_W_3,H_R_FTHG_W_4,H_R_FTAG_W_4,H_R_HTHG_W_4,H_R_HTAG_W_4,H_R_HS_W_4,H_R_AS_W_4,H_R_HST_W_4,H_R_AST_W_4,H_R_HC_W_4,H_R_AC_W_4,H_R_HF_W_4,H_R_AF_W_4,H_R_HY_W_4,H_R_AY_W_4,H_R_HR_W_4,H_R_AR_W_4,H_R_FTR_code_W_4,H_R_HTR_code_W_4
E0,12/03/2022,17:30,Man United,Tottenham,3,2,H,2,1,H,J Moss,10,10,6,3,8,7,4,5,2,1,0,0,2.2,3.4,3.25,2.1,3.6,3.2,2.2,3.5,3.2,2.22,3.66,3.35,2.15,3.4,3.3,2.1,3.5,3.2,2.24,3.68,3.52,2.18,3.56,3.33,1.72,2.1,1.75,2.19,1.79,2.25,1.74,2.13,-0.25,1.92,2.01,1.93,2.0,1.93,2.03,1.89,1.99,2.25,3.5,3.1,2.3,3.5,2.95,2.35,3.45,3.0,2.39,3.54,3.12,2.4,3.4,2.87,2.3,3.5,3.1,2.5,3.84,3.2,2.33,3.51,3.09,1.8,2.0,1.82,2.09,1.86,2.17,1.79,2.04,-0.25,2.03,1.9,2.06,1.87,2.15,1.91,2.02,1.86,12,16,1,1,2.5,1.0,1.0,0.0,16.5,12.5,7.5,3.5,4.0,3.5,10.5,7.5,2.5,0.0,0.0,0.0,0.5,1.0,1.6666666666666667,1.3333333333333333,0.6666666666666666,0.6666666666666666,12.666666666666666,13.666666666666666,5.333333333333333,4.0,3.0,5.333333333333333,10.0,9.0,2.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,1.5,1.0,0.5,0.5,13.5,12.25,4.75,3.5,4.5,5.5,11.5,9.0,2.0,1.0,0.0,0.0,0.25,0.25
E0,13/02/2022,14:00,Burnley,Liverpool,0,1,A,0,1,A,M Atkinson,8,12,5,4,7,6,5,8,0,1,0,0,10.0,5.25,1.28,9.75,5.5,1.3,11.0,5.75,1.3,10.82,6.03,1.29,11.0,5.25,1.29,11.5,5.5,1.25,12.5,6.2,1.32,10.72,5.75,1.29,1.57,2.37,1.61,2.43,1.67,2.45,1.6,2.36,1.75,1.8,2.0,1.85,2.06,1.88,2.14,1.82,2.05,12.0,6.5,1.2,10.5,6.25,1.26,11.0,6.0,1.27,13.5,7.2,1.22,13.0,6.0,1.22,15.0,6.5,1.22,15.0,7.3,1.27,12.85,6.77,1.23,1.4,3.0,1.45,2.85,1.5,3.26,1.44,2.81,2.0,1.85,2.08,1.83,2.09,1.88,2.2,1.82,2.07,4,10,-1,-1,0.5,0.5,0.0,0.5,9.0,19.0,2.0,4.0,4.0,7.0,12.0,10.5,2.0,1.0,0.0,0.0,0.0,-0.5,0.6666666666666666,1.3333333333333333,0.0,1.0,10.666666666666666,16.666666666666668,3.3333333333333335,5.0,4.0,6.333333333333333,12.333333333333334,10.666666666666666,1.6666666666666667,1.3333333333333333,0.0,0.0,-0.3333333333333333,-0.6666666666666666,1.25,1.5,0.25,1.25,11.25,16.5,3.5,4.75,5.25,6.25,12.0,12.0,1.75,1.5,0.0,0.0,0.0,-0.75
E0,14/08/2021,15:00,Everton,Southampton,3,1,H,0,1,A,A Madley,14,6,6,3,13,15,6,8,2,0,0,0,1.9,3.5,4.0,1.95,3.5,3.9,1.95,3.45,3.95,2.01,3.56,4.1,1.95,3.4,4.0,1.95,3.4,4.1,2.04,3.66,4.25,1.97,3.53,4.04,2.0,1.8,2.14,1.78,2.14,1.85,2.07,1.79,-0.5,2.0,1.93,2.01,1.92,2.01,1.97,1.96,1.92,2.0,3.4,3.9,2.05,3.4,3.75,2.0,3.35,4.0,2.05,3.45,4.07,1.95,3.4,3.9,2.0,3.3,4.2,2.12,3.5,4.2,2.04,3.39,3.95,2.2,1.66,2.28,1.69,2.34,1.77,2.24,1.67,-0.5,2.05,1.88,2.05,1.88,2.08,1.9,2.03,1.86,7,15,1,-1,1.5,1.0,0.0,0.0,11.0,12.5,4.0,4.5,4.5,4.0,8.0,8.5,1.5,1.0,0.5,0.0,0.0,0.0,2.0,0.6666666666666666,0.6666666666666666,0.0,14.333333333333334,10.666666666666666,6.0,3.0,4.666666666666667,3.6666666666666665,8.0,8.666666666666666,1.3333333333333333,1.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.75,0.5,0.75,0.0,12.5,11.0,5.25,3.25,4.75,4.5,7.0,9.0,1.5,1.25,0.25,0.0,0.5,0.5
E0,14/08/2021,12:30,Man United,Leeds,5,1,H,1,0,H,P Tierney,16,10,8,3,11,9,5,4,1,2,0,0,1.53,4.5,5.75,1.53,4.5,5.75,1.55,4.4,5.75,1.56,4.57,5.96,1.52,4.33,5.8,1.55,4.4,6.0,1.59,4.65,6.35,1.55,4.48,5.87,1.61,2.3,1.67,2.32,1.71,2.38,1.65,2.29,-1.0,1.95,1.98,1.96,1.96,2.0,2.01,1.93,1.96,1.61,4.2,5.25,1.62,4.1,5.25,1.65,4.2,4.9,1.67,4.2,5.4,1.57,4.2,5.5,1.65,4.1,5.25,1.71,4.33,5.8,1.64,4.19,5.22,1.66,2.2,1.7,2.27,1.75,2.37,1.67,2.25,-1.0,2.05,1.75,2.17,1.77,2.19,1.93,2.1,1.79,12,8,1,1,2.0,1.5,1.5,0.5,11.0,11.5,7.0,3.5,2.5,4.5,10.0,10.0,3.0,0.5,0.0,0.0,0.5,1.0,2.6666666666666665,1.3333333333333333,1.3333333333333333,0.3333333333333333,14.333333333333334,11.666666666666666,7.0,3.3333333333333335,4.0,4.0,9.666666666666666,7.333333333333333,2.3333333333333335,0.3333333333333333,0.0,0.0,0.6666666666666666,1.0,2.0,1.5,1.0,0.75,12.0,12.75,5.5,3.75,3.25,5.25,9.5,8.5,2.0,0.75,0.0,0.0,0.25,0.5
E0,14/08/2021,15:00,Burnley,Brighton,1,2,A,1,0,H,D Coote,14,14,3,8,10,7,7,6,2,1,0,0,3.1,3.1,2.45,3.2,3.1,2.4,3.15,3.05,2.45,3.3,3.12,2.51,3.2,3.0,2.45,3.13,3.1,2.45,3.33,3.2,2.6,3.19,3.09,2.49,2.5,1.53,2.56,1.56,2.56,1.63,2.46,1.57,0.25,1.8,2.14,1.83,2.12,1.83,2.17,1.79,2.12,3.1,3.1,2.45,3.25,3.1,2.4,3.1,3.05,2.45,3.27,3.14,2.51,3.1,3.0,2.45,3.13,3.13,2.5,3.35,3.2,2.56,3.19,3.1,2.48,2.3,1.61,2.33,1.67,2.42,1.71,2.34,1.62,0.25,1.79,2.15,1.81,2.14,1.82,2.19,1.79,2.12,4,3,-1,1,0.0,0.5,0.0,0.5,8.5,14.0,3.0,3.5,5.5,6.0,10.0,8.5,1.0,1.0,0.0,0.0,-0.5,-0.5,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,8.666666666666666,16.666666666666668,3.0,4.0,4.333333333333333,7.333333333333333,10.333333333333334,9.0,1.3333333333333333,1.0,0.0,0.0,-0.3333333333333333,-0.6666666666666666,0.5,1.25,0.0,1.0,10.0,15.5,3.75,4.75,4.25,6.75,11.0,9.5,1.25,1.25,0.0,0.0,-0.5,-0.75
E0,15/01/2022,15:00,Wolves,Southampton,3,1,H,1,0,H,M Salisbury,9,13,5,10,13,14,2,10,2,3,0,0,2.25,3.2,3.4,2.25,3.2,3.3,2.3,3.15,3.35,2.35,3.18,3.4,2.3,3.0,3.4,2.25,3.1,3.4,2.4,3.3,3.72,2.32,3.16,3.4,2.5,1.53,2.43,1.6,2.5,1.64,2.4,1.59,-0.25,1.97,1.93,2.0,1.89,2.0,1.95,1.97,1.9,2.37,3.0,3.3,2.4,3.0,3.2,2.45,3.05,3.2,2.49,3.04,3.44,2.4,3.0,3.2,2.45,3.13,3.2,2.57,3.2,3.62,2.42,3.1,3.3,2.37,1.57,2.43,1.62,2.48,1.66,2.4,1.59,-0.25,2.08,1.82,2.09,1.85,2.25,1.96,2.05,1.84,19,15,1,1,2.5,2.5,1.5,1.5,8.5,12.5,4.0,2.5,5.5,2.0,6.5,10.0,1.0,1.5,0.0,0.0,0.0,0.0,1.6666666666666667,2.0,1.0,1.3333333333333333,10.666666666666666,12.333333333333334,4.0,2.3333333333333335,6.0,2.6666666666666665,8.333333333333334,11.0,1.3333333333333333,2.0,0.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,1.25,2.0,0.75,1.5,11.0,12.25,4.25,3.75,6.25,3.75,9.5,10.25,1.0,2.25,0.0,0.25,-0.5,-0.5
E0,15/01/2022,15:00,Norwich,Everton,2,1,H,2,0,H,A Madley,14,12,3,5,12,14,8,8,3,1,0,0,3.75,3.5,2.0,3.6,3.4,2.05,3.7,3.4,2.05,3.77,3.54,2.06,3.6,3.4,2.05,3.75,3.3,2.0,4.0,3.6,2.12,3.74,3.48,2.05,2.1,1.72,2.11,1.78,2.16,1.83,2.07,1.77,0.5,1.85,2.05,1.84,2.06,1.89,2.08,1.84,2.04,3.5,3.3,2.15,3.25,3.25,2.25,3.3,3.3,2.25,3.56,3.37,2.25,3.3,3.3,2.2,3.4,3.4,2.2,3.8,3.48,2.32,3.42,3.33,2.24,2.04,1.86,2.09,1.83,2.22,1.93,2.05,1.79,0.25,1.97,1.93,2.0,1.93,2.0,1.97,1.96,1.92,14,7,1,1,0.0,2.5,0.0,1.0,10.5,18.0,3.0,7.0,5.0,10.5,8.0,11.5,2.0,1.0,0.0,0.0,-1.0,-1.0,0.0,3.0,0.0,1.0,9.666666666666666,19.333333333333332,3.0,7.666666666666667,4.666666666666667,11.0,7.666666666666667,10.333333333333334,1.3333333333333333,1.3333333333333333,0.0,0.0,-1.0,-1.0,0.0,2.5,0.0,0.75,10.0,17.75,3.5,7.0,5.5,9.75,7.25,12.0,1.25,1.25,0.0,0.0,-1.0,-0.75
E0,15/02/2022,20:15,Man United,Brighton,2,0,H,0,0,D,P Bankes,19,10,7,3,8,10,10,2,3,1,0,1,1.72,3.75,4.75,1.72,3.7,4.8,1.8,3.65,4.6,1.81,3.78,4.87,1.72,3.7,4.75,1.73,3.8,5.0,1.85,3.9,5.0,1.78,3.78,4.74,1.92,1.98,1.96,1.94,1.96,2.01,1.89,1.94,-0.75,2.05,1.88,2.06,1.87,2.06,1.94,2.01,1.87,1.75,3.6,4.75,1.8,3.5,4.5,1.9,3.55,4.2,1.83,3.59,5.0,1.78,3.6,4.6,1.87,3.6,4.4,1.97,3.89,5.1,1.84,3.61,4.61,2.04,1.86,2.03,1.87,2.06,1.98,1.98,1.86,-0.5,1.75,2.05,1.81,2.1,1.93,2.19,1.84,2.04,12,3,1,0,4.0,1.5,1.5,0.5,13.0,10.0,7.0,3.0,4.5,4.5,9.5,8.0,1.5,1.5,0.0,0.0,1.0,1.0,3.0,1.3333333333333333,1.3333333333333333,0.3333333333333333,12.666666666666666,11.0,7.333333333333333,3.3333333333333335,3.3333333333333335,4.333333333333333,10.333333333333334,9.666666666666666,2.3333333333333335,1.0,0.0,0.0,0.6666666666666666,1.0,3.25,1.25,1.25,0.25,14.75,11.25,7.25,3.25,4.25,4.0,10.0,7.75,2.0,0.75,0.0,0.0,0.75,1.0
E0,15/05/2022,14:00,Leeds,Brighton,1,1,D,0,1,A,M Dean,19,16,5,6,16,8,8,1,3,2,0,0,2.62,3.5,2.62,2.6,3.4,2.6,2.5,3.5,2.75,2.75,3.56,2.62,2.7,3.4,2.55,2.63,3.4,2.55,2.8,3.7,2.75,2.67,3.52,2.61,1.84,2.06,1.89,2.0,1.91,2.07,1.84,1.99,0.0,1.98,1.92,2.0,1.91,2.02,1.95,1.96,1.91,2.62,3.4,2.62,2.6,3.4,2.65,2.55,3.4,2.8,2.73,3.45,2.73,2.6,3.4,2.6,2.63,3.4,2.7,2.78,3.63,2.88,2.67,3.45,2.68,1.96,1.94,1.94,1.97,2.0,2.06,1.88,1.95,0.0,1.94,1.96,1.96,1.96,1.98,2.1,1.93,1.95,8,3,0,-1,1.0,2.0,0.5,0.5,11.0,21.0,5.5,6.5,4.0,6.5,13.5,8.0,2.5,1.0,0.5,0.0,0.0,0.0,0.6666666666666666,2.3333333333333335,0.3333333333333333,0.6666666666666666,9.0,19.666666666666668,3.6666666666666665,5.666666666666667,3.0,6.0,12.333333333333334,10.0,2.0,0.6666666666666666,0.6666666666666666,0.0,-0.3333333333333333,-0.3333333333333333,0.5,2.5,0.25,0.75,7.75,18.5,3.0,6.5,3.0,5.75,13.5,10.25,2.75,1.25,0.5,0.0,-0.5,-0.5
E0,15/05/2022,16:30,Everton,Brentford,2,3,A,2,1,H,M Oliver,10,18,5,7,8,8,5,2,0,3,2,0,2.05,3.6,3.5,2.1,3.5,3.4,2.05,3.5,3.6,2.13,3.62,3.55,2.1,3.4,3.4,2.05,3.3,3.6,2.18,3.65,3.75,2.1,3.55,3.53,2.03,1.87,2.04,1.85,2.06,1.89,1.99,1.84,-0.25,1.81,2.09,1.84,2.08,1.88,2.12,1.82,2.07,1.85,3.5,4.2,1.9,3.6,4.0,1.9,3.6,4.1,1.93,3.64,4.32,1.91,3.5,4.0,1.87,3.6,4.4,1.99,3.84,4.72,1.91,3.61,4.21,1.88,2.02,1.9,2.01,1.92,2.07,1.87,1.97,-0.5,1.91,1.99,1.93,1.99,1.99,2.04,1.91,1.96,7,2,-1,1,3.0,1.0,0.0,0.5,14.0,8.5,6.0,4.5,5.0,7.0,8.0,10.5,1.5,0.5,0.0,0.0,1.0,-0.5,2.0,1.0,0.0,0.3333333333333333,12.0,10.333333333333334,4.666666666666667,4.0,5.0,5.333333333333333,9.666666666666666,10.666666666666666,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,-0.3333333333333333,2.25,0.75,0.5,0.25,14.25,9.5,6.0,3.0,5.0,4.75,9.25,10.25,1.5,0.75,0.25,0.0,0.5,0.0
