FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR_code,HTR_code,Date,HomeTeam,AwayTeam,League,HomeTeamCode,AwayTeamCode,H_R_FTHG_W_2,H_R_FTAG_W_2,H_R_HTHG_W_2,H_R_HTAG_W_2,H_R_HS_W_2,H_R_AS_W_2,H_R_HST_W_2,H_R_AST_W_2,H_R_HC_W_2,H_R_AC_W_2,H_R_HF_W_2,H_R_AF_W_2,H_R_HY_W_2,H_R_AY_W_2,H_R_HR_W_2,H_R_AR_W_2,H_R_FTR_code_W_2,H_R_HTR_code_W_2,H_R_FTHG_W_3,H_R_FTAG_W_3,H_R_HTHG_W_3,H_R_HTAG_W_3,H_R_HS_W_3,H_R_AS_W_3,H_R_HST_W_3,H_R_AST_W_3,H_R_HC_W_3,H_R_AC_W_3,H_R_HF_W_3,H_R_AF_W_3,H_R_HY_W_3,H_R_AY_W_3,H_R_HR_W_3,H_R_AR_W_3,H_R_FTR_code_W_3,H_R_HTR_code_W_3,H_R_FTHG_W_4,H_R_FTAG_W_4,H_R_HTHG_W_4,H_R_HTAG_W_4,H_R_HS_W_4,H_R_AS_W_4,H_R_HST_W_4,H_R_AST_W_4,H_R_HC_W_4,H_R_AC_W_4,H_R_HF_W_4,H_R_AF_W_4,H_R_HY_W_4,H_R_AY_W_4,H_R_HR_W_4,H_R_AR_W_4,H_R_FTR_code_W_4,H_R_HTR_code_W_4,A_R_FTHG_W_2,A_R_FTAG_W_2,A_R_HTHG_W_2,A_R_HTAG_W_2,A_R_HS_W_2,A_R_AS_W_2,A_R_HST_W_2,A_R_AST_W_2,A_R_HC_W_2,A_R_AC_W_2,A_R_HF_W_2,A_R_AF_W_2,A_R_HY_W_2,A_R_AY_W_2,A_R_HR_W_2,A_R_AR_W_2,A_R_FTR_code_W_2,A_R_HTR_code_W_2,A_R_FTHG_W_3,A_R_FTAG_W_3,A_R_HTHG_W_3,A_R_HTAG_W_3,A_R_HS_W_3,A_R_AS_W_3,A_R_HST_W_3,A_R_AST_W_3,A_R_HC_W_3,A_R_AC_W_3,A_R_HF_W_3,A_R_AF_W_3,A_R_HY_W_3,A_R_AY_W_3,A_R_HR_W_3,A_R_AR_W_3,A_R_FTR_code_W_3,A_R_HTR_code_W_3,A_R_FTHG_W_4,A_R_FTAG_W_4,A_R_HTHG_W_4,A_R_HTAG_W_4,A_R_HS_W_4,A_R_AS_W_4,A_R_HST_W_4,A_R_AST_W_4,A_R_HC_W_4,A_R_AC_W_4,A_R_HF_W_4,A_R_AF_W_4,A_R_HY_W_4,A_R_AY_W_4,A_R_HR_W_4,A_R_AR_W_4,A_R_FTR_code_W_4,A_R_HTR_code_W_4
1,0,1,0,10,12,3,5,3,3,16,11,4,2,0,0,1,1,2023-12-09,Aston Villa,Arsenal,premier_league,1,0,2.0,0.5,1.0,0.0,17.0,5.5,6.5,3.5,4.0,1.0,8.5,15.0,2.0,3.5,0.0,0.0,1.0,0.5,2.3333333333333335,0.6666666666666666,1.0,0.0,17.0,6.0,6.333333333333333,2.6666666666666665,4.666666666666667,2.0,9.333333333333334,13.333333333333334,2.3333333333333335,3.0,0.0,0.0,1.0,0.6666666666666666,2.75,0.75,1.0,0.0,16.5,8.0,6.5,3.0,5.5,3.25,9.25,13.75,1.75,2.5,0.0,0.0,1.0,0.75,1.5,2.5,0.5,1.0,7.5,19.0,3.5,6.5,2.0,8.0,11.5,7.0,1.5,1.0,0.0,0.0,-1.0,-0.5,1.3333333333333333,1.6666666666666667,0.3333333333333333,0.6666666666666666,8.0,17.333333333333332,3.0,4.666666666666667,1.3333333333333333,9.0,12.333333333333334,7.666666666666667,2.6666666666666665,1.0,0.0,0.0,-0.3333333333333333,-0.3333333333333333,1.5,1.75,0.5,0.5,8.75,16.25,3.5,4.25,1.5,8.5,11.0,9.25,2.75,1.5,0.0,0.0,-0.25,0.0
1,2,0,0,8,14,4,2,6,5,17,17,5,2,1,0,-1,0,2023-12-09,Crystal Palace,Liverpool,premier_league,7,10,1.0,2.5,0.5,1.0,14.5,9.5,3.5,4.0,6.0,5.5,9.5,17.5,1.0,3.5,0.0,0.0,-1.0,-0.5,1.0,2.3333333333333335,0.3333333333333333,0.6666666666666666,14.0,9.666666666666666,3.3333333333333335,3.0,7.666666666666667,4.333333333333333,12.666666666666666,15.333333333333334,1.3333333333333333,2.6666666666666665,0.0,0.0,-1.0,-0.3333333333333333,0.75,1.75,0.25,0.5,12.5,11.25,3.0,3.5,6.5,5.0,11.25,14.5,1.0,2.25,0.0,0.0,-0.75,-0.25,0.5,1.5,0.5,0.5,11.0,11.5,3.0,5.5,5.5,9.0,10.5,9.5,1.5,3.0,0.0,0.0,-0.5,0.0,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.3333333333333333,10.0,15.666666666666666,3.6666666666666665,5.666666666666667,5.0,8.333333333333334,9.333333333333334,10.666666666666666,1.3333333333333333,2.3333333333333335,0.0,0.0,-0.3333333333333333,0.0,1.0,1.5,0.5,0.75,11.0,15.25,3.5,5.25,5.75,6.5,10.0,13.0,1.25,2.25,0.0,0.0,-0.25,-0.25
1,1,0,1,29,6,11,3,9,1,5,8,0,4,0,0,0,-1,2023-12-09,Brighton,Burnley,premier_league,4,5,1.5,1.0,1.0,0.5,14.5,8.5,6.5,1.5,6.5,3.0,11.5,12.0,3.0,1.5,0.5,0.0,0.5,0.5,1.3333333333333333,1.0,1.0,0.3333333333333333,15.666666666666666,9.0,6.666666666666667,2.6666666666666665,6.666666666666667,3.0,11.666666666666666,10.666666666666666,2.0,2.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,1.5,1.25,1.0,0.75,15.25,10.25,5.75,3.0,7.0,2.5,11.75,13.0,1.75,2.0,0.25,0.0,0.25,0.25,2.0,0.5,1.0,0.0,11.5,10.0,5.0,4.0,4.5,5.5,9.5,12.0,1.0,2.5,0.5,0.0,1.0,1.0,2.0,0.6666666666666666,1.0,0.3333333333333333,12.0,8.666666666666666,5.333333333333333,3.6666666666666665,6.333333333333333,5.333333333333333,9.333333333333334,12.0,1.3333333333333333,2.6666666666666665,0.3333333333333333,0.0,1.0,0.6666666666666666,2.25,0.5,1.0,0.25,14.75,8.0,6.5,3.0,6.0,5.25,10.5,12.0,2.25,2.5,0.25,0.25,1.0,0.75
1,0,1,0,9,10,4,4,3,4,14,13,5,1,0,0,1,1,2023-12-09,Sheffield United,Brentford,premier_league,16,3,0.5,2.5,0.0,1.5,8.0,19.0,1.5,9.5,3.0,9.5,9.0,8.0,3.0,2.0,0.0,0.0,-1.0,-1.0,1.0,2.0,0.0,1.0,9.0,16.0,1.6666666666666667,7.333333333333333,3.3333333333333335,7.666666666666667,10.333333333333334,8.666666666666666,2.6666666666666665,2.3333333333333335,0.0,0.0,-0.3333333333333333,-0.6666666666666666,1.0,2.0,0.25,1.0,9.75,15.5,2.75,6.75,3.75,6.75,10.75,9.0,2.75,2.0,0.0,0.0,-0.5,-0.5,2.5,0.5,1.0,0.5,17.5,12.0,8.5,2.5,6.5,5.5,13.0,10.0,2.0,1.5,0.0,0.0,1.0,0.5,1.6666666666666667,1.0,0.6666666666666666,0.3333333333333333,17.333333333333332,10.333333333333334,6.333333333333333,3.3333333333333335,7.666666666666667,4.0,12.666666666666666,9.0,1.6666666666666667,2.3333333333333335,0.0,0.0,0.3333333333333333,0.3333333333333333,1.75,1.0,0.5,0.5,18.25,10.5,6.75,3.25,7.5,4.25,12.0,11.0,1.25,3.0,0.0,0.0,0.5,0.0
0,3,0,1,20,10,3,4,10,4,7,10,3,1,0,0,-1,-1,2023-12-09,Man United,Bournemouth,premier_league,13,2,1.5,0.5,0.5,0.5,21.5,11.5,6.5,3.5,11.5,3.5,10.5,11.5,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.3333333333333333,0.3333333333333333,0.6666666666666666,16.666666666666668,14.666666666666666,5.333333333333333,5.666666666666667,10.0,6.333333333333333,10.0,9.0,2.6666666666666665,1.0,0.0,0.0,0.3333333333333333,-0.3333333333333333,1.25,1.25,0.25,0.75,17.75,13.75,6.0,5.0,9.25,6.0,10.0,11.0,2.0,2.0,0.0,0.0,0.5,-0.5,0.5,2.5,0.0,1.5,13.0,17.0,2.5,7.5,3.5,8.0,8.0,12.5,2.5,2.0,0.0,0.0,-1.0,-1.0,2.3333333333333335,2.0,1.0,1.0,15.666666666666666,13.0,4.333333333333333,5.333333333333333,6.333333333333333,5.666666666666667,8.0,11.333333333333334,1.6666666666666667,1.6666666666666667,0.0,0.0,-0.3333333333333333,-0.3333333333333333,2.5,1.5,1.25,0.75,18.0,12.5,5.25,5.0,6.75,6.0,9.5,12.25,1.5,1.75,0.0,0.0,0.0,0.0
2,0,0,0,9,16,5,4,4,8,12,12,2,2,0,0,1,0,2023-12-10,Everton,Chelsea,premier_league,8,6,1.5,1.5,0.0,0.5,22.5,11.0,6.0,3.5,5.5,3.5,14.0,8.0,3.0,0.0,0.0,0.0,0.0,-0.5,1.3333333333333333,1.3333333333333333,0.3333333333333333,0.3333333333333333,18.333333333333332,9.666666666666666,5.333333333333333,3.0,4.666666666666667,3.3333333333333335,14.333333333333334,7.0,3.3333333333333335,0.6666666666666666,0.0,0.0,0.0,0.0,1.75,1.0,0.75,0.25,20.0,10.0,6.0,3.25,5.5,4.25,14.25,9.0,2.75,1.0,0.0,0.0,0.25,0.25,3.0,1.0,1.0,1.0,21.0,10.0,7.0,3.5,8.0,3.0,12.5,15.5,4.0,2.0,0.0,0.5,1.0,0.0,2.3333333333333335,2.0,1.0,1.0,16.666666666666668,12.333333333333334,6.333333333333333,5.0,5.666666666666667,4.0,12.333333333333334,17.333333333333332,3.0,3.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,2.0,2.5,1.0,1.0,15.0,11.5,5.5,5.0,6.0,3.75,12.0,15.0,2.75,3.25,0.5,0.25,0.0,0.0
1,2,1,0,4,18,2,6,6,3,16,6,2,1,0,0,-1,1,2023-12-10,Luton,Man City,premier_league,11,12,2.5,2.5,0.5,1.0,7.0,19.5,3.5,8.5,3.5,6.5,14.5,9.5,4.0,1.0,0.0,0.0,0.0,-0.5,2.0,2.0,0.3333333333333333,0.6666666666666666,7.333333333333333,21.0,4.0,7.666666666666667,3.6666666666666665,6.666666666666667,12.0,10.666666666666666,3.0,1.0,0.0,0.0,0.0,-0.3333333333333333,1.5,1.75,0.25,0.5,8.5,19.5,3.5,6.75,4.0,6.5,13.0,9.75,2.75,1.0,0.0,0.25,-0.25,-0.25,2.5,2.0,1.0,1.0,19.5,8.5,8.0,6.0,4.5,1.5,12.5,14.0,3.5,2.5,0.0,0.0,0.5,0.0,1.6666666666666667,2.3333333333333335,0.6666666666666666,1.0,15.333333333333334,12.666666666666666,6.333333333333333,7.333333333333333,5.333333333333333,5.0,11.333333333333334,10.666666666666666,3.6666666666666665,2.0,0.0,0.0,0.0,-0.3333333333333333,1.5,1.75,0.5,0.75,14.5,10.5,5.25,5.75,5.25,4.75,10.5,9.75,3.25,2.25,0.0,0.0,0.25,-0.25
2,2,1,0,19,5,9,2,6,1,12,9,1,1,0,0,0,1,2023-12-16,Man City,Crystal Palace,premier_league,12,7,2.0,2.0,1.5,0.5,17.0,8.0,4.5,3.5,9.5,7.0,11.5,12.5,2.5,3.5,0.0,0.0,0.0,1.0,3.3333333333333335,1.6666666666666667,2.0,0.3333333333333333,18.333333333333332,7.0,5.666666666666667,2.6666666666666665,10.333333333333334,5.0,10.333333333333334,11.333333333333334,1.6666666666666667,2.6666666666666665,0.0,0.0,0.3333333333333333,1.0,3.0,1.5,2.0,0.25,16.25,6.5,5.75,2.75,8.25,4.25,10.0,11.25,1.75,2.5,0.25,0.0,0.5,1.0,1.5,1.0,0.5,0.0,8.5,12.5,3.0,5.0,3.0,4.0,16.0,9.5,4.0,0.5,0.0,0.0,0.5,0.5,1.0,1.3333333333333333,0.3333333333333333,0.3333333333333333,11.333333333333334,9.666666666666666,3.6666666666666665,4.333333333333333,6.0,3.0,13.666666666666666,10.333333333333334,2.6666666666666665,2.0,0.0,0.0,0.0,0.0,1.75,1.0,1.0,0.25,11.0,11.5,4.5,4.0,6.0,4.25,12.0,10.75,2.5,2.25,0.0,0.0,0.25,0.25
0,0,0,0,34,6,8,1,12,0,13,8,2,4,0,1,0,0,2023-12-17,Liverpool,Man United,premier_league,10,13,3.5,1.5,1.5,1.0,21.5,12.5,11.0,4.0,4.5,6.0,11.0,9.5,0.5,1.0,0.0,0.0,1.0,0.5,3.3333333333333335,1.0,1.6666666666666667,0.6666666666666666,21.333333333333332,11.333333333333334,10.0,3.0,5.666666666666667,5.0,10.333333333333334,10.666666666666666,1.0,1.6666666666666667,0.0,0.0,1.0,0.6666666666666666,3.0,0.75,1.25,0.5,22.5,10.0,9.0,2.5,7.25,4.75,10.0,10.25,1.0,1.5,0.0,0.25,1.0,0.5,0.5,1.5,0.0,0.5,23.0,8.5,5.0,2.5,6.5,4.0,8.0,10.5,2.0,1.0,0.0,0.0,0.0,-0.5,0.3333333333333333,1.3333333333333333,0.0,0.3333333333333333,21.333333333333332,9.666666666666666,4.333333333333333,3.3333333333333335,7.333333333333333,4.0,8.333333333333334,12.0,3.0,1.3333333333333333,0.0,0.0,-0.3333333333333333,-0.3333333333333333,0.5,1.5,0.25,0.5,19.0,10.75,4.75,3.75,6.75,4.0,9.25,11.5,3.0,1.25,0.0,0.0,-0.5,-0.25
3,0,2,0,13,14,4,3,6,6,12,15,3,1,0,0,1,1,2023-12-17,West Ham,Wolves,premier_league,18,19,2.0,1.5,1.0,0.5,12.5,9.5,4.5,3.5,5.5,3.5,13.0,9.5,2.0,1.0,0.0,0.0,0.5,0.5,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.3333333333333333,12.333333333333334,9.666666666666666,3.6666666666666665,3.6666666666666665,5.0,3.3333333333333335,11.0,10.0,2.6666666666666665,1.0,0.0,0.0,0.0,0.3333333333333333,1.5,1.5,0.75,0.25,10.5,9.75,3.5,3.5,4.75,3.0,11.0,12.0,2.75,1.5,0.0,0.0,0.0,0.5,2.5,1.5,1.5,0.5,15.5,8.0,6.0,4.5,5.0,1.0,11.5,11.5,1.5,2.0,0.0,0.0,1.0,0.5,2.3333333333333335,1.3333333333333333,1.0,0.3333333333333333,14.0,8.666666666666666,4.666666666666667,4.0,4.666666666666667,2.0,12.0,11.0,1.6666666666666667,2.3333333333333335,0.0,0.0,1.0,0.3333333333333333,2.0,1.5,1.0,0.25,12.25,11.5,4.5,4.75,4.25,4.5,12.75,10.75,1.75,3.25,0.25,0.0,0.5,0.5
