FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR_code,HTR_code,Date,HomeTeam,AwayTeam,League,HomeTeamCode,AwayTeamCode,H_R_FTHG_W_2,H_R_FTAG_W_2,H_R_HTHG_W_2,H_R_HTAG_W_2,H_R_HS_W_2,H_R_AS_W_2,H_R_HST_W_2,H_R_AST_W_2,H_R_HC_W_2,H_R_AC_W_2,H_R_HF_W_2,H_R_AF_W_2,H_R_HY_W_2,H_R_AY_W_2,H_R_HR_W_2,H_R_AR_W_2,H_R_FTR_code_W_2,H_R_HTR_code_W_2,H_R_FTHG_W_3,H_R_FTAG_W_3,H_R_HTHG_W_3,H_R_HTAG_W_3,H_R_HS_W_3,H_R_AS_W_3,H_R_HST_W_3,H_R_AST_W_3,H_R_HC_W_3,H_R_AC_W_3,H_R_HF_W_3,H_R_AF_W_3,H_R_HY_W_3,H_R_AY_W_3,H_R_HR_W_3,H_R_AR_W_3,H_R_FTR_code_W_3,H_R_HTR_code_W_3,H_R_FTHG_W_4,H_R_FTAG_W_4,H_R_HTHG_W_4,H_R_HTAG_W_4,H_R_HS_W_4,H_R_AS_W_4,H_R_HST_W_4,H_R_AST_W_4,H_R_HC_W_4,H_R_AC_W_4,H_R_HF_W_4,H_R_AF_W_4,H_R_HY_W_4,H_R_AY_W_4,H_R_HR_W_4,H_R_AR_W_4,H_R_FTR_code_W_4,H_R_HTR_code_W_4,A_R_FTHG_W_2,A_R_FTAG_W_2,A_R_HTHG_W_2,A_R_HTAG_W_2,A_R_HS_W_2,A_R_AS_W_2,A_R_HST_W_2,A_R_AST_W_2,A_R_HC_W_2,A_R_AC_W_2,A_R_HF_W_2,A_R_AF_W_2,A_R_HY_W_2,A_R_AY_W_2,A_R_HR_W_2,A_R_AR_W_2,A_R_FTR_code_W_2,A_R_HTR_code_W_2,A_R_FTHG_W_3,A_R_FTAG_W_3,A_R_HTHG_W_3,A_R_HTAG_W_3,A_R_HS_W_3,A_R_AS_W_3,A_R_HST_W_3,A_R_AST_W_3,A_R_HC_W_3,A_R_AC_W_3,A_R_HF_W_3,A_R_AF_W_3,A_R_HY_W_3,A_R_AY_W_3,A_R_HR_W_3,A_R_AR_W_3,A_R_FTR_code_W_3,A_R_HTR_code_W_3,A_R_FTHG_W_4,A_R_FTAG_W_4,A_R_HTHG_W_4,A_R_HTAG_W_4,A_R_HS_W_4,A_R_AS_W_4,A_R_HST_W_4,A_R_AST_W_4,A_R_HC_W_4,A_R_AC_W_4,A_R_HF_W_4,A_R_AF_W_4,A_R_HY_W_4,A_R_AY_W_4,A_R_HR_W_4,A_R_AR_W_4,A_R_FTR_code_W_4,A_R_HTR_code_W_4
2,1,1,1,14,9,4,3,8,3,10,10,1,1,1,0,1,0,2016-12-13,Everton,Arsenal,premier_league,9,0,1.0,1.0,0.0,1.0,13.5,7.5,6.0,2.5,8.0,3.0,13.0,11.5,3.0,2.5,0.0,0.0,0.0,-1.0,1.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,14.666666666666666,9.333333333333334,6.0,2.6666666666666665,8.0,4.666666666666667,13.666666666666666,11.666666666666666,2.6666666666666665,2.6666666666666665,0.0,0.0,0.3333333333333333,-0.6666666666666666,1.25,0.75,0.25,0.5,14.25,9.5,5.25,2.5,8.5,5.75,14.25,11.5,3.25,3.0,0.0,0.0,0.25,-0.25,1.0,3.0,0.0,0.5,11.0,12.0,4.0,5.5,6.5,3.0,12.0,11.0,3.0,3.0,0.0,0.0,-0.5,-0.5,1.0,3.3333333333333335,0.0,0.6666666666666666,8.333333333333334,15.0,3.0,6.0,4.333333333333333,4.666666666666667,11.0,11.666666666666666,3.3333333333333335,3.0,0.0,0.0,-0.6666666666666666,-0.6666666666666666,0.75,2.75,0.0,0.5,8.75,15.75,2.5,5.25,3.75,5.0,8.75,9.5,2.5,2.25,0.0,0.0,-0.75,-0.5
0,1,0,1,6,13,2,6,5,3,12,15,2,3,0,0,-1,-1,2016-12-17,Crystal Palace,Chelsea,premier_league,8,7,2.0,1.0,1.0,0.5,7.5,16.5,3.5,4.5,2.5,8.5,13.5,11.5,2.5,1.5,0.0,0.0,0.0,0.0,1.6666666666666667,1.3333333333333333,0.6666666666666666,0.6666666666666666,8.0,14.333333333333334,3.0,4.333333333333333,2.3333333333333335,8.0,13.0,12.666666666666666,2.0,1.6666666666666667,0.0,0.0,-0.3333333333333333,-0.3333333333333333,1.75,2.0,1.0,1.25,7.75,15.0,3.75,5.75,2.5,6.75,13.5,10.75,1.75,1.75,0.0,0.0,-0.5,-0.5,0.5,2.0,0.5,0.5,11.0,14.5,4.0,5.0,7.0,3.5,14.5,9.5,2.5,2.5,1.0,0.0,-1.0,0.0,0.3333333333333333,1.6666666666666667,0.3333333333333333,0.6666666666666666,11.333333333333334,14.0,3.0,4.333333333333333,5.333333333333333,3.3333333333333335,14.0,9.666666666666666,2.3333333333333335,2.6666666666666665,0.6666666666666666,0.0,-1.0,-0.3333333333333333,0.25,1.75,0.25,0.75,10.75,13.75,2.5,5.0,5.75,3.25,13.75,11.25,1.75,2.0,0.5,0.0,-1.0,-0.5
1,0,0,0,18,16,6,5,10,6,13,9,2,4,0,0,1,0,2016-12-17,West Ham,Hull,premier_league,31,12,1.0,2.5,0.5,0.5,15.0,13.5,5.0,6.0,4.5,1.5,11.0,13.0,1.5,2.5,0.0,0.0,0.0,0.0,1.0,2.0,0.3333333333333333,0.3333333333333333,13.0,13.0,4.0,5.333333333333333,5.0,2.3333333333333335,11.0,12.0,2.3333333333333335,2.0,0.0,0.0,0.0,0.0,1.0,1.5,0.25,0.25,14.75,12.25,3.75,4.5,5.25,2.25,10.75,12.25,2.25,2.75,0.0,0.0,0.25,0.0,2.0,0.0,0.5,0.0,21.5,8.0,6.5,3.5,9.0,6.0,6.0,12.5,0.5,1.5,0.0,0.0,1.0,0.5,2.3333333333333335,0.0,0.6666666666666666,0.0,18.0,11.0,5.666666666666667,4.666666666666667,6.666666666666667,6.666666666666667,7.0,11.0,0.6666666666666666,1.0,0.3333333333333333,0.0,1.0,0.6666666666666666,2.0,0.0,0.5,0.0,19.0,10.25,4.25,4.0,6.75,5.5,8.5,10.25,0.75,1.25,0.25,0.0,1.0,0.5
2,2,2,0,16,14,7,8,9,9,9,12,2,6,0,1,0,1,2016-12-17,Stoke,Leicester,premier_league,25,14,1.0,0.0,1.0,0.0,7.5,14.5,3.5,4.0,3.5,10.0,8.0,11.5,2.0,2.0,0.5,0.0,0.5,0.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,9.666666666666666,12.666666666666666,4.333333333333333,3.3333333333333335,3.3333333333333335,8.0,11.0,11.0,2.3333333333333335,2.0,0.3333333333333333,0.0,0.0,0.0,1.25,0.5,0.75,0.5,11.5,13.0,4.25,4.0,4.0,7.0,10.0,11.75,2.25,1.5,0.25,0.0,0.25,0.0,1.5,0.5,0.5,0.0,15.5,14.5,4.5,4.5,3.5,7.5,6.5,13.5,1.5,2.0,0.0,0.0,1.0,0.5,1.6666666666666667,0.6666666666666666,1.0,0.3333333333333333,13.666666666666666,13.0,4.0,3.6666666666666665,3.6666666666666665,7.0,8.333333333333334,15.0,1.6666666666666667,2.3333333333333335,0.0,0.0,1.0,0.6666666666666666,1.5,0.75,1.0,0.25,15.75,11.25,4.25,3.0,4.75,5.5,9.0,16.25,2.0,2.75,0.0,0.0,0.75,0.75
0,2,0,1,10,10,1,5,2,3,9,13,3,3,0,0,-1,-1,2016-12-17,West Brom,Man United,premier_league,30,18,3.0,1.0,1.0,0.0,12.0,12.5,3.5,4.5,1.5,7.5,10.0,8.0,1.0,0.5,0.0,0.5,1.0,0.5,3.3333333333333335,0.6666666666666666,1.6666666666666667,0.0,13.333333333333334,10.0,4.333333333333333,3.6666666666666665,2.3333333333333335,6.0,10.666666666666666,9.333333333333334,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,1.0,0.6666666666666666,2.5,1.5,1.25,0.5,12.25,12.75,3.5,4.75,2.0,6.25,12.25,9.5,1.5,1.0,0.0,0.25,0.5,0.25,1.0,1.5,0.0,1.0,9.5,13.0,4.5,4.0,3.5,5.5,14.5,10.5,2.0,2.5,0.0,0.0,-0.5,-1.0,1.0,2.0,0.0,1.6666666666666667,8.333333333333334,11.666666666666666,3.3333333333333335,3.6666666666666665,3.0,3.6666666666666665,12.666666666666666,12.333333333333334,1.3333333333333333,2.3333333333333335,0.0,0.0,-0.6666666666666666,-1.0,1.75,1.5,0.5,1.25,9.75,12.75,4.0,4.0,3.5,4.5,11.25,13.5,1.75,2.25,0.0,0.0,-0.25,-0.5
3,0,2,0,10,14,4,2,3,8,10,11,1,0,0,0,1,1,2016-12-17,Middlesbrough,Swansea,premier_league,19,27,0.5,1.5,0.0,0.5,12.0,10.5,3.5,3.0,9.0,4.5,8.5,12.5,1.0,0.5,0.0,0.0,0.0,-0.5,0.3333333333333333,1.3333333333333333,0.0,0.6666666666666666,12.0,11.333333333333334,2.6666666666666665,3.0,6.666666666666667,4.0,10.0,11.666666666666666,1.3333333333333333,1.3333333333333333,0.0,0.0,-0.3333333333333333,-0.6666666666666666,0.75,1.0,0.25,0.5,11.5,12.25,2.75,3.0,6.0,4.75,8.25,10.0,1.25,1.25,0.0,0.0,0.0,-0.25,4.0,0.5,1.0,0.0,20.5,4.5,9.5,2.0,2.5,5.5,9.5,12.5,0.0,2.0,0.0,0.0,1.0,0.5,3.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,18.333333333333332,4.666666666666667,8.333333333333334,2.3333333333333335,5.0,4.666666666666667,10.666666666666666,12.333333333333334,1.3333333333333333,2.0,0.0,0.0,0.6666666666666666,0.0,3.0,0.75,0.75,0.5,18.0,7.0,7.25,3.25,5.25,4.5,9.75,12.75,1.5,1.5,0.0,0.0,0.75,0.0
1,0,0,0,12,9,4,4,4,11,10,9,1,2,0,0,1,0,2016-12-17,Sunderland,Watford,premier_league,26,29,1.0,1.0,0.0,0.5,15.0,18.0,4.5,5.5,4.0,4.5,11.5,11.0,3.0,1.5,0.0,0.0,0.0,-0.5,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.3333333333333333,13.666666666666666,17.666666666666668,4.333333333333333,6.0,3.3333333333333335,5.666666666666667,10.666666666666666,10.0,2.3333333333333335,1.0,0.3333333333333333,0.0,0.3333333333333333,0.0,1.5,1.5,0.25,0.5,11.0,18.5,3.5,6.25,2.5,6.25,10.25,10.75,2.75,1.5,0.25,0.0,0.0,-0.25,2.5,0.5,1.5,0.0,12.0,11.0,5.0,3.5,4.0,3.0,14.0,14.0,1.5,1.5,0.0,0.5,1.0,1.0,3.6666666666666665,0.6666666666666666,2.0,0.0,17.333333333333332,11.0,9.0,5.0,4.666666666666667,3.0,14.0,12.666666666666666,1.3333333333333333,1.6666666666666667,0.0,0.3333333333333333,1.0,1.0,2.75,0.5,1.5,0.0,15.75,10.75,8.0,4.25,5.25,2.75,14.25,13.5,1.5,1.5,0.0,0.25,0.75,0.75
1,3,1,1,10,14,5,8,7,4,6,12,0,2,0,0,-1,0,2016-12-18,Bournemouth,Southampton,premier_league,2,24,2.5,1.5,0.5,1.0,10.5,11.0,5.5,3.5,4.0,10.0,7.0,16.0,1.0,2.5,0.0,0.0,1.0,0.0,2.0,1.6666666666666667,0.6666666666666666,1.0,14.333333333333334,10.333333333333334,6.0,3.6666666666666665,6.666666666666667,7.333333333333333,9.333333333333334,16.333333333333332,1.6666666666666667,2.3333333333333335,0.0,0.3333333333333333,0.3333333333333333,0.0,1.5,1.25,0.5,0.75,12.75,11.75,4.75,3.75,6.75,6.5,9.5,16.0,1.75,2.75,0.0,0.25,0.25,0.0,1.5,0.0,1.0,0.0,7.0,16.0,3.5,3.5,3.5,10.0,10.0,11.5,2.0,1.5,0.5,0.0,0.5,0.5,1.6666666666666667,0.3333333333333333,0.6666666666666666,0.3333333333333333,6.666666666666667,17.0,3.0,4.666666666666667,2.6666666666666665,10.0,11.0,12.666666666666666,1.3333333333333333,2.6666666666666665,0.3333333333333333,0.0,0.6666666666666666,0.0,1.5,0.5,0.5,0.5,8.5,14.25,3.0,4.0,4.5,8.25,11.0,12.0,1.75,2.75,0.25,0.0,0.5,-0.25
2,1,1,1,30,5,9,2,11,2,10,11,1,2,0,0,1,0,2016-12-18,Tottenham,Burnley,premier_league,28,5,4.0,0.0,1.5,0.0,27.5,5.5,12.0,2.5,5.0,2.5,8.5,15.5,0.0,3.0,0.0,0.0,1.0,1.0,3.6666666666666665,0.6666666666666666,1.0,0.3333333333333333,23.0,7.333333333333333,10.0,2.6666666666666665,4.666666666666667,3.3333333333333335,10.0,15.666666666666666,1.0,2.6666666666666665,0.0,0.3333333333333333,1.0,0.3333333333333333,3.0,0.75,1.0,0.25,22.75,7.0,8.75,2.25,5.5,2.75,10.25,16.75,1.5,3.0,0.0,0.25,0.75,0.5,1.5,0.0,1.5,0.0,15.0,11.0,5.5,3.0,5.0,5.0,9.5,14.0,1.5,2.0,0.0,0.0,1.0,1.0,2.3333333333333335,0.0,2.0,0.0,15.333333333333334,9.0,5.666666666666667,2.6666666666666665,4.666666666666667,4.333333333333333,10.333333333333334,13.333333333333334,1.0,1.3333333333333333,0.0,0.0,1.0,1.0,1.75,0.0,1.5,0.0,20.75,8.5,7.0,2.25,8.25,3.5,10.75,12.25,1.0,1.75,0.25,0.0,0.75,0.75
2,1,0,1,14,6,5,1,8,1,9,13,4,2,0,0,1,-1,2016-12-18,Man City,Arsenal,premier_league,17,0,1.5,1.5,1.0,0.0,13.5,7.5,6.0,3.0,7.0,2.0,15.0,14.5,1.5,2.5,1.0,0.0,0.0,1.0,1.3333333333333333,1.3333333333333333,1.0,0.0,17.333333333333332,6.666666666666667,6.333333333333333,3.0,7.333333333333333,2.0,12.333333333333334,14.666666666666666,1.3333333333333333,2.6666666666666665,0.6666666666666666,0.0,0.0,1.0,1.25,1.25,0.75,0.25,16.5,6.5,5.5,2.75,8.0,2.25,12.0,13.5,1.75,2.75,0.5,0.0,0.0,0.5,1.5,3.0,0.5,1.0,12.0,14.0,3.5,6.5,5.5,2.5,10.0,10.5,2.0,2.0,0.5,0.0,0.0,-0.5,1.3333333333333333,2.3333333333333335,0.3333333333333333,0.6666666666666666,12.0,11.0,4.0,4.666666666666667,7.0,3.0,11.333333333333334,10.666666666666666,2.3333333333333335,2.3333333333333335,0.3333333333333333,0.0,0.0,-0.3333333333333333,1.25,2.75,0.25,0.75,9.75,13.5,3.25,5.25,5.25,4.25,10.75,11.25,2.75,2.5,0.25,0.0,-0.25,-0.5
