Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA,League,HomeTeamCode,AwayTeamCode,FTR_code,HTR_code,H_R_FTHG_W_2,H_R_FTAG_W_2,H_R_HTHG_W_2,H_R_HTAG_W_2,H_R_HS_W_2,H_R_AS_W_2,H_R_HST_W_2,H_R_AST_W_2,H_R_HC_W_2,H_R_AC_W_2,H_R_HF_W_2,H_R_AF_W_2,H_R_HY_W_2,H_R_AY_W_2,H_R_HR_W_2,H_R_AR_W_2,H_R_FTR_code_W_2,H_R_HTR_code_W_2,H_R_FTHG_W_3,H_R_FTAG_W_3,H_R_HTHG_W_3,H_R_HTAG_W_3,H_R_HS_W_3,H_R_AS_W_3,H_R_HST_W_3,H_R_AST_W_3,H_R_HC_W_3,H_R_AC_W_3,H_R_HF_W_3,H_R_AF_W_3,H_R_HY_W_3,H_R_AY_W_3,H_R_HR_W_3,H_R_AR_W_3,H_R_FTR_code_W_3,H_R_HTR_code_W_3,H_R_FTHG_W_4,H_R_FTAG_W_4,H_R_HTHG_W_4,H_R_HTAG_W_4,H_R_HS_W_4,H_R_AS_W_4,H_R_HST_W_4,H_R_AST_W_4,H_R_HC_W_4,H_R_AC_W_4,H_R_HF_W_4,H_R_AF_W_4,H_R_HY_W_4,H_R_AY_W_4,H_R_HR_W_4,H_R_AR_W_4,H_R_FTR_code_W_4,H_R_HTR_code_W_4,A_R_FTHG_W_2,A_R_FTAG_W_2,A_R_HTHG_W_2,A_R_HTAG_W_2,A_R_HS_W_2,A_R_AS_W_2,A_R_HST_W_2,A_R_AST_W_2,A_R_HC_W_2,A_R_AC_W_2,A_R_HF_W_2,A_R_AF_W_2,A_R_HY_W_2,A_R_AY_W_2,A_R_HR_W_2,A_R_AR_W_2,A_R_FTR_code_W_2,A_R_HTR_code_W_2,A_R_FTHG_W_3,A_R_FTAG_W_3,A_R_HTHG_W_3,A_R_HTAG_W_3,A_R_HS_W_3,A_R_AS_W_3,A_R_HST_W_3,A_R_AST_W_3,A_R_HC_W_3,A_R_AC_W_3,A_R_HF_W_3,A_R_AF_W_3,A_R_HY_W_3,A_R_AY_W_3,A_R_HR_W_3,A_R_AR_W_3,A_R_FTR_code_W_3,A_R_HTR_code_W_3,A_R_FTHG_W_4,A_R_FTAG_W_4,A_R_HTHG_W_4,A_R_HTAG_W_4,A_R_HS_W_4,A_R_AS_W_4,A_R_HST_W_4,A_R_AST_W_4,A_R_HC_W_4,A_R_AC_W_4,A_R_HF_W_4,A_R_AF_W_4,A_R_HY_W_4,A_R_AY_W_4,A_R_HR_W_4,A_R_AR_W_4,A_R_FTR_code_W_4,A_R_HTR_code_W_4
I1,2016-12-10,Crotone,Pescara,2,1,H,1.0,0.0,H,8,6,4,3,18,20,1,4,1,3,1,1,2.63,3.25,2.8,2.55,3.3,2.8,2.3,3.3,2.9,2.5,3.2,2.8,2.69,3.33,2.87,2.62,3.3,2.8,2.6,3.3,2.88,50,2.69,2.56,3.44,3.26,3.0,2.83,48,2.0,1.92,1.93,1.87,25,-0.25,2.28,2.18,1.78,1.72,3.01,3.26,2.62,serie_a,4,14,1,1.0,0.5,1.5,0.5,0.0,12.0,15.5,4.0,5.0,4.0,5.5,14.0,10.5,2.0,0.5,0.0,0.0,-0.5,0.5,1.0,1.0,0.6666666666666666,0.0,11.0,15.666666666666666,5.0,4.333333333333333,4.0,5.333333333333333,15.666666666666666,14.0,1.6666666666666667,1.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.25,0.5,0.5,11.25,15.0,4.75,5.25,4.75,5.75,16.75,12.5,1.75,0.75,0.0,0.25,-0.25,0.25,3.0,1.0,1.5,0.0,14.0,11.5,6.0,5.0,6.5,4.0,15.5,18.0,1.5,2.5,0.0,0.0,1.0,1.0,2.3333333333333335,0.6666666666666666,1.0,0.0,15.333333333333334,12.333333333333334,7.0,5.333333333333333,6.0,4.333333333333333,14.0,16.666666666666668,1.3333333333333333,2.3333333333333335,0.0,0.0,1.0,0.6666666666666666,2.5,0.75,1.0,0.0,13.75,13.25,6.25,4.75,6.0,4.0,13.5,14.75,1.5,2.0,0.0,0.0,1.0,0.75
I1,2016-12-12,Fiorentina,Sassuolo,2,1,H,2.0,0.0,H,14,16,6,5,23,12,5,5,3,1,0,0,1.62,4.0,5.5,1.6,3.9,6.0,1.6,3.7,5.4,1.6,3.8,5.75,1.62,4.15,6.22,1.67,3.75,6.0,1.57,4.1,6.25,49,1.68,1.61,4.35,3.98,6.25,5.66,46,1.77,1.71,2.19,2.12,27,-1.0,2.17,2.03,1.88,1.83,1.63,4.26,5.83,serie_a,6,17,1,1.0,1.5,1.0,1.0,0.0,19.5,12.0,6.0,4.0,9.0,4.0,17.0,18.0,2.5,2.0,0.0,0.0,0.5,1.0,1.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,21.666666666666668,9.333333333333334,7.666666666666667,3.3333333333333335,10.666666666666666,3.0,16.333333333333332,17.333333333333332,2.0,2.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.75,0.5,0.25,20.5,10.25,7.25,3.25,9.75,3.75,15.75,17.25,2.25,2.25,0.0,0.0,0.25,0.25,2.0,1.5,0.5,0.0,21.0,7.5,7.0,3.0,9.0,2.0,15.5,14.5,3.5,3.5,0.0,0.0,0.5,0.5,2.0,1.3333333333333333,0.3333333333333333,0.0,18.666666666666668,9.666666666666666,6.666666666666667,3.6666666666666665,9.333333333333334,2.6666666666666665,16.0,13.333333333333334,3.0,2.6666666666666665,0.0,0.0,0.6666666666666666,0.3333333333333333,1.75,1.25,0.5,0.0,17.5,9.25,6.0,3.5,8.75,4.75,14.75,13.25,2.25,2.25,0.0,0.0,0.5,0.5
I1,2016-12-15,Genoa,Fiorentina,1,0,H,1.0,0.0,H,9,9,4,3,24,14,4,3,3,2,0,0,2.6,3.2,2.8,2.65,3.2,2.8,2.6,3.2,2.6,2.6,3.1,2.88,2.69,3.23,2.95,2.4,3.2,3.0,2.63,3.1,3.0,56,2.69,2.58,3.36,3.17,3.0,2.86,45,2.3,2.17,1.75,1.67,31,0.0,1.88,1.83,2.08,2.01,2.71,3.25,2.91,serie_a,7,6,1,1.0,2.0,1.0,2.0,0.5,14.0,11.0,5.0,2.5,3.0,3.5,20.5,10.0,2.5,1.5,0.0,0.0,0.5,0.5,2.3333333333333335,0.6666666666666666,1.6666666666666667,0.3333333333333333,12.0,11.666666666666666,4.333333333333333,2.6666666666666665,3.6666666666666665,3.6666666666666665,18.666666666666668,9.666666666666666,2.6666666666666665,1.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.75,0.5,1.25,0.25,11.0,9.25,4.0,2.25,3.5,3.25,18.25,11.5,2.0,1.75,0.25,0.25,0.5,0.5,2.0,3.0,1.5,1.0,17.5,18.0,7.5,9.5,6.0,3.0,17.5,13.5,3.0,3.0,0.0,0.5,0.0,0.0,1.3333333333333333,2.3333333333333335,1.0,1.0,13.333333333333334,16.0,5.666666666666667,8.0,4.666666666666667,3.6666666666666665,14.333333333333334,14.666666666666666,3.0,3.0,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,1.75,3.0,1.0,1.75,12.5,16.0,5.5,8.0,4.5,4.5,15.5,12.75,2.75,2.75,0.25,0.25,-0.5,-0.5
I1,2016-12-17,Milan,Atalanta,0,0,D,0.0,0.0,D,11,14,3,4,23,28,6,3,3,6,0,0,1.95,3.4,3.9,1.95,3.4,4.2,1.85,3.45,4.0,2.0,3.3,3.8,2.08,3.45,4.02,2.05,3.5,3.75,2.05,3.3,4.0,50,2.14,2.02,3.5,3.37,4.2,3.88,43,2.14,2.04,1.82,1.76,26,-0.5,2.08,2.03,1.89,1.83,2.33,3.22,3.57,serie_a,11,0,0,0.0,2.0,1.5,1.0,0.5,11.0,15.0,4.0,5.5,4.0,6.0,19.0,16.5,3.0,4.0,0.0,0.0,0.5,0.5,1.6666666666666667,1.0,0.6666666666666666,0.3333333333333333,13.333333333333334,14.666666666666666,5.666666666666667,5.666666666666667,4.333333333333333,5.666666666666667,16.333333333333332,15.666666666666666,2.3333333333333335,3.3333333333333335,0.0,0.0,0.6666666666666666,0.3333333333333333,1.5,0.75,0.5,0.25,12.0,16.5,4.75,5.0,4.5,6.5,17.0,15.25,2.75,3.25,0.0,0.0,0.75,0.25,1.5,1.5,1.0,0.5,10.5,10.5,4.5,2.0,6.0,6.5,20.0,15.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.6666666666666666,1.3333333333333333,12.0,12.0,4.0,4.0,5.0,6.666666666666667,16.666666666666668,16.333333333333332,4.0,2.0,0.0,0.0,-0.3333333333333333,-0.3333333333333333,0.75,1.75,0.5,1.0,10.25,12.25,3.0,3.75,4.25,7.0,17.0,17.75,3.75,2.25,0.0,0.0,-0.5,-0.25
I1,2016-12-17,Empoli,Cagliari,2,0,H,1.0,0.0,H,7,9,2,2,23,17,3,2,6,5,0,0,2.05,3.25,3.75,2.1,3.3,3.7,2.0,3.3,3.6,2.05,3.3,3.75,2.13,3.42,3.87,2.15,3.2,3.8,2.1,3.3,3.9,51,2.19,2.09,3.47,3.32,3.92,3.72,45,2.0,1.92,1.95,1.88,27,-0.5,2.14,2.07,1.85,1.81,2.09,3.4,4.03,serie_a,5,2,1,1.0,0.5,4.0,0.5,1.0,14.0,20.0,5.0,9.5,3.5,5.0,9.0,14.5,1.5,3.0,0.0,0.0,-1.0,-0.5,0.3333333333333333,2.6666666666666665,0.3333333333333333,0.6666666666666666,12.0,21.0,4.333333333333333,8.0,3.6666666666666665,6.0,12.0,14.0,3.0,3.0,0.0,0.0,-0.6666666666666666,-0.3333333333333333,0.25,2.0,0.25,0.5,11.0,19.0,4.0,6.5,4.25,5.25,13.0,17.5,3.0,3.0,0.0,0.25,-0.5,-0.25,1.0,0.5,0.0,0.5,15.5,8.5,2.0,2.0,6.5,5.5,18.5,18.0,2.5,2.5,0.0,0.5,0.5,-0.5,2.3333333333333335,0.6666666666666666,1.0,0.6666666666666666,18.0,9.0,4.333333333333333,3.6666666666666665,6.0,5.0,17.333333333333332,15.333333333333334,2.0,2.3333333333333335,0.0,0.6666666666666666,0.6666666666666666,0.0,2.75,0.75,1.5,0.5,18.25,10.25,6.25,4.0,5.5,6.25,14.5,13.0,2.0,2.5,0.0,0.5,0.75,0.25
I1,2016-12-18,Napoli,Torino,5,3,H,3.0,0.0,H,21,10,10,5,6,14,4,3,0,3,0,0,1.45,4.2,7.5,1.5,4.5,6.25,1.55,3.9,5.6,1.48,4.33,6.5,1.49,4.59,7.61,1.5,4.33,7.0,1.45,4.6,7.5,50,1.55,1.48,4.85,4.48,7.61,6.79,35,1.54,1.49,2.75,2.54,27,-1.0,1.78,1.73,2.22,2.14,1.43,4.97,8.55,serie_a,12,18,1,1.0,2.0,0.5,1.5,0.0,19.5,11.0,8.5,3.5,7.0,5.0,10.5,12.0,2.5,3.5,0.0,0.0,0.5,1.0,1.6666666666666667,0.6666666666666666,1.0,0.0,19.0,9.666666666666666,8.333333333333334,3.3333333333333335,7.666666666666667,4.0,11.0,13.0,1.6666666666666667,3.0,0.0,0.0,0.3333333333333333,0.6666666666666666,1.75,0.5,0.75,0.0,23.0,9.0,8.75,3.0,8.5,5.0,10.0,12.0,1.5,2.75,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,14.0,15.0,3.5,3.5,5.5,3.5,10.5,13.0,1.0,2.5,0.0,0.0,0.0,0.0,1.3333333333333333,1.3333333333333333,0.0,0.3333333333333333,14.666666666666666,14.333333333333334,4.0,3.3333333333333335,5.0,3.6666666666666665,11.333333333333334,15.0,1.3333333333333333,2.6666666666666665,0.0,0.0,0.0,-0.3333333333333333,1.5,1.25,0.25,0.25,16.5,12.5,4.5,3.0,4.25,5.25,12.0,15.75,1.0,3.0,0.0,0.0,0.25,0.0
I1,2016-12-18,Chievo,Sampdoria,2,1,H,2.0,0.0,H,13,21,5,6,10,15,3,10,1,2,0,0,2.2,3.25,3.3,2.3,3.2,3.3,2.2,3.2,3.2,2.25,3.1,3.3,2.38,3.26,3.41,2.3,3.1,3.5,2.3,3.13,3.5,51,2.45,2.3,3.3,3.2,3.5,3.33,44,2.28,2.2,1.71,1.66,24,-0.25,2.01,1.95,1.94,1.9,2.26,3.28,3.68,serie_a,3,16,1,1.0,0.5,0.0,0.0,0.0,9.5,10.0,2.0,1.0,5.0,8.5,13.0,18.5,2.5,3.0,0.0,0.0,0.5,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,9.333333333333334,12.333333333333334,2.0,2.6666666666666665,4.0,7.0,15.333333333333334,17.0,3.3333333333333335,3.3333333333333335,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,9.5,11.25,2.25,3.0,4.5,6.25,16.0,16.25,2.5,3.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,14.5,16.0,4.0,6.0,6.5,4.0,17.5,14.5,3.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.3333333333333333,0.0,14.0,13.333333333333334,5.0,5.0,6.0,3.3333333333333335,13.666666666666666,15.0,2.0,1.6666666666666667,0.0,0.0,0.3333333333333333,1.0,1.75,1.0,1.25,0.25,13.0,15.5,5.5,6.0,6.5,4.5,12.5,14.25,1.75,1.5,0.25,0.0,0.25,0.75
I1,2016-12-18,Genoa,Palermo,3,4,A,1.0,1.0,D,14,13,6,4,14,18,5,5,3,5,1,0,1.57,3.75,6.0,1.55,4.1,6.25,1.55,3.9,5.6,1.53,3.8,6.5,1.57,4.05,7.36,1.6,3.8,6.5,1.57,4.1,6.25,51,1.63,1.56,4.16,3.94,7.36,6.56,45,2.04,1.94,1.94,1.86,28,-1.0,2.01,1.93,1.96,1.91,1.53,4.21,7.69,serie_a,7,13,-1,0.0,2.0,0.5,2.0,0.0,10.5,10.5,5.0,2.5,3.5,4.5,25.0,11.0,3.0,2.0,0.0,0.0,1.0,1.0,1.6666666666666667,0.6666666666666666,1.6666666666666667,0.3333333333333333,12.333333333333334,10.333333333333334,4.666666666666667,2.6666666666666665,3.3333333333333335,3.3333333333333335,21.666666666666668,11.333333333333334,2.6666666666666665,1.6666666666666667,0.0,0.0,0.6666666666666666,0.6666666666666666,2.0,0.5,1.5,0.25,11.25,11.0,4.25,2.75,3.75,3.5,20.0,10.75,2.75,1.25,0.0,0.25,0.75,0.75,2.5,1.0,1.0,0.5,13.5,7.5,5.5,3.0,5.5,6.0,15.5,18.5,1.5,1.5,0.0,0.0,1.0,0.5,2.3333333333333335,1.0,0.6666666666666666,0.3333333333333333,11.666666666666666,9.0,5.0,3.0,4.333333333333333,5.333333333333333,16.666666666666668,17.666666666666668,2.6666666666666665,2.0,0.0,0.0,1.0,0.3333333333333333,2.75,1.0,0.75,0.25,13.25,8.5,5.5,3.0,4.25,5.0,15.25,16.75,2.75,2.0,0.0,0.0,1.0,0.5
I1,2016-12-18,Sassuolo,Inter,0,1,A,0.0,0.0,D,11,20,4,6,14,18,3,8,1,3,0,1,3.4,3.6,2.05,3.75,3.5,2.0,3.3,3.3,2.1,3.4,3.6,2.05,3.79,3.63,2.08,3.75,3.4,2.1,3.75,3.5,2.05,51,3.79,3.6,3.71,3.53,2.12,2.05,44,1.83,1.76,2.13,2.05,24,0.5,1.86,1.82,2.12,2.04,4.66,3.85,1.83,serie_a,17,8,-1,0.0,1.5,1.5,1.0,1.5,13.5,14.5,4.5,5.5,2.5,7.0,15.0,14.5,4.0,4.0,0.0,0.0,0.0,0.0,1.3333333333333333,2.0,1.0,1.0,14.333333333333334,15.0,4.0,5.333333333333333,3.3333333333333335,8.333333333333334,14.0,13.0,3.6666666666666665,2.6666666666666665,0.0,0.0,-0.3333333333333333,0.3333333333333333,1.5,1.75,0.75,1.0,16.25,13.25,5.25,4.25,6.25,6.5,13.0,15.25,3.0,2.75,0.0,0.0,0.0,0.0,2.5,1.0,1.5,0.0,14.5,19.5,7.5,6.0,3.0,7.5,11.5,13.0,2.0,3.5,0.0,0.0,0.5,1.0,2.0,0.6666666666666666,1.3333333333333333,0.0,12.666666666666666,17.666666666666668,6.0,5.0,3.3333333333333335,6.666666666666667,12.666666666666666,13.333333333333334,1.6666666666666667,3.3333333333333335,0.0,0.0,0.6666666666666666,1.0,2.0,0.75,1.25,0.0,12.25,15.0,6.5,4.75,3.5,5.0,14.25,12.75,1.75,2.75,0.0,0.0,0.75,1.0
I1,2016-12-18,Lazio,Fiorentina,3,1,H,2.0,0.0,H,11,13,5,6,16,20,5,5,1,5,0,0,2.0,3.4,3.75,2.0,3.5,3.75,1.9,3.45,3.8,1.95,3.4,3.8,2.01,3.61,4.08,2.05,3.5,3.75,2.0,3.5,3.9,50,2.07,2.0,3.67,3.49,4.08,3.82,43,1.81,1.74,2.16,2.07,24,-0.5,2.01,1.98,1.93,1.87,1.84,3.85,4.63,serie_a,10,6,1,1.0,1.5,1.5,0.5,0.0,13.5,9.5,3.0,3.5,4.5,4.0,17.5,17.0,2.5,3.0,0.5,0.5,0.0,0.5,1.6666666666666667,1.3333333333333333,0.3333333333333333,0.0,13.666666666666666,11.0,4.0,4.0,6.333333333333333,4.0,17.333333333333332,15.0,2.3333333333333335,2.3333333333333335,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.25,1.25,1.0,0.0,15.0,11.75,6.0,4.25,5.75,5.5,14.5,12.75,2.25,2.5,0.25,0.25,0.5,0.5,2.5,1.0,2.0,0.5,15.5,10.5,6.5,4.5,5.5,2.5,26.0,14.5,4.0,2.5,0.0,0.5,1.0,1.0,1.6666666666666667,2.0,1.3333333333333333,0.6666666666666666,14.666666666666666,15.0,6.333333333333333,7.333333333333333,5.333333333333333,3.0,19.666666666666668,13.666666666666666,3.0,2.6666666666666665,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.25,1.75,1.0,0.75,12.25,14.25,5.25,6.75,4.5,3.5,16.75,14.5,3.0,2.75,0.25,0.25,0.0,0.0
