Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA,HomeTeamCode,AwayTeamCode,FTR_code,HTR_code,H_R_FTHG_W_2,H_R_FTAG_W_2,H_R_HTHG_W_2,H_R_HTAG_W_2,H_R_HS_W_2,H_R_AS_W_2,H_R_HST_W_2,H_R_AST_W_2,H_R_HC_W_2,H_R_AC_W_2,H_R_HF_W_2,H_R_AF_W_2,H_R_HY_W_2,H_R_AY_W_2,H_R_HR_W_2,H_R_AR_W_2,H_R_FTR_code_W_2,H_R_HTR_code_W_2,H_R_FTHG_W_3,H_R_FTAG_W_3,H_R_HTHG_W_3,H_R_HTAG_W_3,H_R_HS_W_3,H_R_AS_W_3,H_R_HST_W_3,H_R_AST_W_3,H_R_HC_W_3,H_R_AC_W_3,H_R_HF_W_3,H_R_AF_W_3,H_R_HY_W_3,H_R_AY_W_3,H_R_HR_W_3,H_R_AR_W_3,H_R_FTR_code_W_3,H_R_HTR_code_W_3,H_R_FTHG_W_4,H_R_FTAG_W_4,H_R_HTHG_W_4,H_R_HTAG_W_4,H_R_HS_W_4,H_R_AS_W_4,H_R_HST_W_4,H_R_AST_W_4,H_R_HC_W_4,H_R_AC_W_4,H_R_HF_W_4,H_R_AF_W_4,H_R_HY_W_4,H_R_AY_W_4,H_R_HR_W_4,H_R_AR_W_4,H_R_FTR_code_W_4,H_R_HTR_code_W_4,A_R_FTHG_W_2,A_R_FTAG_W_2,A_R_HTHG_W_2,A_R_HTAG_W_2,A_R_HS_W_2,A_R_AS_W_2,A_R_HST_W_2,A_R_AST_W_2,A_R_HC_W_2,A_R_AC_W_2,A_R_HF_W_2,A_R_AF_W_2,A_R_HY_W_2,A_R_AY_W_2,A_R_HR_W_2,A_R_AR_W_2,A_R_FTR_code_W_2,A_R_HTR_code_W_2,A_R_FTHG_W_3,A_R_FTAG_W_3,A_R_HTHG_W_3,A_R_HTAG_W_3,A_R_HS_W_3,A_R_AS_W_3,A_R_HST_W_3,A_R_AST_W_3,A_R_HC_W_3,A_R_AC_W_3,A_R_HF_W_3,A_R_AF_W_3,A_R_HY_W_3,A_R_AY_W_3,A_R_HR_W_3,A_R_AR_W_3,A_R_FTR_code_W_3,A_R_HTR_code_W_3,A_R_FTHG_W_4,A_R_FTAG_W_4,A_R_HTHG_W_4,A_R_HTAG_W_4,A_R_HS_W_4,A_R_AS_W_4,A_R_HST_W_4,A_R_AST_W_4,A_R_HC_W_4,A_R_AC_W_4,A_R_HF_W_4,A_R_AF_W_4,A_R_HY_W_4,A_R_AY_W_4,A_R_HR_W_4,A_R_AR_W_4,A_R_FTR_code_W_4,A_R_HTR_code_W_4
I1,2017-12-03,Sampdoria,Lazio,1,2,A,0,0,D,16,14,3,3,10,12,5,6,0,1,0,0,3.6,3.6,2.0,3.5,3.6,2.05,3.3,3.35,2.2,3.3,3.6,2.05,3.67,3.71,2.09,3.25,3.6,2.1,3.5,3.6,2.1,35,3.67,3.43,3.75,3.57,2.2,2.06,32,1.65,1.59,2.45,2.32,18,0.25,2.12,2.07,1.85,1.81,3.88,3.85,1.99,14,10,-1,0,3.5,1.5,1.5,0.5,12.0,16.0,6.0,5.0,5.5,5.0,10.5,13.0,3.0,3.0,0.0,0.0,1.0,0.5,4.0,1.0,2.0,0.3333333333333333,10.0,13.333333333333334,5.666666666666667,4.0,5.0,3.3333333333333335,10.666666666666666,15.333333333333334,2.3333333333333335,3.0,0.0,0.0,1.0,0.6666666666666666,3.75,1.0,1.5,0.5,10.25,15.25,6.0,5.75,4.75,4.0,10.5,15.0,2.5,3.0,0.0,0.0,1.0,0.25,1.5,3.0,0.0,1.5,17.5,12.0,6.5,5.5,4.0,6.5,11.5,13.5,1.5,2.5,0.0,0.0,0.0,-0.5,1.3333333333333333,2.6666666666666665,0.0,1.6666666666666667,14.0,12.666666666666666,5.333333333333333,4.666666666666667,6.0,5.666666666666667,11.666666666666666,12.0,1.6666666666666667,2.3333333333333335,0.0,0.0,-0.3333333333333333,-0.6666666666666666,1.25,2.5,0.25,1.25,15.0,12.0,5.5,4.75,5.5,4.75,11.25,12.5,1.75,2.0,0.0,0.0,-0.5,-0.25
I1,2017-12-10,Napoli,Fiorentina,0,0,D,0,0,D,10,6,4,3,10,6,4,2,3,3,0,0,1.36,5.5,7.5,1.36,5.25,8.0,1.4,4.8,7.5,1.36,5.0,8.0,1.35,5.79,9.33,1.33,5.0,9.0,1.36,5.5,8.0,38,1.4,1.35,5.79,5.35,9.33,8.05,31,1.47,1.43,3.0,2.73,23,-1.5,2.06,2.0,1.9,1.86,1.47,4.75,7.71,12,6,0,0,1.0,1.0,0.5,0.5,18.5,10.0,8.0,3.5,6.5,2.0,13.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,1.6666666666666667,1.0,1.0,0.6666666666666666,21.0,9.333333333333334,8.333333333333334,2.6666666666666665,6.333333333333333,3.0,13.333333333333334,8.333333333333334,2.0,1.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,1.25,0.75,0.75,0.5,18.75,9.75,7.0,2.5,6.0,4.0,12.25,8.5,1.75,1.25,0.0,0.0,0.25,0.25,1.0,1.0,1.0,0.0,10.0,18.0,4.0,6.5,3.5,6.5,13.0,12.5,3.0,2.5,0.5,0.0,0.0,1.0,1.3333333333333333,1.0,1.3333333333333333,0.3333333333333333,10.333333333333334,17.666666666666668,4.333333333333333,5.333333333333333,3.3333333333333335,6.0,15.0,14.0,3.0,2.6666666666666665,0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,1.5,1.0,0.5,10.0,16.75,3.5,5.75,3.25,5.75,15.25,15.0,2.75,2.25,0.25,0.0,0.0,0.5
I1,2017-12-10,Udinese,Benevento,2,0,H,2,0,H,9,20,2,5,16,15,3,9,1,2,0,0,1.5,4.2,7.0,1.48,4.33,7.0,1.5,4.2,6.5,1.5,4.25,6.5,1.5,4.74,7.13,1.44,4.33,7.0,1.5,4.5,6.5,38,1.53,1.49,4.74,4.4,7.5,6.68,30,1.77,1.71,2.25,2.14,23,-1.0,1.83,1.79,2.14,2.08,1.47,4.66,7.96,18,1,1,1,0.0,1.0,0.0,0.5,12.0,10.5,3.5,4.0,4.5,5.5,11.5,9.0,3.0,0.5,0.5,0.0,-1.0,-0.5,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,10.333333333333334,9.333333333333334,3.6666666666666665,3.3333333333333335,4.666666666666667,6.0,12.666666666666666,11.0,2.0,1.0,0.3333333333333333,0.0,-0.3333333333333333,-0.3333333333333333,1.0,2.25,0.5,1.0,10.5,10.25,3.75,3.75,3.75,6.0,14.25,10.5,3.0,1.5,0.25,0.25,-0.5,-0.5,1.5,0.5,0.0,0.5,20.5,4.5,6.0,1.5,8.5,2.5,13.0,14.5,2.0,2.5,0.0,0.0,1.0,-0.5,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.3333333333333333,18.0,6.0,5.666666666666667,2.0,7.333333333333333,2.3333333333333335,17.333333333333332,14.666666666666666,3.0,2.0,0.0,0.0,1.0,0.0,1.5,0.5,0.25,0.25,16.75,6.5,5.0,1.75,6.75,2.5,16.75,14.0,3.25,2.25,0.0,0.25,1.0,0.0
I1,2017-12-11,Lazio,Torino,1,3,A,0,0,D,20,18,7,6,7,16,13,2,1,1,1,0,1.5,4.75,5.75,1.5,4.6,6.0,1.55,4.0,6.2,1.5,4.4,6.0,1.5,4.77,6.91,1.5,4.4,6.0,1.45,4.75,7.0,37,1.55,1.49,4.82,4.58,7.0,6.17,30,1.55,1.49,2.7,2.54,22,-1.0,1.83,1.78,2.14,2.08,1.53,4.67,6.53,10,17,-1,0,2.0,0.5,1.5,0.0,11.5,14.0,5.0,6.5,5.0,5.0,14.0,11.5,1.5,3.0,0.0,0.0,0.5,1.0,3.3333333333333335,0.6666666666666666,1.3333333333333333,0.3333333333333333,15.0,12.0,7.666666666666667,6.333333333333333,5.0,4.666666666666667,13.666666666666666,10.333333333333334,1.6666666666666667,3.0,0.0,0.0,0.6666666666666666,0.6666666666666666,2.75,1.5,1.25,0.25,12.25,13.25,6.25,7.5,4.5,4.0,12.5,11.0,1.75,3.0,0.0,0.0,0.25,0.75,0.5,0.5,0.0,0.0,18.5,7.5,5.5,2.5,6.5,3.5,17.0,16.0,1.5,3.5,0.0,0.0,0.0,0.0,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,17.333333333333332,6.666666666666667,6.0,1.6666666666666667,6.0,4.333333333333333,18.666666666666668,18.0,1.3333333333333333,3.3333333333333335,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.5,0.75,0.5,0.0,15.25,10.25,5.25,3.5,5.25,5.25,17.75,15.25,1.25,2.5,0.0,0.25,0.25,0.5
I1,2017-12-16,Roma,Cagliari,1,0,H,0,0,D,21,3,6,0,14,15,5,1,1,3,0,0,1.25,6.0,12.0,1.26,6.25,10.5,1.25,6.0,11.0,1.25,6.0,13.0,1.26,6.7,12.5,1.25,5.5,12.0,1.22,6.5,15.0,34,1.29,1.25,6.7,6.13,15.0,11.73,28,1.53,1.47,2.78,2.64,20,-2.0,2.26,2.18,1.75,1.71,1.23,7.07,14.72,13,3,1,0,2.5,1.0,1.0,0.0,26.5,7.5,11.0,2.0,8.0,3.5,10.5,14.5,1.5,3.0,0.0,0.5,1.0,0.5,2.0,0.6666666666666666,1.0,0.0,22.666666666666668,8.333333333333334,8.333333333333334,2.0,7.666666666666667,4.0,10.333333333333334,14.0,1.3333333333333333,3.3333333333333335,0.0,0.3333333333333333,1.0,0.6666666666666666,1.75,0.5,1.0,0.0,22.0,7.0,7.25,2.0,8.25,3.25,9.75,12.75,1.0,2.75,0.0,0.25,1.0,0.75,0.5,1.0,0.0,0.5,13.5,10.0,4.0,3.0,5.5,3.5,12.0,15.5,3.5,1.0,0.5,0.0,-0.5,-0.5,1.0,1.0,0.3333333333333333,0.6666666666666666,15.333333333333334,9.0,4.666666666666667,3.0,6.0,4.333333333333333,11.0,16.666666666666668,3.6666666666666665,1.6666666666666667,0.3333333333333333,0.0,0.0,-0.3333333333333333,1.5,0.75,0.75,0.5,14.0,9.75,4.25,3.5,5.5,4.5,11.25,16.25,3.0,2.25,0.25,0.0,0.25,0.0
I1,2017-12-17,Fiorentina,Genoa,0,0,D,0,0,D,22,5,4,3,13,9,3,4,2,2,0,0,1.57,4.0,6.0,1.6,4.1,5.5,1.6,4.0,5.5,1.6,3.9,5.5,1.65,4.11,5.84,1.57,4.2,5.5,1.6,4.0,6.25,34,1.65,1.59,4.2,4.04,6.25,5.7,33,1.82,1.75,2.14,2.07,22,-1.0,2.15,2.04,1.87,1.82,1.81,3.57,5.29,6,7,0,0,2.5,2.0,2.0,1.0,21.5,14.5,7.5,5.5,9.5,8.5,12.0,9.5,1.0,2.0,0.0,0.0,0.0,0.5,2.6666666666666665,1.3333333333333333,1.6666666666666667,0.6666666666666666,19.333333333333332,11.333333333333334,7.333333333333333,3.6666666666666665,8.0,7.666666666666667,15.333333333333334,13.666666666666666,1.0,2.3333333333333335,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,2.5,1.25,1.5,0.5,17.75,10.5,7.0,3.25,7.0,6.75,14.25,13.75,1.0,2.0,0.0,0.25,0.5,0.75,0.0,1.0,0.0,1.0,13.0,9.5,4.0,4.0,3.5,2.5,17.0,17.0,1.5,3.5,0.0,0.0,-1.0,-1.0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,11.0,10.666666666666666,3.6666666666666665,3.3333333333333335,3.6666666666666665,3.3333333333333335,16.0,19.333333333333332,2.3333333333333335,3.3333333333333335,0.0,0.0,-0.3333333333333333,-0.6666666666666666,0.25,0.5,0.0,0.5,12.75,11.0,4.5,3.0,4.0,3.25,15.5,19.75,1.75,3.0,0.25,0.0,-0.25,-0.5
I1,2017-12-17,Bologna,Juventus,0,3,A,0,2,A,3,11,1,6,9,9,3,7,3,1,0,0,7.0,4.75,1.44,7.0,4.6,1.45,7.0,4.5,1.45,7.5,4.25,1.44,8.07,4.7,1.46,7.0,4.5,1.44,7.5,4.6,1.45,34,8.07,7.4,4.75,4.47,1.48,1.44,34,1.92,1.86,2.0,1.94,20,1.0,2.2,2.15,1.78,1.74,9.0,4.4,1.47,2,9,-1,-1,2.0,0.5,1.0,0.5,12.0,14.0,4.5,4.5,5.0,7.5,10.0,16.5,4.0,2.0,0.5,0.0,0.5,0.0,2.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,13.0,12.666666666666666,4.666666666666667,5.0,5.0,5.666666666666667,11.333333333333334,15.666666666666666,3.3333333333333335,2.3333333333333335,0.3333333333333333,0.0,0.0,0.3333333333333333,1.75,1.5,1.0,1.0,11.5,13.0,4.25,4.5,6.25,5.25,11.5,14.0,3.0,2.25,0.25,0.0,-0.25,0.0,1.5,1.5,0.0,0.5,15.0,13.0,5.5,4.0,6.5,3.5,10.5,10.0,3.0,2.0,0.0,0.0,0.0,-0.5,1.0,1.6666666666666667,0.0,0.6666666666666666,13.666666666666666,11.666666666666666,5.0,4.0,6.0,4.333333333333333,14.0,10.0,2.6666666666666665,1.3333333333333333,0.0,0.0,-0.3333333333333333,-0.6666666666666666,1.25,2.75,0.25,1.0,13.0,12.0,4.75,4.25,4.75,4.75,15.25,9.75,3.5,1.75,0.0,0.25,-0.5,-0.75
I1,2017-12-17,Atalanta,Lazio,3,3,D,2,2,D,13,13,6,4,5,12,5,7,2,2,0,0,2.37,3.39,3.0,2.35,3.4,3.0,2.5,3.3,2.85,2.3,3.4,3.0,2.41,3.51,3.13,2.4,3.25,3.0,2.38,3.3,3.13,34,2.5,2.37,3.54,3.37,3.13,2.99,34,1.87,1.8,2.07,2.0,19,-0.25,2.07,2.03,1.88,1.84,2.26,3.42,3.5,0,10,0,0,1.0,0.5,0.5,0.0,11.5,8.5,3.5,2.5,6.0,3.0,12.5,14.5,0.5,2.0,0.5,0.0,0.5,0.5,1.6666666666666667,0.3333333333333333,0.3333333333333333,0.0,15.333333333333334,9.333333333333334,4.666666666666667,3.0,5.666666666666667,3.6666666666666665,10.666666666666666,14.333333333333334,0.3333333333333333,1.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,1.5,0.25,0.25,0.0,16.5,8.5,4.0,2.25,6.75,3.5,11.0,14.5,1.0,2.0,0.25,0.25,0.75,0.25,1.5,1.5,0.0,0.0,16.0,13.0,5.0,2.5,5.5,6.5,10.5,14.5,1.0,2.5,0.0,0.0,0.0,0.0,1.3333333333333333,2.6666666666666665,0.0,1.0,17.0,12.666666666666666,5.333333333333333,4.666666666666667,4.333333333333333,6.333333333333333,11.0,13.0,1.0,2.0,0.0,0.0,-0.3333333333333333,-0.3333333333333333,1.25,2.5,0.0,1.25,14.5,13.0,4.75,4.25,5.75,5.75,11.25,12.0,1.25,2.0,0.0,0.0,-0.5,-0.5
I1,2017-12-17,Benevento,Spal,1,2,A,0,0,D,16,14,4,5,14,11,6,3,2,3,0,0,2.87,3.1,2.62,2.8,3.2,2.65,2.95,3.3,2.4,2.75,3.2,2.6,2.84,3.38,2.69,2.75,3.2,2.6,2.88,3.13,2.7,34,2.95,2.79,3.38,3.22,2.7,2.61,33,2.15,2.06,1.84,1.76,18,0.25,1.7,1.68,2.3,2.25,2.61,3.35,2.96,1,16,-1,0,1.5,2.0,0.0,0.5,15.0,13.5,6.0,6.0,5.0,4.0,21.0,11.5,3.5,3.0,0.5,0.5,-0.5,-0.5,1.3333333333333333,3.0,0.0,1.3333333333333333,16.333333333333332,13.0,6.0,7.0,4.0,4.666666666666667,18.0,11.0,2.6666666666666665,2.3333333333333335,0.3333333333333333,0.3333333333333333,-0.6666666666666666,-0.6666666666666666,1.0,3.0,0.0,1.25,14.5,13.25,4.75,7.0,3.75,4.75,17.5,12.75,2.5,2.0,0.25,0.25,-0.75,-0.75,2.5,1.0,1.0,0.5,24.5,8.5,9.0,3.5,6.0,4.0,16.5,18.0,0.5,1.5,0.0,0.5,1.0,0.0,2.0,1.0,1.0,0.3333333333333333,19.333333333333332,9.333333333333334,7.0,3.3333333333333335,5.0,3.6666666666666665,15.666666666666666,16.333333333333332,0.3333333333333333,1.6666666666666667,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,2.5,1.0,1.25,0.5,18.5,8.5,6.75,3.0,5.0,3.25,15.75,15.5,0.5,1.25,0.25,0.25,0.75,0.5
I1,2017-12-17,Verona,Milan,3,0,H,1,0,H,6,30,4,8,12,13,4,13,3,2,0,1,5.5,4.33,1.57,5.25,4.2,1.6,5.0,4.0,1.65,5.5,4.0,1.57,6.04,4.44,1.59,5.5,4.2,1.57,6.25,4.1,1.57,34,6.25,5.49,4.44,4.24,1.65,1.59,33,1.7,1.65,2.31,2.23,22,1.0,1.92,1.87,2.06,1.99,6.86,4.34,1.55,19,11,1,1,1.0,2.0,1.0,1.0,16.0,10.5,4.0,3.0,4.0,3.5,14.0,15.0,2.0,2.5,0.0,0.0,-1.0,0.0,1.0,2.0,0.6666666666666666,1.0,14.0,12.666666666666666,3.3333333333333335,3.3333333333333335,4.0,4.666666666666667,13.333333333333334,13.0,2.6666666666666665,2.3333333333333335,0.0,0.0,-1.0,-0.3333333333333333,1.0,1.5,0.5,0.75,13.75,11.5,3.25,2.75,4.25,4.25,13.75,12.75,3.0,2.5,0.0,0.25,-0.5,-0.25,2.0,1.5,0.5,0.5,16.5,12.5,8.0,5.0,3.5,2.0,16.5,9.5,2.5,3.0,0.0,0.5,0.5,0.0,1.3333333333333333,1.6666666666666667,0.3333333333333333,0.6666666666666666,13.0,13.0,5.666666666666667,6.666666666666667,4.666666666666667,4.666666666666667,17.666666666666668,11.333333333333334,2.3333333333333335,3.0,0.0,0.3333333333333333,0.0,-0.3333333333333333,1.25,2.25,0.25,1.0,12.0,14.0,5.0,6.0,3.75,3.75,16.25,11.0,2.25,3.0,0.0,0.25,-0.25,-0.5
