FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR_code,HTR_code,Date,HomeTeam,AwayTeam,League,HomeTeamCode,AwayTeamCode,H_R_FTHG_W_2,H_R_FTAG_W_2,H_R_HTHG_W_2,H_R_HTAG_W_2,H_R_HS_W_2,H_R_AS_W_2,H_R_HST_W_2,H_R_AST_W_2,H_R_HC_W_2,H_R_AC_W_2,H_R_HF_W_2,H_R_AF_W_2,H_R_HY_W_2,H_R_AY_W_2,H_R_HR_W_2,H_R_AR_W_2,H_R_FTR_code_W_2,H_R_HTR_code_W_2,H_R_FTHG_W_3,H_R_FTAG_W_3,H_R_HTHG_W_3,H_R_HTAG_W_3,H_R_HS_W_3,H_R_AS_W_3,H_R_HST_W_3,H_R_AST_W_3,H_R_HC_W_3,H_R_AC_W_3,H_R_HF_W_3,H_R_AF_W_3,H_R_HY_W_3,H_R_AY_W_3,H_R_HR_W_3,H_R_AR_W_3,H_R_FTR_code_W_3,H_R_HTR_code_W_3,H_R_FTHG_W_4,H_R_FTAG_W_4,H_R_HTHG_W_4,H_R_HTAG_W_4,H_R_HS_W_4,H_R_AS_W_4,H_R_HST_W_4,H_R_AST_W_4,H_R_HC_W_4,H_R_AC_W_4,H_R_HF_W_4,H_R_AF_W_4,H_R_HY_W_4,H_R_AY_W_4,H_R_HR_W_4,H_R_AR_W_4,H_R_FTR_code_W_4,H_R_HTR_code_W_4,A_R_FTHG_W_2,A_R_FTAG_W_2,A_R_HTHG_W_2,A_R_HTAG_W_2,A_R_HS_W_2,A_R_AS_W_2,A_R_HST_W_2,A_R_AST_W_2,A_R_HC_W_2,A_R_AC_W_2,A_R_HF_W_2,A_R_AF_W_2,A_R_HY_W_2,A_R_AY_W_2,A_R_HR_W_2,A_R_AR_W_2,A_R_FTR_code_W_2,A_R_HTR_code_W_2,A_R_FTHG_W_3,A_R_FTAG_W_3,A_R_HTHG_W_3,A_R_HTAG_W_3,A_R_HS_W_3,A_R_AS_W_3,A_R_HST_W_3,A_R_AST_W_3,A_R_HC_W_3,A_R_AC_W_3,A_R_HF_W_3,A_R_AF_W_3,A_R_HY_W_3,A_R_AY_W_3,A_R_HR_W_3,A_R_AR_W_3,A_R_FTR_code_W_3,A_R_HTR_code_W_3,A_R_FTHG_W_4,A_R_FTAG_W_4,A_R_HTHG_W_4,A_R_HTAG_W_4,A_R_HS_W_4,A_R_AS_W_4,A_R_HST_W_4,A_R_AST_W_4,A_R_HC_W_4,A_R_AC_W_4,A_R_HF_W_4,A_R_AF_W_4,A_R_HY_W_4,A_R_AY_W_4,A_R_HR_W_4,A_R_AR_W_4,A_R_FTR_code_W_4,A_R_HTR_code_W_4
1,2,1,0,18,16,5,9,2,10,13,21,2,4,0,0,-1,1,2022-11-13,Verona,Spezia,serie_a,19,16,0.5,2.0,0.5,0.5,11.0,12.5,2.5,4.5,3.5,4.0,11.5,11.0,3.0,1.5,0.5,0.5,-1.0,0.0,0.6666666666666666,2.0,0.6666666666666666,0.6666666666666666,13.666666666666666,13.666666666666666,3.3333333333333335,5.0,5.333333333333333,3.6666666666666665,10.0,10.333333333333334,3.0,1.6666666666666667,0.3333333333333333,0.3333333333333333,-1.0,0.0,0.75,2.0,0.75,0.5,12.0,15.5,3.0,5.75,5.0,5.0,11.25,10.5,3.0,2.0,0.25,0.25,-1.0,0.25,1.5,0.5,0.5,0.0,20.0,13.5,7.5,3.5,3.5,6.5,10.5,10.5,4.0,4.0,0.5,0.0,1.0,0.5,1.6666666666666667,0.3333333333333333,0.6666666666666666,0.0,15.666666666666666,12.0,6.333333333333333,2.6666666666666665,3.3333333333333335,6.333333333333333,10.333333333333334,13.666666666666666,3.6666666666666665,3.3333333333333335,0.3333333333333333,0.0,1.0,0.6666666666666666,2.25,0.25,1.0,0.0,15.0,12.5,6.25,2.5,3.25,6.25,8.5,13.75,2.75,3.0,0.25,0.0,1.0,0.75
0,1,0,0,13,19,3,8,3,8,12,12,5,3,0,0,-1,0,2023-01-04,Cremonese,Juventus,serie_a,2,6,0.0,0.0,0.0,0.0,9.5,14.5,1.5,4.0,4.5,4.0,12.0,9.5,2.5,1.5,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,13.333333333333334,12.333333333333334,2.3333333333333335,4.0,4.666666666666667,3.0,13.333333333333334,11.333333333333334,2.6666666666666665,2.3333333333333335,0.0,0.0,-0.3333333333333333,0.0,0.25,1.25,0.0,0.25,13.0,14.5,2.0,5.5,4.75,2.75,14.5,10.0,2.5,1.75,0.0,0.0,-0.5,-0.25,0.0,1.0,0.0,0.0,10.0,12.0,1.0,4.0,6.0,5.5,15.0,13.0,3.0,3.5,0.0,0.5,-1.0,0.0,0.0,1.0,0.0,0.0,11.666666666666666,12.666666666666666,1.3333333333333333,5.333333333333333,5.0,5.666666666666667,13.666666666666666,11.333333333333334,2.6666666666666665,2.3333333333333335,0.0,0.3333333333333333,-1.0,0.0,0.5,0.75,0.25,0.0,14.0,12.0,1.75,4.75,6.0,5.0,12.0,10.25,2.5,2.5,0.0,0.25,-0.5,0.25
2,1,0,1,11,8,4,2,4,3,16,13,3,2,0,0,1,-1,2023-01-04,Lecce,Lazio,serie_a,8,7,1.0,1.0,1.0,0.5,10.0,12.5,1.5,4.5,5.5,5.0,13.5,12.5,2.0,3.5,0.0,0.0,0.0,0.5,1.0,1.0,1.0,0.3333333333333333,8.666666666666666,11.666666666666666,1.6666666666666667,4.666666666666667,4.333333333333333,6.0,14.0,13.666666666666666,3.0,4.0,0.3333333333333333,0.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.5,8.0,12.0,1.5,4.5,3.5,6.5,13.25,14.0,3.0,3.25,0.25,0.0,0.0,0.5,1.5,0.5,0.5,0.5,10.5,7.5,5.5,3.0,3.0,4.0,14.0,11.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.6666666666666666,9.333333333333334,9.0,3.6666666666666665,3.6666666666666665,3.6666666666666665,5.333333333333333,14.333333333333334,10.333333333333334,2.6666666666666665,2.0,0.3333333333333333,0.0,-0.3333333333333333,-0.3333333333333333,0.75,1.75,0.25,1.0,13.0,9.25,3.5,4.25,5.0,4.5,15.0,10.0,3.0,1.75,0.25,0.0,-0.5,-0.5
1,1,1,0,22,10,6,3,9,1,11,13,1,3,0,0,0,1,2023-01-04,Fiorentina,Monza,serie_a,4,10,2.5,2.5,1.0,1.0,14.0,6.0,5.5,4.0,2.5,2.5,12.5,12.5,2.0,2.0,0.0,0.0,0.0,0.0,1.6666666666666667,3.0,0.6666666666666666,1.3333333333333333,17.333333333333332,7.333333333333333,4.666666666666667,4.666666666666667,4.666666666666667,2.3333333333333335,14.0,11.333333333333334,2.6666666666666665,1.6666666666666667,0.0,0.0,-0.3333333333333333,-0.3333333333333333,1.75,2.25,0.75,1.0,16.75,7.5,5.75,3.75,5.25,2.5,15.0,12.75,3.0,2.25,0.0,0.0,0.0,0.0,2.5,0.5,1.0,0.0,12.0,12.0,5.5,3.0,3.0,2.5,16.5,11.5,1.5,1.0,0.0,0.0,1.0,0.5,2.0,0.3333333333333333,1.0,0.0,11.666666666666666,13.333333333333334,5.333333333333333,3.3333333333333335,2.6666666666666665,4.666666666666667,16.666666666666668,12.333333333333334,2.6666666666666665,1.6666666666666667,0.0,0.3333333333333333,1.0,0.6666666666666666,1.5,1.0,0.75,0.25,9.5,13.25,4.25,4.0,2.5,4.5,16.5,15.25,2.5,1.75,0.0,0.25,0.5,0.25
1,2,0,2,16,9,4,4,9,1,16,19,2,3,0,0,-1,-1,2023-01-04,Sassuolo,Sampdoria,serie_a,15,14,1.5,1.0,0.5,0.5,14.0,11.5,4.5,4.5,3.5,3.5,9.0,15.0,3.0,3.0,0.0,0.0,0.5,0.0,1.3333333333333333,1.3333333333333333,0.3333333333333333,0.6666666666666666,14.333333333333334,13.0,4.0,4.333333333333333,4.333333333333333,4.0,10.666666666666666,15.666666666666666,3.0,2.6666666666666665,0.0,0.0,0.0,-0.3333333333333333,2.25,1.0,0.75,0.5,15.0,11.25,5.75,3.5,3.5,3.5,10.5,13.75,2.5,2.25,0.0,0.0,0.25,0.0,2.5,0.0,1.5,0.0,12.5,10.0,6.5,1.5,3.5,3.0,9.5,17.0,1.0,4.5,0.0,0.0,1.0,1.0,1.6666666666666667,0.3333333333333333,1.0,0.0,15.333333333333334,9.333333333333334,5.666666666666667,2.3333333333333335,4.0,2.3333333333333335,11.666666666666666,16.333333333333332,1.6666666666666667,4.333333333333333,0.0,0.0,0.3333333333333333,0.6666666666666666,1.5,0.5,1.0,0.0,14.0,9.25,5.0,2.5,3.5,3.0,13.0,17.5,1.75,4.0,0.0,0.0,0.25,0.75
1,0,1,0,14,10,4,2,3,3,10,10,2,3,0,0,1,1,2023-01-04,Roma,Bologna,serie_a,12,1,0.5,1.0,0.0,0.5,10.5,7.5,3.0,2.5,5.5,1.0,15.5,12.0,2.5,2.5,0.0,0.0,-0.5,-0.5,0.3333333333333333,1.0,0.0,0.3333333333333333,9.0,9.0,2.0,3.3333333333333335,4.666666666666667,2.0,15.0,12.0,2.6666666666666665,3.0,0.0,0.0,-0.6666666666666666,-0.3333333333333333,0.75,1.0,0.25,0.5,11.75,8.25,3.0,3.25,6.75,2.5,14.25,11.75,2.5,2.75,0.0,0.25,-0.25,-0.25,3.5,1.5,1.5,0.5,11.0,10.0,5.0,4.5,4.0,4.5,11.5,14.5,2.5,3.5,0.0,0.0,0.0,0.5,3.3333333333333335,1.6666666666666667,1.3333333333333333,0.6666666666666666,17.333333333333332,12.0,7.0,4.0,4.666666666666667,4.333333333333333,9.666666666666666,13.0,1.6666666666666667,3.6666666666666665,0.0,0.0,0.3333333333333333,0.3333333333333333,3.25,1.25,1.25,0.5,17.25,11.25,6.75,3.25,4.0,4.25,10.0,13.5,1.25,3.0,0.0,0.0,0.5,0.5
2,2,1,2,13,11,4,3,3,5,14,20,0,3,0,0,0,-1,2023-01-07,Monza,Inter,serie_a,10,5,2.5,0.0,1.0,0.0,16.5,6.0,5.0,1.0,5.5,1.5,9.5,10.5,1.5,1.5,0.0,1.0,1.0,0.5,2.0,0.6666666666666666,0.6666666666666666,0.0,14.0,7.333333333333333,4.333333333333333,2.3333333333333335,5.0,2.6666666666666665,10.666666666666666,13.0,2.3333333333333335,1.6666666666666667,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,2.0,0.5,0.75,0.0,12.25,7.75,4.25,2.0,4.5,3.5,10.5,14.75,2.5,1.75,0.0,0.5,0.5,0.5,2.0,1.5,0.5,0.5,13.5,14.0,5.0,3.5,3.5,6.0,13.0,12.0,1.0,2.5,0.0,0.0,0.0,0.0,2.3333333333333335,2.3333333333333335,0.6666666666666666,1.0,12.333333333333334,12.0,4.666666666666667,4.666666666666667,2.6666666666666665,4.666666666666667,13.666666666666666,12.666666666666666,2.0,2.6666666666666665,0.0,0.0,-0.3333333333333333,-0.3333333333333333,2.0,2.25,0.5,1.0,13.0,13.0,4.25,4.5,3.5,4.75,13.75,13.75,2.25,2.5,0.0,0.0,-0.5,-0.5
2,1,0,0,14,17,5,4,6,3,14,9,4,3,0,0,1,0,2023-01-07,Fiorentina,Sassuolo,serie_a,4,15,1.5,1.0,1.0,0.0,20.0,7.0,6.5,2.0,6.5,2.0,10.5,12.0,0.5,2.0,0.0,0.0,0.5,1.0,2.0,2.0,1.0,0.6666666666666666,16.666666666666668,7.333333333333333,5.666666666666667,3.6666666666666665,4.666666666666667,2.0,12.0,12.666666666666666,1.6666666666666667,2.3333333333333335,0.0,0.0,0.0,0.3333333333333333,1.5,2.5,0.75,1.0,18.5,8.0,5.0,4.25,5.75,2.0,13.25,11.75,2.25,2.0,0.0,0.0,-0.25,0.0,2.0,0.0,0.5,0.0,12.5,9.5,2.5,3.0,3.5,6.0,11.5,8.5,1.5,0.0,0.0,0.0,1.0,0.5,2.6666666666666665,0.0,1.3333333333333333,0.0,14.333333333333334,9.666666666666666,3.6666666666666665,4.0,6.0,5.666666666666667,9.333333333333334,7.666666666666667,1.0,1.0,0.0,0.3333333333333333,1.0,0.6666666666666666,2.5,0.25,1.25,0.25,14.75,10.0,3.75,3.75,5.25,5.0,9.5,7.75,1.0,1.75,0.0,0.25,1.0,0.5
1,0,0,0,14,11,4,3,6,4,16,13,1,2,0,0,1,0,2023-01-07,Juventus,Udinese,serie_a,6,18,2.5,0.0,0.5,0.0,10.5,12.0,6.0,3.5,2.0,7.0,13.0,10.5,2.0,1.5,0.0,0.0,1.0,0.5,3.0,0.0,0.6666666666666666,0.0,14.0,12.0,6.333333333333333,3.6666666666666665,3.3333333333333335,6.0,13.0,10.666666666666666,2.0,1.6666666666666667,0.0,0.0,1.0,0.6666666666666666,3.0,0.0,0.75,0.0,14.75,11.25,6.25,3.0,3.0,5.5,12.5,11.75,1.5,1.5,0.0,0.0,1.0,0.75,2.0,1.5,1.5,0.5,18.0,10.0,5.5,3.0,7.0,1.5,12.0,12.5,2.5,3.0,0.0,0.0,0.5,0.5,1.3333333333333333,1.0,1.0,0.3333333333333333,16.333333333333332,11.0,4.333333333333333,3.0,7.0,2.3333333333333335,10.666666666666666,11.333333333333334,2.0,2.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.75,0.75,0.25,14.25,11.25,4.0,2.75,7.0,2.5,10.0,11.25,1.75,2.5,0.0,0.0,0.25,0.25
1,2,1,0,12,7,3,3,4,0,16,15,3,2,0,0,-1,1,2023-01-09,Bologna,Atalanta,serie_a,1,0,2.5,0.5,0.5,0.5,8.5,8.0,4.5,2.5,3.5,3.5,13.0,11.5,2.0,1.5,0.0,0.0,1.0,0.0,2.3333333333333335,0.3333333333333333,1.0,0.3333333333333333,9.666666666666666,8.333333333333334,4.0,2.6666666666666665,5.333333333333333,3.6666666666666665,12.333333333333334,12.333333333333334,3.0,1.6666666666666667,0.0,0.0,1.0,0.3333333333333333,2.0,0.5,1.0,0.25,9.75,8.5,3.75,2.75,4.5,4.0,13.5,14.5,2.75,2.0,0.0,0.0,0.75,0.5,2.0,1.5,2.0,0.5,11.0,15.5,3.0,3.5,3.5,5.5,11.0,11.5,2.0,2.5,0.0,0.0,0.5,1.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,0.6666666666666666,11.666666666666666,17.0,3.0,4.333333333333333,4.666666666666667,4.333333333333333,10.666666666666666,12.0,2.0,2.0,0.0,0.0,0.0,0.3333333333333333,1.5,1.75,1.0,0.75,11.25,15.0,2.75,4.5,4.75,4.0,10.75,12.0,2.0,2.25,0.0,0.0,0.0,0.0
