Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,HomeTeamCode,AwayTeamCode,FTR_code,HTR_code,H_R_FTHG_W_2,H_R_FTAG_W_2,H_R_HTHG_W_2,H_R_HTAG_W_2,H_R_HS_W_2,H_R_AS_W_2,H_R_HST_W_2,H_R_AST_W_2,H_R_HC_W_2,H_R_AC_W_2,H_R_HF_W_2,H_R_AF_W_2,H_R_HY_W_2,H_R_AY_W_2,H_R_HR_W_2,H_R_AR_W_2,H_R_FTR_code_W_2,H_R_HTR_code_W_2,H_R_FTHG_W_3,H_R_FTAG_W_3,H_R_HTHG_W_3,H_R_HTAG_W_3,H_R_HS_W_3,H_R_AS_W_3,H_R_HST_W_3,H_R_AST_W_3,H_R_HC_W_3,H_R_AC_W_3,H_R_HF_W_3,H_R_AF_W_3,H_R_HY_W_3,H_R_AY_W_3,H_R_HR_W_3,H_R_AR_W_3,H_R_FTR_code_W_3,H_R_HTR_code_W_3,H_R_FTHG_W_4,H_R_FTAG_W_4,H_R_HTHG_W_4,H_R_HTAG_W_4,H_R_HS_W_4,H_R_AS_W_4,H_R_HST_W_4,H_R_AST_W_4,H_R_HC_W_4,H_R_AC_W_4,H_R_HF_W_4,H_R_AF_W_4,H_R_HY_W_4,H_R_AY_W_4,H_R_HR_W_4,H_R_AR_W_4,H_R_FTR_code_W_4,H_R_HTR_code_W_4,A_R_FTHG_W_2,A_R_FTAG_W_2,A_R_HTHG_W_2,A_R_HTAG_W_2,A_R_HS_W_2,A_R_AS_W_2,A_R_HST_W_2,A_R_AST_W_2,A_R_HC_W_2,A_R_AC_W_2,A_R_HF_W_2,A_R_AF_W_2,A_R_HY_W_2,A_R_AY_W_2,A_R_HR_W_2,A_R_AR_W_2,A_R_FTR_code_W_2,A_R_HTR_code_W_2,A_R_FTHG_W_3,A_R_FTAG_W_3,A_R_HTHG_W_3,A_R_HTAG_W_3,A_R_HS_W_3,A_R_AS_W_3,A_R_HST_W_3,A_R_AST_W_3,A_R_HC_W_3,A_R_AC_W_3,A_R_HF_W_3,A_R_AF_W_3,A_R_HY_W_3,A_R_AY_W_3,A_R_HR_W_3,A_R_AR_W_3,A_R_FTR_code_W_3,A_R_HTR_code_W_3,A_R_FTHG_W_4,A_R_FTAG_W_4,A_R_HTHG_W_4,A_R_HTAG_W_4,A_R_HS_W_4,A_R_AS_W_4,A_R_HST_W_4,A_R_AST_W_4,A_R_HC_W_4,A_R_AC_W_4,A_R_HF_W_4,A_R_AF_W_4,A_R_HY_W_4,A_R_AY_W_4,A_R_HR_W_4,A_R_AR_W_4,A_R_FTR_code_W_4,A_R_HTR_code_W_4
I1,2023-12-09,19:45,Inter,Udinese,4,0,H,3,0,H,17,11,8,1,9,6,6,1,0,1,0,0,1.29,6.5,9.0,1.29,5.75,10.0,1.27,6.0,10.0,1.27,6.14,10.46,1.22,6.0,11.0,1.22,5.75,15.0,1.31,6.5,15.0,1.27,6.04,10.9,1.57,2.35,1.61,2.39,1.68,2.45,1.59,2.37,-1.75,2.03,1.78,2.05,1.85,2.08,1.88,2.02,1.83,1.25,6.5,11.0,1.23,6.25,13.0,1.22,6.5,13.0,1.22,6.88,14.05,1.17,6.5,15.0,1.22,6.5,12.0,1.29,7.0,15.0,1.23,6.51,12.76,1.6,2.3,1.59,2.45,1.62,2.58,1.55,2.42,-1.75,1.95,1.98,1.89,2.01,1.96,2.06,1.89,1.96,7,18,1,1,1.5,0.0,0.5,0.0,20.0,7.5,4.5,2.0,8.5,2.0,10.5,12.5,1.5,2.5,0.0,0.0,1.0,0.5,1.6666666666666667,0.6666666666666666,1.0,0.3333333333333333,18.0,7.666666666666667,4.666666666666667,2.3333333333333335,8.0,3.6666666666666665,10.666666666666666,11.333333333333334,1.6666666666666667,2.6666666666666665,0.0,0.0,0.6666666666666666,0.6666666666666666,1.5,1.0,1.0,0.25,16.75,9.0,4.25,3.25,8.0,4.25,10.5,10.5,1.25,2.25,0.0,0.0,0.25,0.75,1.5,1.0,0.5,0.0,13.0,9.0,5.0,2.0,9.0,3.0,10.5,14.5,1.0,2.5,0.0,0.0,0.0,0.5,1.3333333333333333,1.0,0.6666666666666666,0.0,12.0,9.333333333333334,4.666666666666667,2.3333333333333335,9.333333333333334,3.0,12.0,13.333333333333334,1.3333333333333333,2.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.75,0.5,0.0,13.5,9.75,4.25,2.0,8.25,4.0,11.75,13.75,1.25,2.0,0.0,0.0,0.0,0.5
I1,2023-12-10,17:00,Salernitana,Bologna,1,2,A,0,2,A,9,10,2,5,20,15,5,1,7,2,0,0,3.75,3.3,2.05,3.6,3.3,2.1,3.6,3.3,2.1,3.87,3.29,2.12,3.6,3.4,2.0,3.75,3.0,2.0,3.98,3.46,2.18,3.71,3.32,2.11,2.1,1.7,2.2,1.73,2.22,1.8,2.13,1.73,0.25,2.05,1.75,2.11,1.82,2.14,1.84,2.06,1.78,4.75,3.5,1.8,4.5,3.4,1.83,4.5,3.5,1.83,4.84,3.59,1.83,4.5,3.4,1.8,5.0,3.3,1.8,5.0,3.61,2.18,4.6,3.49,1.86,2.2,1.65,2.25,1.71,2.35,1.75,2.2,1.69,0.5,2.03,1.78,2.09,1.85,2.09,1.88,2.03,1.83,15,1,-1,-1,1.0,1.5,0.0,1.0,11.5,17.0,4.5,5.0,6.0,9.0,13.0,11.0,3.0,2.0,0.0,0.0,0.0,-1.0,1.3333333333333333,1.6666666666666667,0.0,0.6666666666666666,12.0,15.666666666666666,3.6666666666666665,5.333333333333333,6.666666666666667,7.666666666666667,12.333333333333334,11.333333333333334,3.0,2.6666666666666665,0.0,0.0,0.0,-0.6666666666666666,1.0,2.25,0.0,0.5,12.0,15.75,3.5,5.5,5.75,6.5,12.25,11.0,2.75,2.25,0.0,0.0,-0.25,-0.5,1.5,1.0,0.5,0.5,13.0,11.0,4.0,4.0,3.0,3.0,15.5,16.5,2.5,2.0,0.0,0.0,0.5,0.0,1.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,14.333333333333334,10.333333333333334,4.666666666666667,4.333333333333333,4.0,2.6666666666666665,14.0,14.333333333333334,2.0,2.6666666666666665,0.0,0.0,0.3333333333333333,0.0,1.5,1.25,1.0,0.75,14.25,9.75,4.75,4.0,4.75,3.75,13.25,13.0,2.0,2.75,0.0,0.0,0.25,0.25
I1,2023-12-16,14:00,Lecce,Frosinone,2,1,H,1,1,D,18,11,6,5,8,14,5,4,1,4,0,0,2.15,3.3,3.5,2.15,3.4,3.4,2.15,3.35,3.4,2.18,3.39,3.56,2.05,3.4,3.4,2.15,3.13,3.6,2.21,3.58,3.62,2.15,3.41,3.5,2.08,1.82,2.03,1.87,2.08,1.88,2.02,1.83,-0.25,1.89,2.04,1.88,2.03,1.9,2.07,1.84,2.01,2.15,3.2,3.6,2.15,3.2,3.5,2.2,3.2,3.55,2.23,3.31,3.61,2.1,3.4,3.25,2.15,3.13,3.6,2.25,3.4,3.68,2.18,3.26,3.53,2.15,1.67,2.23,1.72,2.23,1.82,2.13,1.72,-0.25,1.91,2.02,1.91,2.02,1.92,2.07,1.86,1.98,10,5,1,0,1.5,1.5,0.0,1.0,14.0,10.5,4.5,5.0,4.5,2.0,12.0,17.0,3.5,4.0,0.0,0.5,0.0,-0.5,1.0,1.3333333333333333,0.0,1.0,13.0,10.333333333333334,5.0,4.0,4.0,1.3333333333333333,13.666666666666666,17.666666666666668,3.3333333333333335,4.333333333333333,0.0,0.3333333333333333,-0.3333333333333333,-0.6666666666666666,1.0,1.25,0.0,1.0,13.0,11.25,4.75,3.25,4.25,1.75,12.5,17.0,3.0,4.0,0.0,0.25,-0.25,-0.75,2.5,0.5,1.0,0.0,15.5,13.5,4.5,3.0,7.5,5.5,9.0,11.0,0.5,1.0,0.0,0.0,1.0,1.0,3.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,18.333333333333332,12.333333333333334,5.0,4.0,6.666666666666667,6.0,8.666666666666666,9.666666666666666,0.6666666666666666,2.0,0.0,0.0,1.0,0.3333333333333333,2.75,1.25,1.0,0.5,16.75,12.25,5.25,4.25,6.0,5.75,9.0,10.75,1.0,2.0,0.0,0.25,1.0,0.5
I1,2023-12-17,14:00,Fiorentina,Verona,1,0,H,0,0,D,5,19,3,7,11,12,1,6,3,1,0,0,1.4,5.0,7.0,1.44,4.5,7.0,1.43,4.7,7.0,1.43,4.83,7.67,1.4,4.5,7.5,1.36,4.2,8.0,1.49,5.0,8.0,1.44,4.68,7.53,1.75,2.05,1.78,2.12,1.83,2.14,1.78,2.06,-1.25,1.98,1.95,1.96,1.94,2.07,1.96,1.95,1.89,1.45,4.75,6.0,1.49,4.33,6.5,1.5,4.4,6.5,1.5,4.45,7.06,1.44,4.5,6.5,1.45,4.4,6.5,1.51,4.92,7.3,1.48,4.48,6.77,1.91,1.99,1.94,1.96,1.94,2.05,1.85,1.98,-1.0,1.84,2.09,1.85,2.09,1.85,2.15,1.8,2.07,4,19,1,0,2.5,0.5,1.5,0.5,17.0,11.0,6.5,2.5,1.5,2.5,16.0,13.5,1.5,1.0,0.0,0.0,1.0,0.5,1.6666666666666667,0.6666666666666666,1.0,0.6666666666666666,19.666666666666668,8.666666666666666,5.666666666666667,2.6666666666666665,4.0,2.3333333333333335,14.666666666666666,16.0,1.3333333333333333,1.6666666666666667,0.0,0.0,0.3333333333333333,0.0,1.25,1.0,0.75,0.75,19.5,8.25,6.0,2.75,6.25,2.5,14.25,16.25,1.25,2.0,0.0,0.0,0.0,-0.25,2.0,1.5,1.5,0.5,14.0,10.0,6.0,2.5,5.5,5.0,12.5,14.5,1.5,4.5,0.0,0.0,0.5,1.0,1.6666666666666667,1.0,1.0,0.3333333333333333,19.333333333333332,9.0,6.0,2.0,5.333333333333333,3.6666666666666665,12.666666666666666,12.333333333333334,2.0,3.6666666666666665,0.0,0.0,0.6666666666666666,0.6666666666666666,1.75,1.0,1.0,0.25,17.25,10.75,5.0,2.5,4.5,3.75,11.75,12.25,1.75,3.75,0.0,0.0,0.75,0.75
I1,2023-12-17,14:00,Udinese,Sassuolo,2,2,D,1,0,H,9,21,7,7,13,6,1,13,3,1,1,0,2.25,3.5,3.1,2.25,3.6,3.0,2.25,3.55,3.05,2.27,3.6,3.17,2.15,3.6,3.0,2.2,3.2,3.0,2.3,3.83,3.21,2.26,3.59,3.1,1.7,2.1,1.72,2.2,1.77,2.24,1.71,2.16,-0.25,2.02,1.91,1.98,1.93,2.04,1.97,1.95,1.9,2.5,3.3,2.8,2.4,3.4,2.87,2.45,3.45,2.85,2.53,3.44,2.93,2.25,3.6,2.8,2.5,3.2,2.88,2.53,3.6,3.2,2.45,3.43,2.91,1.92,1.98,1.89,2.02,1.92,2.16,1.84,2.0,-0.25,2.1,1.7,2.2,1.77,2.2,1.85,2.09,1.77,18,16,0,1,2.0,2.0,1.5,0.5,12.5,10.5,5.0,3.0,6.0,5.0,14.5,13.0,2.0,4.0,0.0,0.0,0.0,1.0,1.6666666666666667,1.6666666666666667,1.0,0.3333333333333333,12.333333333333334,11.0,5.333333333333333,2.3333333333333335,4.666666666666667,5.666666666666667,13.333333333333334,13.666666666666666,2.3333333333333335,4.333333333333333,0.0,0.0,0.0,0.6666666666666666,1.75,1.75,1.0,0.75,12.0,10.25,4.5,2.75,4.75,4.25,13.0,13.25,2.25,3.75,0.25,0.0,0.0,0.25,2.5,2.5,1.0,1.5,14.5,12.5,7.5,6.5,8.0,4.5,17.5,15.0,2.5,4.5,0.0,0.5,0.0,-0.5,2.3333333333333335,2.0,1.0,1.3333333333333333,16.666666666666668,10.0,8.0,5.0,8.333333333333334,3.6666666666666665,14.666666666666666,12.0,2.0,3.3333333333333335,0.0,0.3333333333333333,0.3333333333333333,-0.3333333333333333,2.0,1.75,0.75,1.25,15.75,11.0,7.0,4.0,7.5,3.5,13.25,12.75,2.0,3.25,0.0,0.25,0.25,-0.5
I1,2023-12-17,19:45,Lazio,Inter,0,2,A,0,1,A,13,12,4,4,13,15,8,7,1,2,1,0,4.75,3.8,1.73,4.75,3.7,1.73,4.7,3.75,1.75,4.91,3.73,1.78,4.75,3.75,1.67,5.0,3.3,1.67,5.25,3.85,1.82,4.87,3.72,1.76,2.05,1.85,2.05,1.85,2.07,1.92,2.0,1.84,0.75,1.92,2.01,1.88,2.02,1.93,2.03,1.87,1.97,4.0,3.6,1.91,4.33,3.4,1.87,4.2,3.5,1.9,4.45,3.5,1.93,4.0,3.7,1.8,4.5,3.25,1.9,4.7,3.85,1.99,4.35,3.53,1.9,2.1,1.7,2.19,1.74,2.23,1.85,2.12,1.72,0.5,1.98,1.95,1.99,1.93,2.15,1.96,1.97,1.9,9,7,-1,-1,0.5,0.0,0.5,0.0,8.5,8.5,3.5,1.5,4.0,2.0,11.5,12.5,1.5,3.0,0.0,0.5,0.5,0.5,0.6666666666666666,0.0,0.3333333333333333,0.0,9.333333333333334,8.666666666666666,3.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,11.666666666666666,14.0,2.0,3.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.25,0.5,0.75,0.25,10.0,9.5,3.75,3.0,3.0,3.5,10.5,13.0,1.75,2.5,0.0,0.25,0.75,0.5,0.5,2.0,0.5,1.0,9.5,9.5,2.5,4.0,3.5,2.0,7.0,13.0,2.0,1.5,0.0,0.0,-0.5,-0.5,0.6666666666666666,2.0,0.3333333333333333,1.0,11.0,9.666666666666666,3.0,4.0,4.333333333333333,1.6666666666666667,9.0,11.666666666666666,2.6666666666666665,1.3333333333333333,0.3333333333333333,0.0,-0.6666666666666666,-0.6666666666666666,0.5,2.25,0.25,0.75,10.0,10.75,3.0,4.0,3.75,2.25,10.0,10.75,2.25,1.5,0.25,0.0,-0.75,-0.5
I1,2023-12-22,17:30,Empoli,Lazio,0,2,A,0,1,A,21,14,7,7,6,17,8,9,3,2,0,0,4.2,3.4,1.91,4.1,3.5,1.9,4.1,3.4,1.95,4.27,3.46,1.98,4.0,3.3,1.91,4.33,3.2,1.93,4.37,3.53,2.06,4.13,3.44,1.96,2.15,1.67,2.21,1.74,2.23,1.77,2.16,1.71,0.5,1.91,1.99,1.93,1.99,1.94,2.0,1.89,1.96,4.33,3.4,1.91,4.33,3.4,1.87,4.2,3.45,1.9,4.61,3.52,1.93,4.2,3.4,1.83,4.5,3.3,1.87,4.65,3.55,2.06,4.33,3.45,1.91,2.1,1.7,2.21,1.75,2.22,1.78,2.15,1.72,0.5,2.02,1.88,2.03,1.9,2.06,2.0,1.96,1.9,3,9,-1,-1,2.0,2.5,1.0,1.0,14.5,15.5,7.5,7.0,7.0,4.0,17.0,16.5,3.0,2.0,0.0,0.0,-0.5,0.0,1.3333333333333333,2.6666666666666665,0.6666666666666666,1.3333333333333333,12.666666666666666,16.333333333333332,5.666666666666667,6.666666666666667,5.666666666666667,4.666666666666667,14.666666666666666,15.333333333333334,3.3333333333333335,1.3333333333333333,0.0,0.0,-0.6666666666666666,-0.3333333333333333,1.0,2.0,0.5,1.0,14.0,15.0,5.0,5.25,5.5,5.25,13.75,15.25,2.75,1.5,0.0,0.0,-0.5,-0.25,1.5,1.0,0.0,1.0,9.0,13.5,3.5,3.5,2.5,8.0,13.5,11.5,3.5,3.5,0.5,0.0,0.5,-1.0,1.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,8.0,12.666666666666666,3.0,2.6666666666666665,2.3333333333333335,7.333333333333333,13.0,10.333333333333334,3.0,4.0,0.3333333333333333,0.0,0.6666666666666666,-0.6666666666666666,1.0,1.0,0.0,1.0,8.25,14.0,2.75,3.5,3.0,7.25,11.25,10.25,2.5,4.25,0.25,0.0,0.25,-0.75
I1,2023-12-23,17:00,Inter,Lecce,2,0,H,1,0,H,20,11,8,5,8,14,16,2,1,3,0,1,1.22,7.0,11.0,1.22,6.5,13.0,1.25,6.25,12.0,1.23,6.54,12.85,1.18,6.0,15.0,1.2,6.0,17.0,1.25,7.0,17.0,1.23,6.48,13.23,1.65,2.2,1.68,2.24,1.74,2.35,1.66,2.25,-1.75,1.95,1.95,1.95,1.93,1.97,1.98,1.92,1.91,1.3,5.75,9.0,1.31,5.25,10.0,1.3,5.5,10.0,1.29,5.74,11.96,1.25,5.5,11.0,1.25,5.5,11.5,1.33,6.5,13.0,1.28,5.62,11.37,1.85,2.05,1.88,2.03,1.94,2.13,1.85,1.98,-1.5,2.01,1.92,1.99,1.93,2.02,2.0,1.92,1.94,7,10,1,1,3.0,0.0,2.0,0.0,19.0,11.5,7.0,2.0,7.5,2.5,8.0,11.0,0.0,1.0,0.0,0.0,1.0,1.0,2.3333333333333335,0.0,1.3333333333333333,0.0,19.0,8.666666666666666,5.666666666666667,1.6666666666666667,7.666666666666667,1.6666666666666667,10.0,10.333333333333334,1.0,2.0,0.0,0.0,1.0,0.6666666666666666,2.25,0.5,1.5,0.25,17.75,8.5,5.5,2.0,7.5,3.0,10.25,10.0,1.25,2.25,0.0,0.0,0.75,0.75,1.5,1.5,0.5,0.5,18.5,14.0,8.5,5.0,6.0,2.5,14.5,17.5,1.5,2.0,0.0,0.0,0.0,0.0,1.6666666666666667,1.3333333333333333,0.3333333333333333,0.3333333333333333,17.333333333333332,14.333333333333334,7.333333333333333,4.666666666666667,5.666666666666667,2.3333333333333335,15.666666666666666,15.333333333333334,2.0,3.0,0.0,0.0,0.3333333333333333,0.0,1.5,1.25,0.25,0.25,16.0,13.75,7.0,3.75,4.75,3.5,14.5,15.25,2.25,3.5,0.0,0.0,0.25,0.0
I1,2023-12-23,14:00,Torino,Udinese,1,1,D,0,0,D,14,10,4,4,10,11,8,2,2,2,0,0,1.75,3.5,5.0,1.8,3.4,4.75,1.77,3.5,5.0,1.78,3.57,5.16,1.73,3.4,5.0,1.75,3.3,5.5,1.85,3.64,5.5,1.78,3.52,5.01,2.25,1.62,2.31,1.67,2.33,1.71,2.24,1.65,-0.75,2.04,1.86,2.04,1.87,2.05,1.9,2.01,1.84,1.65,3.75,5.5,1.65,3.6,5.75,1.65,3.7,5.75,1.66,3.76,6.15,1.6,3.6,5.8,1.6,3.6,6.5,1.85,3.85,6.5,1.66,3.71,5.81,2.15,1.67,2.26,1.7,2.35,1.82,2.19,1.7,-0.75,1.85,2.08,1.85,2.08,1.87,2.12,1.84,2.02,17,18,0,0,2.0,0.0,1.0,0.0,9.5,8.5,4.0,3.0,5.0,3.5,13.5,12.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,0.3333333333333333,1.0,0.3333333333333333,13.333333333333334,7.333333333333333,5.666666666666667,2.6666666666666665,6.333333333333333,3.0,12.0,10.0,2.3333333333333335,1.6666666666666667,0.0,0.0,1.0,0.6666666666666666,1.5,1.0,0.75,0.25,11.75,9.0,5.0,3.0,5.25,3.25,12.25,9.5,2.0,1.75,0.0,0.0,0.5,0.5,3.5,0.5,2.0,0.0,14.5,8.5,6.5,1.5,6.5,1.0,8.5,10.5,0.5,2.0,0.0,0.0,1.0,1.0,2.3333333333333335,0.6666666666666666,1.3333333333333333,0.0,14.333333333333334,9.666666666666666,6.0,1.6666666666666667,8.0,2.3333333333333335,10.0,11.666666666666666,0.6666666666666666,2.0,0.0,0.0,0.3333333333333333,0.6666666666666666,2.0,0.75,1.25,0.0,13.25,9.75,5.5,2.0,8.5,2.5,11.25,11.5,1.0,1.75,0.0,0.0,0.25,0.75
I1,2023-12-23,17:00,Verona,Cagliari,2,0,H,0,0,D,13,12,5,3,8,19,11,7,3,4,0,1,2.38,3.25,3.1,2.4,3.3,2.9,2.4,3.3,3.05,2.4,3.29,3.2,2.3,3.3,3.0,2.38,3.1,3.2,2.44,3.42,3.25,2.39,3.29,3.1,2.08,1.73,2.15,1.76,2.16,1.82,2.07,1.77,-0.25,2.06,1.84,2.06,1.85,2.06,1.89,2.02,1.83,2.38,3.2,3.2,2.37,3.2,3.1,2.4,3.2,3.1,2.43,3.27,3.23,2.3,3.25,3.0,2.38,3.1,3.2,2.47,3.32,3.25,2.4,3.24,3.13,2.15,1.67,2.22,1.72,2.23,1.76,2.15,1.72,-0.25,2.09,1.84,2.08,1.85,2.1,1.88,2.04,1.83,19,2,1,0,1.5,1.5,0.5,1.0,12.0,14.0,6.0,5.0,2.5,4.5,15.5,14.0,1.5,3.0,0.5,0.0,0.0,-0.5,1.3333333333333333,2.0,0.3333333333333333,1.0,13.333333333333334,13.333333333333334,5.666666666666667,5.333333333333333,2.3333333333333335,5.0,12.333333333333334,13.333333333333334,1.3333333333333333,2.6666666666666665,0.3333333333333333,0.0,-0.3333333333333333,-0.6666666666666666,1.25,2.25,0.25,1.25,13.75,15.5,6.5,6.5,3.0,5.75,12.25,12.25,1.75,2.5,0.25,0.0,-0.5,-0.75,1.5,0.5,0.5,0.0,15.5,9.0,5.0,2.5,4.5,3.0,10.0,11.0,2.5,2.5,0.0,0.5,1.0,0.5,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.0,16.333333333333332,9.666666666666666,4.666666666666667,2.3333333333333335,7.0,3.3333333333333335,11.333333333333334,10.0,2.6666666666666665,2.0,0.0,0.3333333333333333,1.0,0.3333333333333333,1.75,1.0,0.25,0.0,15.5,10.5,4.0,3.25,7.25,3.75,11.25,10.5,2.75,2.5,0.0,0.25,0.75,0.25
