FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR_code,HTR_code,Date,HomeTeam,AwayTeam,League,HomeTeamCode,AwayTeamCode,H_R_FTHG_W_2,H_R_FTAG_W_2,H_R_HTHG_W_2,H_R_HTAG_W_2,H_R_HS_W_2,H_R_AS_W_2,H_R_HST_W_2,H_R_AST_W_2,H_R_HC_W_2,H_R_AC_W_2,H_R_HF_W_2,H_R_AF_W_2,H_R_HY_W_2,H_R_AY_W_2,H_R_HR_W_2,H_R_AR_W_2,H_R_FTR_code_W_2,H_R_HTR_code_W_2,H_R_FTHG_W_3,H_R_FTAG_W_3,H_R_HTHG_W_3,H_R_HTAG_W_3,H_R_HS_W_3,H_R_AS_W_3,H_R_HST_W_3,H_R_AST_W_3,H_R_HC_W_3,H_R_AC_W_3,H_R_HF_W_3,H_R_AF_W_3,H_R_HY_W_3,H_R_AY_W_3,H_R_HR_W_3,H_R_AR_W_3,H_R_FTR_code_W_3,H_R_HTR_code_W_3,H_R_FTHG_W_4,H_R_FTAG_W_4,H_R_HTHG_W_4,H_R_HTAG_W_4,H_R_HS_W_4,H_R_AS_W_4,H_R_HST_W_4,H_R_AST_W_4,H_R_HC_W_4,H_R_AC_W_4,H_R_HF_W_4,H_R_AF_W_4,H_R_HY_W_4,H_R_AY_W_4,H_R_HR_W_4,H_R_AR_W_4,H_R_FTR_code_W_4,H_R_HTR_code_W_4,A_R_FTHG_W_2,A_R_FTAG_W_2,A_R_HTHG_W_2,A_R_HTAG_W_2,A_R_HS_W_2,A_R_AS_W_2,A_R_HST_W_2,A_R_AST_W_2,A_R_HC_W_2,A_R_AC_W_2,A_R_HF_W_2,A_R_AF_W_2,A_R_HY_W_2,A_R_AY_W_2,A_R_HR_W_2,A_R_AR_W_2,A_R_FTR_code_W_2,A_R_HTR_code_W_2,A_R_FTHG_W_3,A_R_FTAG_W_3,A_R_HTHG_W_3,A_R_HTAG_W_3,A_R_HS_W_3,A_R_AS_W_3,A_R_HST_W_3,A_R_AST_W_3,A_R_HC_W_3,A_R_AC_W_3,A_R_HF_W_3,A_R_AF_W_3,A_R_HY_W_3,A_R_AY_W_3,A_R_HR_W_3,A_R_AR_W_3,A_R_FTR_code_W_3,A_R_HTR_code_W_3,A_R_FTHG_W_4,A_R_FTAG_W_4,A_R_HTHG_W_4,A_R_HTAG_W_4,A_R_HS_W_4,A_R_AS_W_4,A_R_HST_W_4,A_R_AST_W_4,A_R_HC_W_4,A_R_AC_W_4,A_R_HF_W_4,A_R_AF_W_4,A_R_HY_W_4,A_R_AY_W_4,A_R_HR_W_4,A_R_AR_W_4,A_R_FTR_code_W_4,A_R_HTR_code_W_4
2,1,1.0,0.0,8,6,4,3,1,4,18,20,1,3,1,1,1,1.0,2016-12-10,Crotone,Pescara,serie_a,7,21,0.5,1.5,0.5,0.0,12.0,15.5,4.0,5.0,4.0,5.5,14.0,10.5,2.0,0.5,0.0,0.0,-0.5,0.5,1.0,1.0,0.6666666666666666,0.0,11.0,15.666666666666666,5.0,4.333333333333333,4.0,5.333333333333333,15.666666666666666,14.0,1.6666666666666667,1.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.25,0.5,0.5,11.25,15.0,4.75,5.25,4.75,5.75,16.75,12.5,1.75,0.75,0.0,0.25,-0.25,0.25,3.0,1.0,1.5,0.0,14.0,11.5,6.0,5.0,6.5,4.0,15.5,18.0,1.5,2.5,0.0,0.0,1.0,1.0,2.3333333333333335,0.6666666666666666,1.0,0.0,15.333333333333334,12.333333333333334,7.0,5.333333333333333,6.0,4.333333333333333,14.0,16.666666666666668,1.3333333333333333,2.3333333333333335,0.0,0.0,1.0,0.6666666666666666,2.5,0.75,1.0,0.0,13.75,13.25,6.25,4.75,6.0,4.0,13.5,14.75,1.5,2.0,0.0,0.0,1.0,0.75
2,1,2.0,0.0,14,16,6,5,5,5,23,12,3,1,0,0,1,1.0,2016-12-12,Fiorentina,Sassuolo,serie_a,9,25,1.5,1.0,1.0,0.0,19.5,12.0,6.0,4.0,9.0,4.0,17.0,18.0,2.5,2.0,0.0,0.0,0.5,1.0,1.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,21.666666666666668,9.333333333333334,7.666666666666667,3.3333333333333335,10.666666666666666,3.0,16.333333333333332,17.333333333333332,2.0,2.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.75,0.5,0.25,20.5,10.25,7.25,3.25,9.75,3.75,15.75,17.25,2.25,2.25,0.0,0.0,0.25,0.25,2.0,1.5,0.5,0.0,21.0,7.5,7.0,3.0,9.0,2.0,15.5,14.5,3.5,3.5,0.0,0.0,0.5,0.5,2.0,1.3333333333333333,0.3333333333333333,0.0,18.666666666666668,9.666666666666666,6.666666666666667,3.6666666666666665,9.333333333333334,2.6666666666666665,16.0,13.333333333333334,3.0,2.6666666666666665,0.0,0.0,0.6666666666666666,0.3333333333333333,1.75,1.25,0.5,0.0,17.5,9.25,6.0,3.5,8.75,4.75,14.75,13.25,2.25,2.25,0.0,0.0,0.5,0.5
1,0,1.0,0.0,9,9,4,3,4,3,24,14,3,2,0,0,1,1.0,2016-12-15,Genoa,Fiorentina,serie_a,11,9,2.0,1.0,2.0,0.5,14.0,11.0,5.0,2.5,3.0,3.5,20.5,10.0,2.5,1.5,0.0,0.0,0.5,0.5,2.3333333333333335,0.6666666666666666,1.6666666666666667,0.3333333333333333,12.0,11.666666666666666,4.333333333333333,2.6666666666666665,3.6666666666666665,3.6666666666666665,18.666666666666668,9.666666666666666,2.6666666666666665,1.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.75,0.5,1.25,0.25,11.0,9.25,4.0,2.25,3.5,3.25,18.25,11.5,2.0,1.75,0.25,0.25,0.5,0.5,2.0,3.0,1.5,1.0,17.5,18.0,7.5,9.5,6.0,3.0,17.5,13.5,3.0,3.0,0.0,0.5,0.0,0.0,1.3333333333333333,2.3333333333333335,1.0,1.0,13.333333333333334,16.0,5.666666666666667,8.0,4.666666666666667,3.6666666666666665,14.333333333333334,14.666666666666666,3.0,3.0,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,1.75,3.0,1.0,1.75,12.5,16.0,5.5,8.0,4.5,4.5,15.5,12.75,2.75,2.75,0.25,0.25,-0.5,-0.5
2,0,1.0,0.0,7,9,2,2,3,2,23,17,6,5,0,0,1,1.0,2016-12-17,Empoli,Cagliari,serie_a,8,4,0.5,4.0,0.5,1.0,14.0,20.0,5.0,9.5,3.5,5.0,9.0,14.5,1.5,3.0,0.0,0.0,-1.0,-0.5,0.3333333333333333,2.6666666666666665,0.3333333333333333,0.6666666666666666,12.0,21.0,4.333333333333333,8.0,3.6666666666666665,6.0,12.0,14.0,3.0,3.0,0.0,0.0,-0.6666666666666666,-0.3333333333333333,0.25,2.0,0.25,0.5,11.0,19.0,4.0,6.5,4.25,5.25,13.0,17.5,3.0,3.0,0.0,0.25,-0.5,-0.25,1.0,0.5,0.0,0.5,15.5,8.5,2.0,2.0,6.5,5.5,18.5,18.0,2.5,2.5,0.0,0.5,0.5,-0.5,2.3333333333333335,0.6666666666666666,1.0,0.6666666666666666,18.0,9.0,4.333333333333333,3.6666666666666665,6.0,5.0,17.333333333333332,15.333333333333334,2.0,2.3333333333333335,0.0,0.6666666666666666,0.6666666666666666,0.0,2.75,0.75,1.5,0.5,18.25,10.25,6.25,4.0,5.5,6.25,14.5,13.0,2.0,2.5,0.0,0.5,0.75,0.25
0,0,0.0,0.0,11,14,3,4,6,3,23,28,3,6,0,0,0,0.0,2016-12-17,Milan,Atalanta,serie_a,16,0,2.0,1.5,1.0,0.5,11.0,15.0,4.0,5.5,4.0,6.0,19.0,16.5,3.0,4.0,0.0,0.0,0.5,0.5,1.6666666666666667,1.0,0.6666666666666666,0.3333333333333333,13.333333333333334,14.666666666666666,5.666666666666667,5.666666666666667,4.333333333333333,5.666666666666667,16.333333333333332,15.666666666666666,2.3333333333333335,3.3333333333333335,0.0,0.0,0.6666666666666666,0.3333333333333333,1.5,0.75,0.5,0.25,12.0,16.5,4.75,5.0,4.5,6.5,17.0,15.25,2.75,3.25,0.0,0.0,0.75,0.25,1.5,1.5,1.0,0.5,10.5,10.5,4.5,2.0,6.0,6.5,20.0,15.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.6666666666666666,1.3333333333333333,12.0,12.0,4.0,4.0,5.0,6.666666666666667,16.666666666666668,16.333333333333332,4.0,2.0,0.0,0.0,-0.3333333333333333,-0.3333333333333333,0.75,1.75,0.5,1.0,10.25,12.25,3.0,3.75,4.25,7.0,17.0,17.75,3.75,2.25,0.0,0.0,-0.5,-0.25
5,3,3.0,0.0,21,10,10,5,4,3,6,14,0,3,0,0,1,1.0,2016-12-18,Napoli,Torino,serie_a,18,28,2.0,0.5,1.5,0.0,19.5,11.0,8.5,3.5,7.0,5.0,10.5,12.0,2.5,3.5,0.0,0.0,0.5,1.0,1.6666666666666667,0.6666666666666666,1.0,0.0,19.0,9.666666666666666,8.333333333333334,3.3333333333333335,7.666666666666667,4.0,11.0,13.0,1.6666666666666667,3.0,0.0,0.0,0.3333333333333333,0.6666666666666666,1.75,0.5,0.75,0.0,23.0,9.0,8.75,3.0,8.5,5.0,10.0,12.0,1.5,2.75,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,14.0,15.0,3.5,3.5,5.5,3.5,10.5,13.0,1.0,2.5,0.0,0.0,0.0,0.0,1.3333333333333333,1.3333333333333333,0.0,0.3333333333333333,14.666666666666666,14.333333333333334,4.0,3.3333333333333335,5.0,3.6666666666666665,11.333333333333334,15.0,1.3333333333333333,2.6666666666666665,0.0,0.0,0.0,-0.3333333333333333,1.5,1.25,0.25,0.25,16.5,12.5,4.5,3.0,4.25,5.25,12.0,15.75,1.0,3.0,0.0,0.0,0.25,0.0
3,1,2.0,0.0,11,13,5,6,5,5,16,20,1,5,0,0,1,1.0,2016-12-18,Lazio,Fiorentina,serie_a,14,9,1.5,1.5,0.5,0.0,13.5,9.5,3.0,3.5,4.5,4.0,17.5,17.0,2.5,3.0,0.5,0.5,0.0,0.5,1.6666666666666667,1.3333333333333333,0.3333333333333333,0.0,13.666666666666666,11.0,4.0,4.0,6.333333333333333,4.0,17.333333333333332,15.0,2.3333333333333335,2.3333333333333335,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.25,1.25,1.0,0.0,15.0,11.75,6.0,4.25,5.75,5.5,14.5,12.75,2.25,2.5,0.25,0.25,0.5,0.5,2.5,1.0,2.0,0.5,15.5,10.5,6.5,4.5,5.5,2.5,26.0,14.5,4.0,2.5,0.0,0.5,1.0,1.0,1.6666666666666667,2.0,1.3333333333333333,0.6666666666666666,14.666666666666666,15.0,6.333333333333333,7.333333333333333,5.333333333333333,3.0,19.666666666666668,13.666666666666666,3.0,2.6666666666666665,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.25,1.75,1.0,0.75,12.25,14.25,5.25,6.75,4.5,3.5,16.75,14.5,3.0,2.75,0.25,0.25,0.0,0.0
2,1,2.0,0.0,13,21,5,6,3,10,10,15,1,2,0,0,1,1.0,2016-12-18,Chievo,Sampdoria,serie_a,5,24,0.5,0.0,0.0,0.0,9.5,10.0,2.0,1.0,5.0,8.5,13.0,18.5,2.5,3.0,0.0,0.0,0.5,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,9.333333333333334,12.333333333333334,2.0,2.6666666666666665,4.0,7.0,15.333333333333334,17.0,3.3333333333333335,3.3333333333333335,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,9.5,11.25,2.25,3.0,4.5,6.25,16.0,16.25,2.5,3.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,14.5,16.0,4.0,6.0,6.5,4.0,17.5,14.5,3.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.3333333333333333,0.0,14.0,13.333333333333334,5.0,5.0,6.0,3.3333333333333335,13.666666666666666,15.0,2.0,1.6666666666666667,0.0,0.0,0.3333333333333333,1.0,1.75,1.0,1.25,0.25,13.0,15.5,5.5,6.0,6.5,4.5,12.5,14.25,1.75,1.5,0.25,0.0,0.25,0.75
0,1,0.0,0.0,11,20,4,6,3,8,14,18,1,3,0,1,-1,0.0,2016-12-18,Sassuolo,Inter,serie_a,25,12,1.5,1.5,1.0,1.5,13.5,14.5,4.5,5.5,2.5,7.0,15.0,14.5,4.0,4.0,0.0,0.0,0.0,0.0,1.3333333333333333,2.0,1.0,1.0,14.333333333333334,15.0,4.0,5.333333333333333,3.3333333333333335,8.333333333333334,14.0,13.0,3.6666666666666665,2.6666666666666665,0.0,0.0,-0.3333333333333333,0.3333333333333333,1.5,1.75,0.75,1.0,16.25,13.25,5.25,4.25,6.25,6.5,13.0,15.25,3.0,2.75,0.0,0.0,0.0,0.0,2.5,1.0,1.5,0.0,14.5,19.5,7.5,6.0,3.0,7.5,11.5,13.0,2.0,3.5,0.0,0.0,0.5,1.0,2.0,0.6666666666666666,1.3333333333333333,0.0,12.666666666666666,17.666666666666668,6.0,5.0,3.3333333333333335,6.666666666666667,12.666666666666666,13.333333333333334,1.6666666666666667,3.3333333333333335,0.0,0.0,0.6666666666666666,1.0,2.0,0.75,1.25,0.0,12.25,15.0,6.5,4.75,3.5,5.0,14.25,12.75,1.75,2.75,0.0,0.0,0.75,1.0
3,4,1.0,1.0,14,13,6,4,5,5,14,18,3,5,1,0,-1,0.0,2016-12-18,Genoa,Palermo,serie_a,11,19,2.0,0.5,2.0,0.0,10.5,10.5,5.0,2.5,3.5,4.5,25.0,11.0,3.0,2.0,0.0,0.0,1.0,1.0,1.6666666666666667,0.6666666666666666,1.6666666666666667,0.3333333333333333,12.333333333333334,10.333333333333334,4.666666666666667,2.6666666666666665,3.3333333333333335,3.3333333333333335,21.666666666666668,11.333333333333334,2.6666666666666665,1.6666666666666667,0.0,0.0,0.6666666666666666,0.6666666666666666,2.0,0.5,1.5,0.25,11.25,11.0,4.25,2.75,3.75,3.5,20.0,10.75,2.75,1.25,0.0,0.25,0.75,0.75,2.5,1.0,1.0,0.5,13.5,7.5,5.5,3.0,5.5,6.0,15.5,18.5,1.5,1.5,0.0,0.0,1.0,0.5,2.3333333333333335,1.0,0.6666666666666666,0.3333333333333333,11.666666666666666,9.0,5.0,3.0,4.333333333333333,5.333333333333333,16.666666666666668,17.666666666666668,2.6666666666666665,2.0,0.0,0.0,1.0,0.3333333333333333,2.75,1.0,0.75,0.25,13.25,8.5,5.5,3.0,4.25,5.0,15.25,16.75,2.75,2.0,0.0,0.0,1.0,0.5
